,Unnamed: 0.1,Unnamed: 0,Date,DOW,DOW_6m,DOW_12m
951,951,951,2022-12-27,48.56808471679688,47.2492790222168,47.97035217285156
952,952,952,2022-12-28,47.42955017089844,46.8033561706543,47.62879180908203
953,953,953,2022-12-29,48.05574798583984,47.11645126342773,48.492183685302734
954,954,954,2022-12-30,47.80906295776367,48.0747184753418,48.91913604736328
955,955,955,2023-01-03,48.42576599121094,47.6003303527832,48.72937774658203
956,956,956,2023-01-04,49.649696350097656,48.25498580932617,46.99311065673828
957,957,957,2023-01-05,50.19999313354492,48.56808471679688,47.2492790222168
958,958,958,2023-01-06,52.2019157409668,47.42955017089844,46.8033561706543
959,959,959,2023-01-09,52.4485969543457,48.05574798583984,47.11645126342773
960,960,960,2023-01-10,53.5776481628418,47.80906295776367,48.0747184753418
961,961,961,2023-01-11,54.63079452514648,48.42576599121094,47.6003303527832
962,962,962,2023-01-12,55.522647857666016,49.649696350097656,48.25498580932617
963,963,963,2023-01-13,55.6744499206543,50.19999313354492,48.56808471679688
964,964,964,2023-01-17,54.46001434326172,52.2019157409668,47.42955017089844
965,965,965,2023-01-18,53.9286994934082,52.4485969543457,48.05574798583984
966,966,966,2023-01-19,53.70098876953125,53.5776481628418,47.80906295776367
967,967,967,2023-01-20,54.49796295166016,54.63079452514648,48.42576599121094
968,968,968,2023-01-23,55.06723403930664,55.522647857666016,49.649696350097656
969,969,969,2023-01-24,55.21903610229492,55.6744499206543,50.19999313354492
970,970,970,2023-01-25,54.92491912841797,54.46001434326172,52.2019157409668
971,971,971,2023-01-26,55.14313507080078,53.9286994934082,52.4485969543457
972,972,972,2023-01-27,55.94960403442383,53.70098876953125,53.5776481628418
973,973,973,2023-01-30,54.98184585571289,54.49796295166016,54.63079452514648
974,974,974,2023-01-31,56.31013488769531,55.06723403930664,55.522647857666016
975,975,975,2023-02-01,57.13557815551758,55.21903610229492,55.6744499206543
976,976,976,2023-02-02,56.8794059753418,54.92491912841797,54.46001434326172
977,977,977,2023-02-03,56.92684555053711,55.14313507080078,53.9286994934082
978,978,978,2023-02-06,57.012237548828125,55.94960403442383,53.70098876953125
979,979,979,2023-02-07,57.41072463989258,54.98184585571289,54.49796295166016
980,980,980,2023-02-08,56.746578216552734,56.31013488769531,55.06723403930664
