,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TPR,TPR_6m,TPR_12m,TPR_6m_ret,TPR_12m_ret
985,985,985,985,2023-01-03,37.47380065917969,36.09375381469727,36.73069381713867,0.03823506004854682,0.020231222577512975
986,986,986,986,2023-01-04,38.26516342163086,36.1130485534668,35.99723815917969,0.059593829775344886,0.06300275738995342
987,987,987,987,2023-01-05,38.33271789550781,36.77894973754883,35.321685791015625,0.04224612635886915,0.0852459908710832
988,988,988,988,2023-01-06,39.61626434326172,35.63050842285156,34.68473815917969,0.11186357132793256,0.14218144480288797
989,989,989,989,2023-01-09,39.80927658081055,36.40257263183594,34.69439697265625,0.09358415360993666,0.14742667561524403
990,990,990,990,2023-01-10,40.47517776489258,36.75,35.86212921142578,0.10136538135762119,0.12863286856925016
991,991,991,991,2023-01-11,40.8708610534668,37.47380065917969,36.09375381469727,0.09065161084628226,0.13235274067903413
992,992,992,992,2023-01-12,41.59466552734375,38.26516342163086,36.1130485534668,0.08701131284939878,0.15179047999121975
993,993,993,993,2023-01-13,41.864891052246094,38.33271789550781,36.77894973754883,0.09214512694786547,0.1382840279831281
994,994,994,994,2023-01-17,42.10615539550781,39.61626434326172,35.63050842285156,0.06285022309705979,0.1817444448393868
995,995,995,995,2023-01-18,42.22196578979492,39.80927658081055,36.40257263183594,0.06060620579443965,0.1598621398771587
996,996,996,996,2023-01-19,41.18933868408203,40.47517776489258,36.75,0.017644417112576694,0.12079833153964703
997,997,997,997,2023-01-20,42.1833610534668,40.8708610534668,37.47380065917969,0.03211334349631145,0.12567608066019442
998,998,998,998,2023-01-23,42.67555236816406,41.59466552734375,38.26516342163086,0.025986189024882256,0.1152585942972888
999,999,999,999,2023-01-24,42.03860092163086,41.864891052246094,38.33271789550781,0.004149297060584312,0.09667676151284166
1000,1000,1000,1000,2023-01-25,42.15441131591797,42.10615539550781,39.61626434326172,0.001146053824123472,0.06406830665971053
1001,1001,1001,1001,2023-01-26,42.521141052246094,42.22196578979492,39.80927658081055,0.007085772934889878,0.06812142054203418
1002,1002,1002,1002,2023-01-27,42.57904052734375,41.18933868408203,40.47517776489258,0.03373935799068262,0.05197908640875748
1003,1003,1003,1003,2023-01-30,42.57904052734375,42.1833610534668,40.8708610534668,0.009379989265801525,0.041794555579397485
1004,1004,1004,1004,2023-01-31,43.978397369384766,42.67555236816406,41.59466552734375,0.03052907177348274,0.05730859502822505
1005,1005,1005,1005,2023-02-01,44.9917221069336,42.03860092163086,41.864891052246094,0.07024784651630078,0.07468862275994748
1006,1006,1006,1006,2023-02-02,44.75045394897461,42.15441131591797,42.10615539550781,0.061584127307604986,0.06280075985633471
1007,1007,1007,1007,2023-02-03,44.49953842163086,42.521141052246094,42.22196578979492,0.04652738191935857,0.05394283731778371
1008,1008,1008,1008,2023-02-06,43.09053039550781,42.57904052734375,41.18933868408203,0.012012714749539466,0.046157374023596764
1009,1009,1009,1009,2023-02-07,43.6502685546875,42.57904052734375,42.1833610534668,0.025158576005389843,0.0347745524440648
1010,1010,1010,1010,2023-02-08,41.70082473754883,43.978397369384766,42.67555236816406,-0.051788440872596486,-0.022840422127549997
1011,1011,1011,1011,2023-02-09,43.148433685302734,44.9917221069336,42.03860092163086,-0.04096950139516442,0.026400325875279407
1012,1012,1012,1012,2023-02-10,42.88786315917969,44.75045394897461,42.15441131591797,-0.041621718338738734,0.017399171767932042
