,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BKR,BKR_6m,BKR_12m,BKR_6m_ret,BKR_12m_ret
348,348,348,348,2020-06-23,14.013012886047363,14.743417739868164,16.00585174560547,-0.04954108109178024,-0.12450689230613765
349,349,349,349,2020-06-24,12.903874397277832,15.185272216796877,17.187129974365234,-0.15023753192883327,-0.24921296245946345
350,350,350,350,2020-06-25,13.480985641479492,14.517986297607422,16.835451126098633,-0.07142868403855906,-0.1992501097531616
351,351,351,351,2020-06-26,13.255549430847168,14.527002334594728,15.563995361328123,-0.08752341842196254,-0.14831962339289517
352,352,352,352,2020-06-29,13.390810012817385,13.967923164367676,14.09416675567627,-0.04131703366055972,-0.04990410253061717
353,353,353,353,2020-06-30,13.877750396728516,13.841679573059082,14.373706817626951,0.0026059571368521883,-0.03450442027175815
354,354,354,354,2020-07-01,13.89578342437744,14.013012886047363,14.743417739868164,-0.008365757073316327,-0.05749238951553337
355,355,355,355,2020-07-02,13.89578342437744,12.903874397277832,15.185272216796877,0.07686908571497386,-0.08491706793330289
356,356,356,356,2020-07-06,13.98595905303955,13.480985641479492,14.517986297607422,0.037458196677126576,-0.03664607705653711
357,357,357,357,2020-07-07,13.724454879760742,13.255549430847168,14.527002334594728,0.03537427485445299,-0.05524522102696938
358,358,358,358,2020-07-08,13.994976043701172,13.390810012817385,13.967923164367676,0.045117960026726855,0.0019367860930470382
359,359,359,359,2020-07-09,13.210463523864746,13.877750396728516,13.841679573059082,-0.04808321621212275,-0.045602561875721426
360,360,360,360,2020-07-10,13.571160316467283,13.89578342437744,14.013012886047363,-0.023361267083413795,-0.03153158947138546
361,361,361,361,2020-07-13,13.580177307128906,13.89578342437744,12.903874397277832,-0.02271236587459069,0.052410841041179435
362,362,362,362,2020-07-14,14.031045913696287,13.98595905303955,13.480985641479492,0.0032237231987990445,0.040802674733538824
363,363,363,363,2020-07-15,14.067115783691406,13.724454879760742,13.255549430847168,0.024967177708163923,0.06122464836920538
364,364,364,364,2020-07-16,13.877750396728516,13.994976043701172,13.390810012817385,-0.008376266354912176,0.036363773621240325
365,365,365,365,2020-07-17,13.769540786743164,13.210463523864746,13.877750396728516,0.04232079077834339,-0.0077973451670423355
366,366,366,366,2020-07-20,13.571160316467283,13.571160316467283,13.89578342437744,0.0,-0.023361267083413795
367,367,367,367,2020-07-21,14.707348823547363,13.580177307128906,13.89578342437744,0.0830012370918567,0.05840371675239209
368,368,368,368,2020-07-22,14.842609405517578,14.031045913696287,13.98595905303955,0.057840555637344915,0.0612507407771834
369,369,369,369,2020-07-23,15.050009727478027,14.067115783691406,13.724454879760742,0.06987174619875747,0.09658342421104549
370,370,370,370,2020-07-24,14.76145362854004,13.877750396728516,13.994976043701172,0.06367770038722176,0.05476805265299789
