,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TGT,TGT_6m,TGT_12m,TGT_6m_ret,TGT_12m_ret
178,178,178,178,2019-10-18,102.85896301269533,100.81655883789062,95.88378143310548,0.0202586182106137,0.07274620874705673
179,179,179,179,2019-10-21,103.65223693847656,101.96541595458984,97.2149887084961,0.01654306970745778,0.06621662271939233
180,180,180,180,2019-10-22,103.20545196533205,101.34540557861328,99.47623443603516,0.018353534391610138,0.03748852728934815
181,181,181,181,2019-10-23,101.53689575195312,102.0201187133789,98.42767333984376,-0.004736545766853895,0.03158890489439958
182,182,182,182,2019-10-24,100.52479553222656,102.2936553955078,98.94740295410156,-0.01729198019605538,0.01594172793859694
183,183,183,183,2019-10-25,99.4032974243164,103.24192810058594,100.62508392333984,-0.03718092781577709,-0.01214196750339347
184,184,184,184,2019-10-28,100.0415496826172,102.85896301269533,100.81655883789062,-0.02739103377632135,-0.007687320061376179
185,185,185,185,2019-10-29,98.61003875732422,103.65223693847656,101.96541595458984,-0.04864533877976196,-0.03290701230268056
186,186,186,186,2019-10-30,98.409423828125,103.20545196533205,101.34540557861328,-0.046470685858903016,-0.02897005279840581
187,187,187,187,2019-10-31,97.47941589355467,101.53689575195312,102.0201187133789,-0.03996064512658104,-0.044507915468919856
188,188,188,188,2019-11-01,98.30914306640624,100.52479553222656,102.2936553955078,-0.022040855234667256,-0.03895170539850057
189,189,189,189,2019-11-04,99.1753158569336,99.4032974243164,103.24192810058594,-0.0022935010536888623,-0.03938915437234325
190,190,190,190,2019-11-05,100.35154724121094,100.0415496826172,102.85896301269533,0.0030986880908703274,-0.024377221955610318
191,191,191,191,2019-11-06,100.76185607910156,98.61003875732422,103.65223693847656,0.02182148337932288,-0.02788536885210302
192,192,192,192,2019-11-07,100.83478546142578,98.409423828125,103.20545196533205,0.024645623751814227,-0.022970361146256058
193,193,193,193,2019-11-08,100.4336166381836,97.47941589355467,101.53689575195312,0.03030589296775066,-0.010865795192958827
194,194,194,194,2019-11-11,100.70714569091795,98.30914306640624,100.52479553222656,0.02439246798125283,0.001813981890994576
195,195,195,195,2019-11-12,98.79238891601562,99.1753158569336,99.4032974243164,-0.0038611113824972287,-0.006145756973161887
196,196,196,196,2019-11-13,99.00211334228516,100.35154724121094,100.0415496826172,-0.01344706619901137,-0.010390046372029116
197,197,197,197,2019-11-14,101.30892181396484,100.76185607910156,98.61003875732422,0.005429293942678326,0.02736925256953282
198,198,198,198,2019-11-15,103.22369384765624,100.83478546142578,98.409423828125,0.02369131223216936,0.048920823151444415
199,199,199,199,2019-11-18,102.0839614868164,100.4336166381836,97.47941589355467,0.016432195751530543,0.047236081084952364
200,200,200,200,2019-11-19,101.67120361328124,100.70714569091795,98.30914306640624,0.009572884980000307,0.03419885925161581
201,201,201,201,2019-11-20,115.96112060546876,98.79238891601562,99.1753158569336,0.17378597559826647,0.16925385720726838
202,202,202,202,2019-11-21,117.08011627197266,99.00211334228516,100.35154724121094,0.1826021922096297,0.16669966224389077
203,203,203,203,2019-11-22,116.50227355957033,101.30892181396484,100.76185607910156,0.14997052059743843,0.15621404857917653
204,204,204,204,2019-11-25,114.82380676269533,103.22369384765624,100.83478546142578,0.11237839378388492,0.13873209763133798
205,205,205,205,2019-11-26,116.38304901123048,102.0839614868164,100.4336166381836,0.14007183220706731,0.15880571572470004
206,206,206,206,2019-11-27,115.47500610351562,101.67120361328124,100.70714569091795,0.1357690476719331,0.14664163412914077
207,207,207,207,2019-11-29,114.65872192382812,115.96112060546876,98.79238891601562,-0.011231339218182868,0.16060278713677656
208,208,208,208,2019-12-02,113.7139892578125,117.08011627197266,99.00211334228516,-0.028750629238706638,0.14860163504452895
209,209,209,209,2019-12-03,113.76903533935548,116.50227355957033,101.30892181396484,-0.023460814426228938,0.12299127561806777
210,210,210,210,2019-12-04,114.20928192138672,114.82380676269533,103.22369384765624,-0.005351893989881673,0.10642506254371864
211,211,211,211,2019-12-05,114.35604095458984,116.38304901123048,102.0839614868164,-0.017416694904126784,0.12021554893672803
212,212,212,212,2019-12-06,114.67706298828124,115.47500610351562,101.67120361328124,-0.0069100937264214846,0.1279207771009514
213,213,213,213,2019-12-09,115.97945404052734,114.65872192382812,115.96112060546876,0.011518810732746854,0.0001580998438344139
214,214,214,214,2019-12-10,115.35576629638672,113.7139892578125,117.08011627197266,0.0144377754161098,-0.014727948950617131
215,215,215,215,2019-12-11,115.38330841064452,113.76903533935548,116.50227355957033,0.014189037170561525,-0.009604663623612897
216,216,216,216,2019-12-12,116.96086883544922,114.20928192138672,114.82380676269533,0.024092498155767084,0.01861166366980438
217,217,217,217,2019-12-13,116.68572235107422,114.35604095458984,116.38304901123048,0.020372176030555966,0.0026006651519718815
218,218,218,218,2019-12-16,115.53004455566406,114.67706298828124,115.47500610351562,0.007438118357373735,0.000476626535954372
219,219,219,219,2019-12-17,117.74966430664062,115.97945404052734,114.65872192382812,0.015263136740536032,0.02695776065658495
220,220,220,220,2019-12-18,117.47451782226562,115.35576629638672,113.7139892578125,0.018367105467750333,0.033070061027647535
221,221,221,221,2019-12-19,118.04318237304688,115.38330841064452,113.76903533935548,0.023052502125662455,0.03756863210575956
222,222,222,222,2019-12-20,118.45590209960938,116.96086883544922,114.20928192138672,0.012782337195729188,0.037182793786810775
223,223,223,223,2019-12-23,117.71297454833984,116.68572235107422,114.35604095458984,0.008803580905767605,0.029355105036235285
224,224,224,224,2019-12-24,117.90557861328124,115.53004455566406,114.67706298828124,0.020562045715065924,0.02815310700213791
225,225,225,225,2019-12-26,118.21742248535156,117.74966430664062,115.97945404052734,0.003972479934149176,0.019296249179119096
226,226,226,226,2019-12-27,118.5109405517578,117.47451782226562,115.35576629638672,0.008822532313435438,0.027351682162679358
227,227,227,227,2019-12-30,118.21742248535156,118.04318237304688,115.38330841064452,0.001476070949646635,0.024562600204013574
228,228,228,228,2019-12-31,117.59375762939452,118.45590209960938,116.96086883544922,-0.007278189224289355,0.005411115702600444
229,229,229,229,2020-01-02,115.63092803955078,117.71297454833984,116.68572235107422,-0.017687485315682427,-0.009039617617910944
230,230,230,230,2020-01-03,114.42941284179688,117.90557861328124,115.53004455566406,-0.02948262340398533,-0.009526800739152241
231,231,231,231,2020-01-06,113.34712982177734,118.21742248535156,117.74966430664062,-0.0411977571595058,-0.03738893448900471
232,232,232,232,2020-01-07,113.54891967773438,118.5109405517578,117.47451782226562,-0.0418697282370849,-0.03341659295397603
233,233,233,233,2020-01-08,113.1820297241211,118.21742248535156,118.04318237304688,-0.042594337242079616,-0.04118113855625549
234,234,234,234,2020-01-09,113.27375030517578,117.59375762939452,118.45590209960938,-0.036736706193483126,-0.04374751871861926
235,235,235,235,2020-01-10,114.40189361572266,115.63092803955078,117.71297454833984,-0.01062894196791142,-0.02812842802861515
236,236,236,236,2020-01-13,113.61309814453124,114.42941284179688,117.90557861328124,-0.007133783849736508,-0.03640608459103467
237,237,237,237,2020-01-14,114.88800048828124,113.34712982177734,118.21742248535156,0.013594262765424192,-0.028163547530254074
238,238,238,238,2020-01-15,107.31197357177734,113.54891967773438,118.5109405517578,-0.05492739273661296,-0.09449732596704419
239,239,239,239,2020-01-16,106.6882781982422,113.1820297241211,118.21742248535156,-0.05737440423808693,-0.09752491675698605
