,Unnamed: 0.1,Unnamed: 0,Date,GEHC,GEHC_6m,GEHC_12m
166,166,166,2023-08-16,70.60970306396484,73.8669204711914,77.9334487915039
167,167,167,2023-08-17,68.33164978027344,73.85693359375,77.62371826171875
168,168,168,2023-08-18,68.30167388916016,72.23831939697266,76.52465057373047
169,169,169,2023-08-21,68.9111557006836,71.52891540527344,75.95513153076172
170,170,170,2023-08-22,68.8711929321289,71.7387466430664,75.83525085449219
171,171,171,2023-08-23,68.93113708496094,70.47982025146484,75.52550506591797
172,172,172,2023-08-24,68.37162017822266,70.60970306396484,73.8669204711914
173,173,173,2023-08-25,68.5314712524414,68.33164978027344,73.85693359375
174,174,174,2023-08-28,69.25086212158203,68.30167388916016,72.23831939697266
175,175,175,2023-08-29,70.41986846923828,68.9111557006836,71.52891540527344
176,176,176,2023-08-30,70.32994842529297,68.8711929321289,71.7387466430664
177,177,177,2023-08-31,70.389892578125,68.93113708496094,70.47982025146484
178,178,178,2023-09-01,69.19091796875,68.37162017822266,70.60970306396484
179,179,179,2023-09-05,67.6022720336914,68.5314712524414,68.33164978027344
180,180,180,2023-09-06,66.9228515625,69.25086212158203,68.30167388916016
181,181,181,2023-09-07,65.8437728881836,70.41986846923828,68.9111557006836
182,182,182,2023-09-08,64.84463500976562,70.32994842529297,68.8711929321289
183,183,183,2023-09-11,66.56316375732422,70.389892578125,68.93113708496094
184,184,184,2023-09-12,65.34420776367188,69.19091796875,68.37162017822266
185,185,185,2023-09-13,64.47494506835938,67.6022720336914,68.5314712524414
186,186,186,2023-09-14,65.94368743896484,66.9228515625,69.25086212158203
187,187,187,2023-09-15,66.37332916259766,65.8437728881836,70.41986846923828
188,188,188,2023-09-18,66.22344970703125,64.84463500976562,70.32994842529297
189,189,189,2023-09-19,66.06359100341797,66.56316375732422,70.389892578125
190,190,190,2023-09-20,64.95453643798828,65.34420776367188,69.19091796875
191,191,191,2023-09-21,63.835487365722656,64.47494506835938,67.6022720336914
192,192,192,2023-09-22,64.27511596679688,65.94368743896484,66.9228515625
193,193,193,2023-09-25,66.42328643798828,66.37332916259766,65.8437728881836
194,194,194,2023-09-26,66.15351104736328,66.22344970703125,64.84463500976562
195,195,195,2023-09-27,68.22174072265625,66.06359100341797,66.56316375732422
196,196,196,2023-09-28,69.72046661376953,64.95453643798828,65.34420776367188
197,197,197,2023-09-29,67.98194885253906,63.835487365722656,64.47494506835938
198,198,198,2023-10-02,67.78211975097656,64.27511596679688,65.94368743896484
199,199,199,2023-10-03,66.9228515625,66.42328643798828,66.37332916259766
200,200,200,2023-10-04,67.82208251953125,66.15351104736328,66.22344970703125
201,201,201,2023-10-05,67.54232025146484,68.22174072265625,66.06359100341797
202,202,202,2023-10-06,68.4015884399414,69.72046661376953,64.95453643798828
203,203,203,2023-10-09,67.74215698242188,67.98194885253906,63.835487365722656
204,204,204,2023-10-10,68.13182067871094,67.78211975097656,64.27511596679688
205,205,205,2023-10-11,67.72216796875,66.9228515625,66.42328643798828
206,206,206,2023-10-12,66.45326232910156,67.82208251953125,66.15351104736328
207,207,207,2023-10-13,67.06273651123047,67.54232025146484,68.22174072265625
208,208,208,2023-10-16,66.82293701171875,68.4015884399414,69.72046661376953
209,209,209,2023-10-17,66.74301147460938,67.74215698242188,67.98194885253906
210,210,210,2023-10-18,65.17435455322266,68.13182067871094,67.78211975097656
211,211,211,2023-10-19,65.42424774169922,67.72216796875,66.9228515625
212,212,212,2023-10-20,64.0248031616211,66.45326232910156,67.82208251953125
213,213,213,2023-10-23,63.96482467651367,67.06273651123047,67.54232025146484
214,214,214,2023-10-24,64.6445541381836,66.82293701171875,68.4015884399414
215,215,215,2023-10-25,64.484619140625,66.74301147460938,67.74215698242188
216,216,216,2023-10-26,63.88485336303711,65.17435455322266,68.13182067871094
217,217,217,2023-10-27,63.075172424316406,65.42424774169922,67.72216796875
218,218,218,2023-10-30,63.145145416259766,64.0248031616211,66.45326232910156
219,219,219,2023-10-31,66.54380798339844,63.96482467651367,67.06273651123047
220,220,220,2023-11-01,68.25313568115234,64.6445541381836,66.82293701171875
221,221,221,2023-11-02,69.2227554321289,64.484619140625,66.74301147460938
222,222,222,2023-11-03,71.54183959960938,63.88485336303711,65.17435455322266
223,223,223,2023-11-06,71.06202697753906,63.075172424316406,65.42424774169922
224,224,224,2023-11-07,70.67218017578125,63.145145416259766,64.0248031616211
225,225,225,2023-11-08,69.96246337890625,66.54380798339844,63.96482467651367
