,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MSCI,MSCI_6m,MSCI_12m,MSCI_6m_ret,MSCI_12m_ret
1078,1078,1078,1078,2023-05-17,458.8277893066406,469.0028991699219,479.0798034667969,-0.021695196087891944,-0.04227273621973893
1079,1079,1079,1079,2023-05-18,469.7496643066406,472.1767578125,464.65869140625,-0.005140222312304377,0.010956370761048717
1080,1080,1080,1080,2023-05-19,467.3524169921875,467.9094543457031,461.9609375,-0.001190481082060102,0.011670855811672487
1081,1081,1081,1081,2023-05-22,469.9187927246094,467.1435546875,457.7754821777344,0.005940867661046623,0.026526782275684058
1082,1082,1082,1082,2023-05-23,457.66400146484375,461.1056518554688,469.7765197753906,-0.007463908492069016,-0.025783575382477886
1083,1083,1083,1083,2023-05-24,454.7694091796875,454.5605163574219,469.0128173828125,0.00045954898137567923,-0.030368910347922107
1084,1084,1084,1084,2023-05-25,464.0400695800781,458.8277893066406,469.0028991699219,0.011359992561291943,-0.010581660792774117
1085,1085,1085,1085,2023-05-26,473.3106689453125,469.7496643066406,472.1767578125,0.007580643285669986,0.0024014547816069154
1086,1086,1086,1086,2023-05-30,468.9140930175781,467.3524169921875,467.9094543457031,0.0033415383522381603,0.002147079231984872
1087,1087,1087,1087,2023-05-31,468.0387573242188,469.9187927246094,467.1435546875,-0.004000766578178383,0.001916333058084696
1088,1088,1088,1088,2023-06-01,464.4976196289063,457.66400146484375,461.1056518554688,0.014931517755799595,0.007356161781553405
1089,1089,1089,1089,2023-06-02,476.2252197265625,454.7694091796875,454.5605163574219,0.04717953783561857,0.047660768125548314
1090,1090,1090,1090,2023-06-05,478.2643432617188,464.0400695800781,458.8277893066406,0.03065311513833846,0.04236132685958238
1091,1091,1091,1091,2023-06-06,474.7132263183594,473.3106689453125,469.7496643066406,0.0029632912695001234,0.010566398209235661
1092,1092,1092,1092,2023-06-07,469.9883728027344,468.9140930175781,467.3524169921875,0.0022909948776395073,0.005640188677126234
1093,1093,1093,1093,2023-06-08,478.3240051269531,468.0387573242188,469.9187927246094,0.021975205347384286,0.017886521102103536
1094,1094,1094,1094,2023-06-09,471.3411865234375,464.4976196289063,457.66400146484375,0.014733265802306272,0.029884773578033652
1095,1095,1095,1095,2023-06-12,471.66943359375,476.2252197265625,454.7694091796875,-0.009566452896863198,0.03716174411235529
1096,1096,1096,1096,2023-06-13,477.44866943359375,478.2643432617188,464.0400695800781,-0.0017054874351749572,0.028895349200446008
1097,1097,1097,1097,2023-06-14,483.6258239746094,474.7132263183594,473.3106689453125,0.018774698411863744,0.02179362458125511
1098,1098,1098,1098,2023-06-15,484.9686279296875,469.9883728027344,468.9140930175781,0.0318736717626007,0.034237689058979726
1099,1099,1099,1099,2023-06-16,475.2006530761719,478.3240051269531,468.0387573242188,-0.006529783195706962,0.015301928825077749
1100,1100,1100,1100,2023-06-20,471.27154541015625,471.3411865234375,464.4976196289063,-0.0001477509610287031,0.014583337987096101
1101,1101,1101,1101,2023-06-21,472.1369323730469,471.66943359375,476.2252197265625,0.00099115767527036,-0.00858477708480665
1102,1102,1102,1102,2023-06-22,464.7264099121094,477.44866943359375,478.2643432617188,-0.026646339881053693,-0.028306382318368017
1103,1103,1103,1103,2023-06-23,462.687255859375,483.6258239746094,474.7132263183594,-0.043294975324422835,-0.02533312701702428
1104,1104,1104,1104,2023-06-26,460.79730224609375,484.9686279296875,469.9883728027344,-0.04984100886438825,-0.01955595305864799
1105,1105,1105,1105,2023-06-27,462.6175842285156,475.2006530761719,478.3240051269531,-0.02647948559456048,-0.03283636349020125
1106,1106,1106,1106,2023-06-28,460.866943359375,471.27154541015625,471.3411865234375,-0.022077721755354274,-0.022222210711776325
