,Unnamed: 0.1,Unnamed: 0,Date,XEL,XEL_6m,XEL_12m
637,637,637,2021-08-16,64.74022674560547,64.09996795654297,63.83088302612305
638,638,638,2021-08-17,64.9072494506836,64.13709259033203,63.329811096191406
639,639,639,2021-08-18,64.33195495605469,63.756649017333984,63.617462158203125
640,640,640,2021-08-19,65.06500244140625,64.09070587158203,63.74736785888672
641,641,641,2021-08-20,65.5196762084961,63.83088302612305,63.97934341430664
642,642,642,2021-08-23,64.01646423339844,64.06285858154297,64.2484359741211
643,643,643,2021-08-24,63.36692428588867,64.74022674560547,64.09996795654297
644,644,644,2021-08-25,63.38547897338867,64.9072494506836,64.13709259033203
645,645,645,2021-08-26,63.37620162963867,64.33195495605469,63.756649017333984
646,646,646,2021-08-27,63.74736785888672,65.06500244140625,64.09070587158203
647,647,647,2021-08-30,64.05357360839844,65.5196762084961,63.83088302612305
648,648,648,2021-08-31,63.79376602172852,64.01646423339844,64.06285858154297
649,649,649,2021-09-01,64.72166442871094,63.36692428588867,64.74022674560547
650,650,650,2021-09-02,65.25057983398438,63.38547897338867,64.9072494506836
651,651,651,2021-09-03,64.76806640625,63.37620162963867,64.33195495605469
652,652,652,2021-09-07,63.00504684448242,63.74736785888672,65.06500244140625
653,653,653,2021-09-08,64.31339263916016,64.05357360839844,65.5196762084961
654,654,654,2021-09-09,64.27627563476562,63.79376602172852,64.01646423339844
655,655,655,2021-09-10,62.8751335144043,64.72166442871094,63.36692428588867
656,656,656,2021-09-13,62.24415969848633,65.25057983398438,63.38547897338867
657,657,657,2021-09-14,61.76580429077149,64.76806640625,63.37620162963867
658,658,658,2021-09-15,61.14916229248047,63.00504684448242,63.74736785888672
659,659,659,2021-09-16,60.72874450683594,64.31339263916016,64.05357360839844
660,660,660,2021-09-17,59.79444885253906,64.27627563476562,63.79376602172852
661,661,661,2021-09-20,59.2712516784668,62.8751335144043,64.72166442871094
662,662,662,2021-09-21,59.1311149597168,62.24415969848633,65.25057983398438
663,663,663,2021-09-22,59.03767776489258,61.76580429077149,64.76806640625
664,664,664,2021-09-23,58.76673889160156,61.14916229248047,63.00504684448242
665,665,665,2021-09-24,59.15913391113281,60.72874450683594,64.31339263916016
666,666,666,2021-09-27,58.15945053100586,59.79444885253906,64.27627563476562
667,667,667,2021-09-28,57.38398742675781,59.2712516784668,62.8751335144043
668,668,668,2021-09-29,58.551849365234375,59.1311149597168,62.24415969848633
669,669,669,2021-09-30,58.39302444458008,59.03767776489258,61.76580429077149
670,670,670,2021-10-01,58.3836784362793,58.76673889160156,61.14916229248047
671,671,671,2021-10-04,59.70102310180664,59.15913391113281,60.72874450683594
672,672,672,2021-10-05,59.14044570922852,58.15945053100586,59.79444885253906
673,673,673,2021-10-06,60.10276794433594,57.38398742675781,59.2712516784668
674,674,674,2021-10-07,59.76642608642578,58.551849365234375,59.1311149597168
675,675,675,2021-10-08,59.047019958496094,58.39302444458008,59.03767776489258
