,Unnamed: 0.1,Unnamed: 0,Date,INTC,INTC_6m,INTC_12m
558,558,558,2021-04-23,54.60113525390625,59.92851257324219,61.06220245361328
559,559,559,2021-04-26,54.1587142944336,59.67966079711914,61.799564361572266
560,560,560,2021-04-27,53.43058013916016,58.64737319946289,62.91481399536133
561,561,561,2021-04-28,53.10799026489258,57.79019546508789,60.28797912597656
562,562,562,2021-04-29,53.71631240844727,58.71188354492188,60.11286163330078
563,563,563,2021-04-30,53.02503204345703,57.67036819458008,59.16351318359375
564,564,564,2021-05-03,52.77617645263672,54.60113525390625,59.92851257324219
565,565,565,2021-05-04,52.44437026977539,54.1587142944336,59.67966079711914
566,566,566,2021-05-05,52.39828109741211,53.43058013916016,58.64737319946289
567,567,567,2021-05-06,53.03631591796875,53.10799026489258,57.79019546508789
568,568,568,2021-05-07,53.48145294189453,53.71631240844727,58.71188354492188
569,569,569,2021-05-10,51.90492248535156,53.02503204345703,57.67036819458008
570,570,570,2021-05-11,51.0424690246582,52.77617645263672,54.60113525390625
571,571,571,2021-05-12,49.72560119628906,52.44437026977539,54.1587142944336
572,572,572,2021-05-13,50.08727645874024,52.39828109741211,53.43058013916016
573,573,573,2021-05-14,51.32994842529297,53.03631591796875,53.10799026489258
574,574,574,2021-05-17,51.311405181884766,53.48145294189453,53.71631240844727
575,575,575,2021-05-18,50.85699081420898,51.90492248535156,53.02503204345703
576,576,576,2021-05-19,51.33922958374024,51.0424690246582,52.77617645263672
577,577,577,2021-05-20,51.88637161254883,49.72560119628906,52.44437026977539
578,578,578,2021-05-21,52.006935119628906,50.08727645874024,52.39828109741211
579,579,579,2021-05-24,52.82302474975586,51.32994842529297,53.03631591796875
580,580,580,2021-05-25,52.73955535888672,51.311405181884766,53.48145294189453
581,581,581,2021-05-26,52.785919189453125,50.85699081420898,51.90492248535156
582,582,582,2021-05-27,53.53709030151367,51.33922958374024,51.0424690246582
583,583,583,2021-05-28,52.97139358520508,51.88637161254883,49.72560119628906
584,584,584,2021-06-01,52.75810241699219,52.006935119628906,50.08727645874024
585,585,585,2021-06-02,53.30524826049805,52.82302474975586,51.32994842529297
586,586,586,2021-06-03,52.15531539916992,52.73955535888672,51.311405181884766
587,587,587,2021-06-04,53.203243255615234,52.785919189453125,50.85699081420898
588,588,588,2021-06-07,52.94358444213867,53.53709030151367,51.33922958374024
589,589,589,2021-06-08,52.8601188659668,52.97139358520508,51.88637161254883
590,590,590,2021-06-09,52.8601188659668,52.75810241699219,52.006935119628906
591,591,591,2021-06-10,53.2125129699707,53.30524826049805,52.82302474975586
592,592,592,2021-06-11,53.648380279541016,52.15531539916992,52.73955535888672
593,593,593,2021-06-14,53.963680267333984,53.203243255615234,52.785919189453125
594,594,594,2021-06-15,53.7782096862793,52.94358444213867,53.53709030151367
595,595,595,2021-06-16,53.06414413452149,52.8601188659668,52.97139358520508
596,596,596,2021-06-17,53.027042388916016,52.8601188659668,52.75810241699219
597,597,597,2021-06-18,51.626712799072266,53.2125129699707,53.30524826049805
598,598,598,2021-06-21,51.81218338012695,53.648380279541016,52.15531539916992
599,599,599,2021-06-22,51.81218338012695,53.963680267333984,53.203243255615234
600,600,600,2021-06-23,51.246490478515625,53.7782096862793,52.94358444213867
601,601,601,2021-06-24,51.997657775878906,53.06414413452149,52.8601188659668
602,602,602,2021-06-25,51.84927749633789,53.027042388916016,52.8601188659668
603,603,603,2021-06-28,53.30524826049805,51.626712799072266,53.2125129699707
604,604,604,2021-06-29,52.62826919555664,51.81218338012695,53.648380279541016
605,605,605,2021-06-30,52.06258010864258,51.81218338012695,53.963680267333984
606,606,606,2021-07-01,51.9420166015625,51.246490478515625,53.7782096862793
607,607,607,2021-07-02,52.63753890991211,51.997657775878906,53.06414413452149
608,608,608,2021-07-06,52.016204833984375,51.84927749633789,53.027042388916016
609,609,609,2021-07-07,51.89564514160156,53.30524826049805,51.626712799072266
610,610,610,2021-07-08,51.36704635620117,52.62826919555664,51.81218338012695
611,611,611,2021-07-09,51.9234733581543,52.06258010864258,51.81218338012695
612,612,612,2021-07-12,52.60972595214844,51.9420166015625,51.246490478515625
613,613,613,2021-07-13,52.73955535888672,52.63753890991211,51.997657775878906
614,614,614,2021-07-14,52.41497802734375,52.016204833984375,51.84927749633789
615,615,615,2021-07-15,51.75654220581055,51.89564514160156,53.30524826049805
616,616,616,2021-07-16,50.97755432128906,51.36704635620117,52.62826919555664
617,617,617,2021-07-19,50.6715202331543,51.9234733581543,52.06258010864258
618,618,618,2021-07-20,51.22794342041016,52.60972595214844,51.9420166015625
619,619,619,2021-07-21,52.146034240722656,52.73955535888672,52.63753890991211
620,620,620,2021-07-22,51.89564514160156,52.41497802734375,52.016204833984375
621,621,621,2021-07-23,49.150638580322266,51.75654220581055,51.89564514160156
622,622,622,2021-07-26,50.3654899597168,50.97755432128906,51.36704635620117
623,623,623,2021-07-27,49.31755828857422,50.6715202331543,51.9234733581543
624,624,624,2021-07-28,49.21554183959961,51.22794342041016,52.60972595214844
625,625,625,2021-07-29,49.79978942871094,52.146034240722656,52.73955535888672
626,626,626,2021-07-30,49.8183479309082,51.89564514160156,52.41497802734375
627,627,627,2021-08-02,49.78124237060547,49.150638580322266,51.75654220581055
628,628,628,2021-08-03,50.13364791870117,50.3654899597168,50.97755432128906
629,629,629,2021-08-04,49.98527526855469,49.31755828857422,50.6715202331543
630,630,630,2021-08-05,50.30075073242188,49.21554183959961,51.22794342041016
631,631,631,2021-08-06,50.32875442504883,49.79978942871094,52.146034240722656
632,632,632,2021-08-09,50.45009613037109,49.8183479309082,51.89564514160156
633,633,633,2021-08-10,50.347415924072266,49.78124237060547,49.150638580322266
634,634,634,2021-08-11,50.53410339355469,50.13364791870117,50.3654899597168
635,635,635,2021-08-12,49.974063873291016,49.98527526855469,49.31755828857422
636,636,636,2021-08-13,49.92739868164063,50.30075073242188,49.21554183959961
637,637,637,2021-08-16,49.90873336791992,50.32875442504883,49.79978942871094
