,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,IQV,IQV_6m,IQV_12m,IQV_6m_ret,IQV_12m_ret
1028,1028,1028,1028,2023-03-07,212.58999633789065,208.8800048828125,224.0,0.01776135277840285,-0.05093751634870247
1029,1029,1029,1029,2023-03-08,211.6000061035156,208.47000122070312,219.72999572753903,0.015014174051348528,-0.03699990798754882
1030,1030,1030,1030,2023-03-09,202.92999267578125,210.7700042724609,212.97999572753903,-0.037196998803230685,-0.04718754462092556
1031,1031,1031,1031,2023-03-10,197.259994506836,215.8300018310547,210.9900054931641,-0.08603997204593805,-0.06507422450762934
1032,1032,1032,1032,2023-03-13,198.1199951171875,220.82000732421875,213.3699951171875,-0.1027987114125124,-0.0714720923699903
1033,1033,1033,1033,2023-03-14,200.7100067138672,219.57000732421875,209.5399932861328,-0.08589515863385999,-0.042139862819447704
1034,1034,1034,1034,2023-03-15,195.2700042724609,212.58999633789065,208.8800048828125,-0.08147134090872898,-0.06515702935753553
1035,1035,1035,1035,2023-03-16,196.42999267578125,211.6000061035156,208.47000122070312,-0.07169193284575381,-0.05775415395222905
1036,1036,1036,1036,2023-03-17,190.88999938964844,202.92999267578125,210.7700042724609,-0.059330772782163144,-0.09432084490122095
1037,1037,1037,1037,2023-03-20,191.8099975585937,197.259994506836,215.8300018310547,-0.02762849589379579,-0.11129131292536032
1038,1038,1038,1038,2023-03-21,196.759994506836,198.1199951171875,220.82000732421875,-0.0068645297994635035,-0.10895757639413839
1039,1039,1039,1039,2023-03-22,190.009994506836,200.7100067138672,219.57000732421875,-0.053310805884657086,-0.1346268243901555
1040,1040,1040,1040,2023-03-23,188.0,195.2700042724609,212.58999633789065,-0.037230522422261214,-0.11566864274651611
1041,1041,1041,1041,2023-03-24,188.3500061035156,196.42999267578125,211.6000061035156,-0.04113417947126907,-0.10987712348470347
1042,1042,1042,1042,2023-03-27,190.9100036621093,190.88999938964844,202.92999267578125,0.0001047947641301672,-0.05923219557237236
1043,1043,1043,1043,2023-03-28,189.8699951171875,191.8099975585937,197.259994506836,-0.010114188343147035,-0.03746324442583515
1044,1044,1044,1044,2023-03-29,192.9100036621093,196.759994506836,198.1199951171875,-0.01956693917570196,-0.026297151138109598
1045,1045,1045,1045,2023-03-30,194.9499969482422,190.009994506836,200.7100067138672,0.025998645251413155,-0.02869816936350611
1046,1046,1046,1046,2023-03-31,198.88999938964844,188.0,195.2700042724609,0.05792552866834266,0.01853840855217337
1047,1047,1047,1047,2023-04-03,199.92999267578125,188.3500061035156,196.42999267578125,0.06148121155834407,0.017818052896723113
1048,1048,1048,1048,2023-04-04,196.6999969482422,190.9100036621093,190.88999938964844,0.030328391258011678,0.030436364278750183
1049,1049,1049,1049,2023-04-05,197.08999633789065,189.8699951171875,191.8099975585937,0.03802602520870657,0.027527234484657326
1050,1050,1050,1050,2023-04-06,195.8300018310547,192.9100036621093,196.759994506836,0.015136582414149391,-0.004726533348978101
1051,1051,1051,1051,2023-04-10,196.88999938964844,194.9499969482422,190.009994506836,0.009951282235317604,0.036208647343363376
1052,1052,1052,1052,2023-04-11,199.69000244140625,198.88999938964844,188.0,0.00402233925392359,0.0621808640500332
1053,1053,1053,1053,2023-04-12,197.9900054931641,199.92999267578125,188.3500061035156,-0.009703332434784606,0.051181306489315626
1054,1054,1054,1054,2023-04-13,202.75,196.6999969482422,190.9100036621093,0.030757514721008183,0.06201873191960261
1055,1055,1055,1055,2023-04-14,200.3500061035156,197.08999633789065,189.8699951171875,0.01654071655689715,0.05519571947036628
1056,1056,1056,1056,2023-04-17,202.6199951171875,195.8300018310547,192.9100036621093,0.034672895994714015,0.05033430755662471
1057,1057,1057,1057,2023-04-18,202.72999572753903,196.88999938964844,194.9499969482422,0.029661213652264484,0.03990766299607773
1058,1058,1058,1058,2023-04-19,201.8600006103516,199.69000244140625,198.88999938964844,0.010866834305248041,0.014932883653363538
1059,1059,1059,1059,2023-04-20,198.58999633789065,197.9900054931641,199.92999267578125,0.0030304097584727963,-0.0067023277496118805
1060,1060,1060,1060,2023-04-21,202.3099975585937,202.75,196.6999969482422,-0.002170172337392362,0.028520593276001316
1061,1061,1061,1061,2023-04-24,202.9900054931641,200.3500061035156,197.08999633789065,0.01317693690652777,0.029935609441883893
1062,1062,1062,1062,2023-04-25,191.7100067138672,202.6199951171875,195.8300018310547,-0.0538445793417891,-0.02103863084647206
1063,1063,1063,1063,2023-04-26,189.97999572753903,202.72999572753903,196.88999938964844,-0.06289153193262775,-0.03509575744593507
1064,1064,1064,1064,2023-04-27,183.6600036621093,201.8600006103516,199.69000244140625,-0.09016148267716284,-0.08027441826488302
1065,1065,1065,1065,2023-04-28,188.22999572753903,198.58999633789065,197.9900054931641,-0.05216778690465662,-0.04929546691669762
1066,1066,1066,1066,2023-05-01,190.0,202.3099975585937,202.75,-0.06084720333718763,-0.06288532675709002
1067,1067,1067,1067,2023-05-02,185.6000061035156,202.9900054931641,200.3500061035156,-0.08566923946526084,-0.07362116072199698
1068,1068,1068,1068,2023-05-03,187.0200042724609,191.7100067138672,202.6199951171875,-0.02446404609648911,-0.0769913691672145
1069,1069,1069,1069,2023-05-04,184.3999938964844,189.97999572753903,202.72999572753903,-0.02937152308950053,-0.09041583493983507
1070,1070,1070,1070,2023-05-05,188.5200042724609,183.6600036621093,201.8600006103516,0.026461943337934724,-0.0660853873850954
1071,1071,1071,1071,2023-05-08,189.82000732421875,188.22999572753903,198.58999633789065,0.008447174375869615,-0.04416128292157384
1072,1072,1072,1072,2023-05-09,186.009994506836,190.0,202.3099975585937,-0.021000028911389523,-0.08056943921931903
1073,1073,1073,1073,2023-05-10,188.0800018310547,185.6000061035156,202.9900054931641,0.013362045506377429,-0.0734519102351151
1074,1074,1074,1074,2023-05-11,189.8699951171875,187.0200042724609,191.7100067138672,0.015238962568809411,-0.009597890210425786
1075,1075,1075,1075,2023-05-12,188.17999267578125,184.3999938964844,189.97999572753903,0.020498909459936376,-0.009474697822076328
1076,1076,1076,1076,2023-05-15,191.47000122070312,188.5200042724609,183.6600036621093,0.015648190544164775,0.04252421541362028
1077,1077,1077,1077,2023-05-16,191.2100067138672,189.82000732421875,188.22999572753903,0.007322723295833944,0.015831753992289865
1078,1078,1078,1078,2023-05-17,193.0500030517578,186.009994506836,190.0,0.03784747461332305,0.016052647640830697
1079,1079,1079,1079,2023-05-18,195.4499969482422,188.0800018310547,185.6000061035156,0.03918542665587421,0.05307106961641428
1080,1080,1080,1080,2023-05-19,199.44000244140625,189.8699951171875,187.0200042724609,0.050402947123436403,0.0664099983168176
1081,1081,1081,1081,2023-05-22,201.7700042724609,188.17999267578125,184.3999938964844,0.07221815349995331,0.09419745634984888
1082,1082,1082,1082,2023-05-23,201.77999877929688,191.47000122070312,188.5200042724609,0.05384654250202692,0.07033733400340791
1083,1083,1083,1083,2023-05-24,198.02999877929688,191.2100067138672,189.82000732421875,0.035667547858179605,0.04325145473761993
1084,1084,1084,1084,2023-05-25,197.47000122070312,193.0500030517578,186.009994506836,0.0228956130488136,0.06160962879575793
1085,1085,1085,1085,2023-05-26,199.4499969482422,195.4499969482422,188.0800018310547,0.020465592542624922,0.060452972174047215
1086,1086,1086,1086,2023-05-30,198.6499938964844,199.44000244140625,189.8699951171875,-0.0039611338510384675,0.046242160452355296
1087,1087,1087,1087,2023-05-31,196.9100036621093,201.7700042724609,188.17999267578125,-0.02408683405581391,0.04639181276496873
1088,1088,1088,1088,2023-06-01,198.97000122070312,201.77999877929688,191.47000122070312,-0.013926046067961773,0.03917062700258156
1089,1089,1089,1089,2023-06-02,201.3699951171875,198.02999877929688,191.2100067138672,0.016866113005499894,0.053135233756484546
1090,1090,1090,1090,2023-06-05,204.009994506836,197.47000122070312,193.0500030517578,0.03311892057378074,0.056772811612646024
1091,1091,1091,1091,2023-06-06,205.47999572753903,199.4499969482422,195.4499969482422,0.030233135480376205,0.05131746705502849
1092,1092,1092,1092,2023-06-07,208.57000732421875,198.6499938964844,199.44000244140625,0.04993714438724628,0.04577820282315148
1093,1093,1093,1093,2023-06-08,206.19000244140625,196.9100036621093,201.7700042724609,0.04712812252657872,0.021906121204105178
1094,1094,1094,1094,2023-06-09,206.58999633789065,198.97000122070312,201.77999877929688,0.038297205962898984,0.023837831240423712
1095,1095,1095,1095,2023-06-12,211.8999938964844,201.3699951171875,198.02999877929688,0.05229179636801873,0.0700398687203223
1096,1096,1096,1096,2023-06-13,215.1300048828125,204.009994506836,197.47000122070312,0.054507184331128,0.08943132401347187
1097,1097,1097,1097,2023-06-14,212.72000122070312,205.47999572753903,199.4499969482422,0.03523460017375202,0.06653298809477826
1098,1098,1098,1098,2023-06-15,216.77999877929688,208.57000732421875,198.6499938964844,0.03936324095878185,0.0912660731933368
1099,1099,1099,1099,2023-06-16,216.0200042724609,206.19000244140625,196.9100036621093,0.04767448331471891,0.09704941473234507
1100,1100,1100,1100,2023-06-20,214.92999267578125,206.58999633789065,198.97000122070312,0.04036979759779857,0.08021305401398093
1101,1101,1101,1101,2023-06-21,213.8300018310547,211.8999938964844,201.3699951171875,0.009108107551494937,0.06187618322489441
1102,1102,1102,1102,2023-06-22,213.6199951171875,215.1300048828125,204.009994506836,-0.007019056995083206,0.047105538302582906
1103,1103,1103,1103,2023-06-23,214.0599975585937,212.72000122070312,205.47999572753903,0.006299343410121061,0.04175589843028571
1104,1104,1104,1104,2023-06-26,213.82000732421875,216.77999877929688,208.57000732421875,-0.013654356821413582,0.025171404399669806
1105,1105,1105,1105,2023-06-27,214.6600036621093,216.0200042724609,206.19000244140625,-0.006295716060797263,0.041078622243627017
1106,1106,1106,1106,2023-06-28,219.22000122070312,214.92999267578125,206.58999633789065,0.019960027409451797,0.061135607273816506
