,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,APH,APH_6m,APH_12m,APH_6m_ret,APH_12m_ret
174,174,174,174,2019-10-14,46.42586898803711,46.05699157714844,46.181549072265625,0.00800915123322321,0.005290422705162445
175,175,175,175,2019-10-15,47.14925384521485,45.688114166259766,45.860572814941406,0.03198073953409364,0.02809997675941789
176,176,176,176,2019-10-16,47.32171630859375,44.638973236083984,46.229454040527344,0.060098673379457734,0.023626977448378828
177,177,177,177,2019-10-17,47.25464630126953,45.486915588378906,45.644996643066406,0.03886240009956299,0.03526453667617124
178,178,178,178,2019-10-18,47.42710876464844,45.75519561767578,44.73957443237305,0.036540399934969825,0.06007062799262397
179,179,179,179,2019-10-21,48.10258483886719,46.45940017700195,45.32882308959961,0.035368185030478116,0.06119200897373389
180,180,180,180,2019-10-22,47.47022247314453,46.42586898803711,46.05699157714844,0.022495076729237562,0.03068439443398807
181,181,181,181,2019-10-23,48.66788101196289,47.14925384521485,45.688114166259766,0.03220893318340745,0.06521973822031057
182,182,182,182,2019-10-24,48.76368713378906,47.32171630859375,44.638973236083984,0.03047165102364313,0.09240163020530368
183,183,183,183,2019-10-25,48.0163459777832,47.25464630126953,45.486915588378906,0.016119043017642998,0.05560786781617977
184,184,184,184,2019-10-28,48.47625350952149,47.42710876464844,45.75519561767578,0.022121203931686262,0.05946992150536312
185,185,185,185,2019-10-29,48.37564468383789,48.10258483886719,46.45940017700195,0.005676614799088098,0.041245571392127145
186,186,186,186,2019-10-30,48.29900741577149,47.47022247314453,46.42586898803711,0.01745904905113571,0.040346868428398075
187,187,187,187,2019-10-31,48.06426239013672,48.66788101196289,47.14925384521485,-0.01240281288757561,0.019406638924249542
188,188,188,188,2019-11-01,49.23795318603516,48.76368713378906,47.32171630859375,0.009725803771664987,0.0404938160937629
189,189,189,189,2019-11-04,49.9182243347168,48.0163459777832,47.25464630126953,0.03960897728064472,0.056366479106959355
190,190,190,190,2019-11-05,50.018836975097656,48.47625350952149,47.42710876464844,0.031821425004990855,0.054646557168609444
191,191,191,191,2019-11-06,49.29065704345703,48.37564468383789,48.10258483886719,0.01891473210536554,0.024698718552643717
192,192,192,192,2019-11-07,49.11819839477539,48.29900741577149,47.47022247314453,0.016960824307465927,0.0347159932221337
193,193,193,193,2019-11-08,49.19963455200195,48.06426239013672,48.66788101196289,0.02362196162815189,0.010926169970464805
194,194,194,194,2019-11-11,48.94573593139648,49.23795318603516,48.76368713378906,-0.005934796954995325,0.0037332861460608324
195,195,195,195,2019-11-12,48.62955093383789,49.9182243347168,48.0163459777832,-0.025815689921940388,0.012770754283102148
196,196,196,196,2019-11-13,48.70620727539063,50.018836975097656,48.47625350952149,-0.02624270732965117,0.004743637332121242
197,197,197,197,2019-11-14,48.43313980102539,49.29065704345703,48.37564468383789,-0.017397155847924894,0.0011885137151816938
198,198,198,198,2019-11-15,48.98406219482422,49.11819839477539,48.29900741577149,-0.002730885992052956,0.014183620237898209
199,199,199,199,2019-11-18,49.07987594604492,49.19963455200195,48.06426239013672,-0.002434136087544503,0.021130326471349603
200,200,200,200,2019-11-19,49.467918395996094,48.94573593139648,49.23795318603516,0.010668599718911542,0.004670486790790296
201,201,201,201,2019-11-20,48.96969985961914,48.62955093383789,49.9182243347168,0.006994696007866397,-0.019001566817311355
202,202,202,202,2019-11-21,48.7588996887207,48.70620727539063,50.018836975097656,0.0010818418488662829,-0.025189255939801702
203,203,203,203,2019-11-22,48.73973846435547,48.43313980102539,49.29065704345703,0.006330348694915333,-0.011176937215826688
204,204,204,204,2019-11-25,49.4631233215332,48.98406219482422,49.11819839477539,0.009779938723816217,0.007022344834099137
205,205,205,205,2019-11-26,49.357723236083984,49.07987594604492,49.19963455200195,0.005661124537977846,0.0032132085028993007
206,206,206,206,2019-11-27,49.71223068237305,49.467918395996094,48.94573593139648,0.004938802648237761,0.015660092475694
207,207,207,207,2019-11-29,49.82241439819336,48.96969985961914,48.62955093383789,0.01741310526751616,0.024529600653281802
208,208,208,208,2019-12-02,49.19963455200195,48.7588996887207,48.70620727539063,0.009039064993158652,0.010130685680809215
209,209,209,209,2019-12-03,48.7588996887207,48.73973846435547,48.43313980102539,0.0003931335080766818,0.006725970875181897
210,210,210,210,2019-12-04,49.33856201171875,49.4631233215332,48.98406219482422,-0.002518266163758942,0.007237044071285448
211,211,211,211,2019-12-05,49.33378219604492,49.357723236083984,49.07987594604492,-0.00048505154754707736,0.005173327053212828
212,212,212,212,2019-12-06,49.836795806884766,49.71223068237305,49.467918395996094,0.0025057238993679842,0.007456901823435613
213,213,213,213,2019-12-09,50.04278564453125,49.82241439819336,48.96969985961914,0.004423134627250747,0.02191326040364361
214,214,214,214,2019-12-10,50.35896682739258,49.19963455200195,48.7588996887207,0.023563839161554245,0.03281589922838268
