,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SWKS,SWKS_6m,SWKS_12m,SWKS_6m_ret,SWKS_12m_ret
204,204,204,204,2019-11-25,93.15028381347656,91.8567886352539,91.13612365722656,0.014081650332441686,0.02210056863758525
205,205,205,205,2019-11-26,91.5796127319336,90.0366439819336,92.7991943359375,0.017137119752149044,-0.013142157243186459
206,206,206,206,2019-11-27,92.05081176757812,89.26056671142578,92.74374389648438,0.03125954896940142,-0.007471470309411532
207,207,207,207,2019-11-29,90.82198333740234,88.73392486572266,93.8617172241211,0.023531681652078973,-0.03238523624557743
208,208,208,208,2019-12-02,91.2860336303711,89.07576751708984,93.4459457397461,0.024813326619467002,-0.023114026962609113
209,209,209,209,2019-12-03,90.43220520019533,90.3969955444336,91.23775482177734,0.0003895002875888842,-0.008829125871801291
210,210,210,210,2019-12-04,91.71294403076172,93.15028381347656,91.8567886352539,-0.01543033175929942,-0.0015659659632056844
211,211,211,211,2019-12-05,92.78953552246094,91.5796127319336,90.0366439819336,0.013211704597058782,0.0305752349130175
212,212,212,212,2019-12-06,94.0702667236328,92.05081176757812,89.26056671142578,0.02193848068557669,0.05388381666628339
213,213,213,213,2019-12-09,95.80580139160156,90.82198333740234,88.73392486572266,0.05487457850027799,0.07969755126441758
214,214,214,214,2019-12-10,96.8823471069336,91.2860336303711,89.07576751708984,0.061305253980282304,0.08763976789025141
215,215,215,215,2019-12-11,101.42994689941406,90.43220520019533,90.3969955444336,0.12161310978619122,0.12204997841501664
216,216,216,216,2019-12-12,103.4717254638672,91.71294403076172,93.15028381347656,0.12821288813017961,0.11080418897121369
217,217,217,217,2019-12-13,103.81513214111328,92.78953552246094,91.5796127319336,0.11882370739945625,0.1336052757178039
218,218,218,218,2019-12-16,105.0216293334961,94.0702667236328,92.05081176757812,0.116416833833767,0.14090932297988168
219,219,219,219,2019-12-17,104.96593475341795,95.80580139160156,90.82198333740234,0.09561146849943669,0.15573268603341361
220,220,220,220,2019-12-18,107.53672790527344,96.8823471069336,91.2860336303711,0.10997236458959958,0.1780195023118596
221,221,221,221,2019-12-19,109.37433624267578,101.42994689941406,90.43220520019533,0.07832390320720561,0.20946222643301793
222,222,222,222,2019-12-20,110.3488311767578,103.4717254638672,91.71294403076172,0.06646362261825933,0.20319800375992036
223,223,223,223,2019-12-23,111.39753723144533,103.81513214111328,92.78953552246094,0.07303757105491582,0.20053987342656843
224,224,224,224,2019-12-24,113.37435913085938,105.0216293334961,94.0702667236328,0.07953342421339893,0.20520928747804756
225,225,225,225,2019-12-26,113.48574829101562,104.96593475341795,95.80580139160156,0.0811674145294099,0.18453941872630586
