,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DVA,DVA_6m,DVA_12m,DVA_6m_ret,DVA_12m_ret
559,559,559,559,2021-04-26,113.3499984741211,113.11000061035156,106.86000061035156,0.002121809410966957,0.06073364988490226
560,560,560,560,2021-04-27,112.36000061035156,110.77999877929688,109.0,0.014262518942633973,0.030825693672950072
561,561,561,561,2021-04-28,113.30999755859376,112.1999969482422,109.87999725341795,0.009893053837279453,0.031215875417844652
562,562,562,562,2021-04-29,114.47000122070312,113.54000091552734,107.45999908447266,0.008190948543920662,0.06523359571890563
563,563,563,563,2021-04-30,116.52999877929688,112.4499969482422,108.2300033569336,0.03628280962010688,0.076688489004205
564,564,564,564,2021-05-03,120.91999816894533,113.5999984741211,109.8499984741211,0.06443661789741828,0.10077378105227863
565,565,565,565,2021-05-04,123.36000061035156,113.3499984741211,113.11000061035156,0.088310562602397,0.09061975019618163
566,566,566,566,2021-05-05,122.5199966430664,112.36000061035156,110.77999877929688,0.09042360250555936,0.10597578979179012
567,567,567,567,2021-05-06,124.3000030517578,113.30999755859376,112.1999969482422,0.09699060744821741,0.10784319458669267
568,568,568,568,2021-05-07,126.8000030517578,114.47000122070312,113.54000091552734,0.10771382632626958,0.11678705327909733
569,569,569,569,2021-05-10,127.9800033569336,116.52999877929688,112.4499969482422,0.09825799963597848,0.13810588555053016
570,570,570,570,2021-05-11,124.61000061035156,120.91999816894533,113.5999984741211,0.030516064317588576,0.09691903419117232
571,571,571,571,2021-05-12,122.77999877929688,123.36000061035156,113.3499984741211,-0.004701700941836862,0.08319365180519833
572,572,572,572,2021-05-13,125.94000244140624,122.5199966430664,112.36000061035156,0.027913858080679033,0.12086153219372231
573,573,573,573,2021-05-14,125.41000366210938,124.3000030517578,113.30999755859376,0.008930012736116932,0.10678674754413064
574,574,574,574,2021-05-17,124.33999633789062,126.8000030517578,114.47000122070312,-0.019400683396380014,0.08622342108792092
575,575,575,575,2021-05-18,122.13999938964844,127.9800033569336,116.52999877929688,-0.045632159822636575,0.048142115070100244
576,576,576,576,2021-05-19,122.22000122070312,124.61000061035156,120.91999816894533,-0.019179836112206083,0.01075093509298175
577,577,577,577,2021-05-20,123.05999755859376,122.77999877929688,123.36000061035156,0.0022804917908509914,-0.0024319313413867505
578,578,578,578,2021-05-21,122.54000091552734,125.94000244140624,122.5199966430664,-0.02699699428273994,0.00016327353092582264
579,579,579,579,2021-05-24,121.83999633789062,125.41000366210938,124.3000030517578,-0.028466687026318716,-0.019790882167901813
580,580,580,580,2021-05-25,120.87000274658205,124.33999633789062,126.8000030517578,-0.027907300092554044,-0.0467665627953906
581,581,581,581,2021-05-26,120.5999984741211,122.13999938964844,127.9800033569336,-0.012608489628483377,-0.05766529683727084
582,582,582,582,2021-05-27,120.66999816894533,122.22000122070312,124.61000061035156,-0.012682073607239053,-0.031618669626095275
583,583,583,583,2021-05-28,120.06999969482422,123.05999755859376,122.77999877929688,-0.024297073972765926,-0.02207199145965144
584,584,584,584,2021-06-01,119.86000061035156,122.54000091552734,125.94000244140624,-0.02187041198916939,-0.04827697088447658
585,585,585,585,2021-06-02,119.61000061035156,121.83999633789062,125.41000366210938,-0.018302657539111866,-0.04624832854151484
586,586,586,586,2021-06-03,121.12999725341795,120.87000274658205,124.33999633789062,0.002151025903267545,-0.025816303514675898
587,587,587,587,2021-06-04,120.27999877929688,120.5999984741211,122.13999938964844,-0.0026533971714177707,-0.015228431469185066
588,588,588,588,2021-06-07,118.68000030517578,120.66999816894533,122.22000122070312,-0.016491239694753523,-0.028964170186309035
589,589,589,589,2021-06-08,119.47000122070312,120.06999969482422,123.05999755859376,-0.004997072338186692,-0.0291727320747045
590,590,590,590,2021-06-09,120.44000244140624,119.86000061035156,122.54000091552734,0.004838994060580637,-0.01713724872230693
591,591,591,591,2021-06-10,121.8000030517578,119.61000061035156,121.83999633789062,0.018309526212114235,-0.00032824431496136786
592,592,592,592,2021-06-11,122.2699966430664,121.12999725341795,120.87000274658205,0.009411371381966127,0.011582641388861559
593,593,593,593,2021-06-14,121.55999755859376,120.27999877929688,120.5999984741211,0.010641825675818062,0.007960191514253312
594,594,594,594,2021-06-15,123.63999938964844,118.68000030517578,120.66999816894533,0.0417930491381735,0.024612590252507838
595,595,595,595,2021-06-16,122.77999877929688,119.47000122070312,120.06999969482422,0.027705679457381338,0.0225701598347674
596,596,596,596,2021-06-17,123.61000061035156,120.44000244140624,119.86000061035156,0.026320143678903785,0.03128650075842021
597,597,597,597,2021-06-18,121.62999725341795,121.8000030517578,119.61000061035156,-0.0013957782765210425,0.016888191896653026
598,598,598,598,2021-06-21,124.36000061035156,122.2699966430664,121.12999725341795,0.01709335098279552,0.02666559423902304
