,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DE,DE_6m,DE_12m,DE_6m_ret,DE_12m_ret
427,427,427,427,2020-10-14,229.2162628173828,217.3454742431641,212.5587310791016,0.054617141744289555,0.07836672553376456
428,428,428,428,2020-10-15,228.99514770507807,221.6228179931641,211.63595581054688,0.033265210589197514,0.08202383110207823
429,429,429,429,2020-10-16,230.74452209472656,225.150390625,213.0297088623047,0.02484619926351317,0.08315653871485185
430,430,430,430,2020-10-19,228.9279022216797,225.69825744628903,210.54022216796875,0.01430956894365587,0.0873357112687061
431,431,431,431,2020-10-20,229.60069274902344,227.3419189453125,216.06707763671875,0.00993557991500138,0.06263617419336431
432,432,432,432,2020-10-21,227.2265625,228.0147705078125,218.15289306640625,-0.0034568287223546434,0.041593165719932434
433,433,433,433,2020-10-22,227.6879425048828,229.2162628173828,217.3454742431641,-0.006667591093733272,0.047585385882696896
434,434,434,434,2020-10-23,230.235107421875,228.99514770507807,221.6228179931641,0.0054147859866178205,0.038860120571955425
435,435,435,435,2020-10-26,225.1600341796875,230.74452209472656,225.150390625,-0.024202038966482986,4.283161428553228e-05
436,436,436,436,2020-10-27,219.6427154541016,228.9279022216797,225.69825744628903,-0.04055943673736584,-0.02683025585001919
437,437,437,437,2020-10-28,214.70217895507807,229.60069274902344,227.3419189453125,-0.06488880157792443,-0.05559792953658904
438,438,438,438,2020-10-29,219.1717529296875,227.2265625,228.0147705078125,-0.03544836255801964,-0.03878265236252321
439,439,439,439,2020-10-30,217.1436309814453,227.6879425048828,229.2162628173828,-0.04631036412132972,-0.052669176643699966
440,440,440,440,2020-11-02,222.7089385986328,230.235107421875,228.99514770507807,-0.03268905818716639,-0.027451276454736218
441,441,441,441,2020-11-03,230.6484222412109,225.1600341796875,230.74452209472656,0.024375498438339305,-0.00041647729117577637
442,442,442,442,2020-11-04,224.2468414306641,219.6427154541016,228.9279022216797,0.0209618878870792,-0.020447751215938448
443,443,443,443,2020-11-05,236.4732666015625,214.70217895507807,229.60069274902344,0.10140133534014839,0.029932722633600584
444,444,444,444,2020-11-06,238.03042602539065,219.1717529296875,227.2265625,0.08604518074805556,0.047546657426508654
445,445,445,445,2020-11-09,239.2126617431641,217.1436309814453,227.6879425048828,0.10163333210359982,0.05061629136568846
446,446,446,446,2020-11-10,244.11477661132807,222.7089385986328,230.235107421875,0.09611575605087386,0.06028476432145702
447,447,447,447,2020-11-11,239.674057006836,230.6484222412109,225.1600341796875,0.0391315695027219,0.06446091945236465
448,448,448,448,2020-11-12,238.3860626220703,224.2468414306641,219.6427154541016,0.06305204167514655,0.08533561939087164
449,449,449,449,2020-11-13,242.01934814453125,236.4732666015625,214.70217895507807,0.023453313022116173,0.12723284562085757
450,450,450,450,2020-11-16,249.0457000732422,238.03042602539065,219.1717529296875,0.04627674802664328,0.1363038199230835
451,451,451,451,2020-11-17,248.1902313232422,239.2126617431641,217.1436309814453,0.03752965881763015,0.14297725519957694
452,452,452,452,2020-11-18,247.3443603515625,244.11477661132807,222.7089385986328,0.013229775702502833,0.11061712164740611
453,453,453,453,2020-11-19,245.6719207763672,239.674057006836,230.6484222412109,0.025025085503351363,0.06513592587875916
454,454,454,454,2020-11-20,248.5266571044922,238.3860626220703,224.2468414306641,0.042538537575908864,0.10827272089509132
455,455,455,455,2020-11-23,250.9777069091797,242.01934814453125,236.4732666015625,0.037015052033354756,0.06133649065733904
456,456,456,456,2020-11-24,251.36219787597656,249.0457000732422,238.03042602539065,0.009301496882110794,0.05600868793623803
457,457,457,457,2020-11-25,246.4792938232422,248.1902313232422,239.2126617431641,-0.0068936536739501175,0.030377288673289593
458,458,458,458,2020-11-27,251.78512573242188,247.3443603515625,244.11477661132807,0.01795377656699948,0.03142107670649663
459,459,459,459,2020-11-30,251.46792602539065,245.6719207763672,239.674057006836,0.023592461160018008,0.04920795002113332
460,460,460,460,2020-12-01,245.2297515869141,248.5266571044922,238.3860626220703,-0.013265802373030433,0.02870842737015855
461,461,461,461,2020-12-02,248.94960021972656,250.9777069091797,242.01934814453125,-0.008080824047798862,0.028635115862954308
