,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PFG,PFG_6m,PFG_12m,PFG_6m_ret,PFG_12m_ret
1055,1055,1055,1055,2023-04-14,73.87277221679688,71.12773132324219,70.38792419433594,0.03859311751530159,0.049509174511803034
1056,1056,1056,1056,2023-04-17,75.02140045166016,71.46842193603516,71.39054107666016,0.049713963445351395,0.05085910990786768
1057,1057,1057,1057,2023-04-18,74.93379974365234,72.30555725097656,72.1692886352539,0.03634910776709743,0.038305921544694366
1058,1058,1058,1058,2023-04-19,75.06034088134766,73.5515365600586,72.34449768066406,0.02051356629452661,0.03754042515674927
1059,1059,1059,1059,2023-04-20,73.97010803222656,73.32765197753906,71.68257141113281,0.008761443157682125,0.03191203351193517
1060,1060,1060,1060,2023-04-21,73.15243530273438,73.07456970214844,70.47554016113281,0.0010655635866665403,0.03798332209276012
1061,1061,1061,1061,2023-04-24,73.72676086425781,73.87277221679688,71.12773132324219,-0.001976524613298114,0.03654031265533075
1062,1062,1062,1062,2023-04-25,71.21533203125,75.02140045166016,71.46842193603516,-0.05073310278795162,-0.003541282960069725
1063,1063,1063,1063,2023-04-26,71.04012298583984,74.93379974365234,72.30555725097656,-0.051961555014328975,-0.017501203410193344
1064,1064,1064,1064,2023-04-27,72.67546081542969,75.06034088134766,73.5515365600586,-0.031772838198109055,-0.011911046126324543
1065,1065,1065,1065,2023-04-28,72.70466613769531,73.97010803222656,73.32765197753906,-0.01710747663069434,-0.008495919657083517
1066,1066,1066,1066,2023-05-01,72.0135498046875,73.15243530273438,73.07456970214844,-0.015568661430528041,-0.014519687242574908
1067,1067,1067,1067,2023-05-02,69.39505004882812,73.72676086425781,73.87277221679688,-0.05875357556267835,-0.060613972287757556
1068,1068,1068,1068,2023-05-03,68.20746612548828,71.21533203125,75.02140045166016,-0.042236212624015224,-0.09082654129553891
1069,1069,1069,1069,2023-05-04,67.44821166992188,71.04012298583984,74.93379974365234,-0.050561727161338554,-0.09989601620815414
1070,1070,1070,1070,2023-05-05,69.60919952392578,72.67546081542969,75.06034088134766,-0.04219115031538834,-0.0726234559211344
1071,1071,1071,1071,2023-05-08,69.50211334228516,72.70466613769531,73.97010803222656,-0.04404879309045784,-0.06040270602274689
1072,1072,1072,1072,2023-05-09,68.63577270507812,72.0135498046875,73.15243530273438,-0.046904743742954724,-0.06174316109866296
1073,1073,1073,1073,2023-05-10,68.1977310180664,69.39505004882812,73.72676086425781,-0.017253666218545183,-0.07499352719931895
1074,1074,1074,1074,2023-05-11,66.89334869384766,68.20746612548828,71.21533203125,-0.01926647486395272,-0.06068894455909879
1075,1075,1075,1075,2023-05-12,65.696044921875,67.44821166992188,71.04012298583984,-0.025977957082415015,-0.07522619386554352
1076,1076,1076,1076,2023-05-15,66.92255401611328,69.60919952392578,72.67546081542969,-0.038596127037620276,-0.07915886235557257
1077,1077,1077,1077,2023-05-16,65.47216033935547,69.50211334228516,72.70466613769531,-0.057983172153095675,-0.09947787649065343
1078,1078,1078,1078,2023-05-17,67.54553985595703,68.63577270507812,72.0135498046875,-0.01588432396333217,-0.06204401756125677
1079,1079,1079,1079,2023-05-18,68.0030517578125,68.1977310180664,69.39505004882812,-0.00285462958001248,-0.020059042972606522
1080,1080,1080,1080,2023-05-19,67.57474517822266,66.89334869384766,68.20746612548828,0.010186311459657427,-0.00927641771798915
1081,1081,1081,1081,2023-05-22,68.3145523071289,65.696044921875,67.44821166992188,0.03985791516624482,0.01284453087424664
1082,1082,1082,1082,2023-05-23,68.61630249023438,66.92255401611328,69.60919952392578,0.0253090829993321,-0.0142638766209362
1083,1083,1083,1083,2023-05-24,66.68893432617188,65.47216033935547,69.50211334228516,0.018584601157341174,-0.04047616512405727
1084,1084,1084,1084,2023-05-25,66.20223236083984,67.54553985595703,68.63577270507812,-0.019887434432855677,-0.03545585994485689
1085,1085,1085,1085,2023-05-26,66.35797882080078,68.0030517578125,68.1977310180664,-0.02419116340352656,-0.026976736172912408
1086,1086,1086,1086,2023-05-30,66.61106872558594,67.57474517822266,66.89334869384766,-0.014260896583407123,-0.004219851058042234
1087,1087,1087,1087,2023-05-31,64.32157897949219,68.3145523071289,65.696044921875,-0.058449820613404424,-0.020921593438650854
1088,1088,1088,1088,2023-06-01,65.81515502929688,68.61630249023438,66.92255401611328,-0.04082335187525099,-0.016547470476840576
1089,1089,1089,1089,2023-06-02,68.2618408203125,66.68893432617188,65.47216033935547,0.02358571943056731,0.0426086517765345
1090,1090,1090,1090,2023-06-05,67.20063018798828,66.20223236083984,67.54553985595703,0.015081029620067854,-0.005106327800536992
1091,1091,1091,1091,2023-06-06,68.81210327148438,66.35797882080078,68.0030517578125,0.0369831103100795,0.011897282441871049
1092,1092,1092,1092,2023-06-07,70.0305404663086,66.61106872558594,67.57474517822266,0.05133488782186735,0.03634190971211182
1093,1093,1093,1093,2023-06-08,69.59819793701172,64.32157897949219,68.3145523071289,0.08203497241885005,0.018790222383538335
1094,1094,1094,1094,2023-06-09,70.14845275878906,65.81515502929688,68.61630249023438,0.06584042425431158,0.022329245572110912
1095,1095,1095,1095,2023-06-12,70.20740509033203,68.2618408203125,66.68893432617188,0.02850149141364189,0.05275943902404423
1096,1096,1096,1096,2023-06-13,72.08419799804688,67.20063018798828,66.20223236083984,0.07267145853241574,0.08884844857114449
1097,1097,1097,1097,2023-06-14,71.09175872802734,68.81210327148438,66.35797882080078,0.03312869899571358,0.07133701163518102
1098,1098,1098,1098,2023-06-15,72.81131744384766,70.0305404663086,66.61106872558594,0.0397080610691114,0.09308135775158566
1099,1099,1099,1099,2023-06-16,73.47949981689453,69.59819793701172,64.32157897949219,0.05576727551761462,0.1423771148454267
1100,1100,1100,1100,2023-06-20,71.73045349121094,70.14845275878906,65.81515502929688,0.022552182838040835,0.08987745237826972
1101,1101,1101,1101,2023-06-21,71.8680191040039,70.20740509033203,68.2618408203125,0.023652975231533757,0.052828611715644236
1102,1102,1102,1102,2023-06-22,71.25879669189453,72.08419799804688,67.20063018798828,-0.01145051660524421,0.060388816184518745
1103,1103,1103,1103,2023-06-23,71.1408920288086,71.09175872802734,68.81210327148438,0.0006911251270238505,0.033842720199039
1104,1104,1104,1104,2023-06-26,71.78941345214844,72.81131744384766,70.0305404663086,-0.014034960876615266,0.025115799108904824
1105,1105,1105,1105,2023-06-27,73.19454193115234,73.47949981689453,69.59819793701172,-0.003878059682663637,0.05167294701215419
1106,1106,1106,1106,2023-06-28,72.81131744384766,71.73045349121094,70.14845275878906,0.015068410975112023,0.03796041937254224
1107,1107,1107,1107,2023-06-29,74.2950668334961,71.8680191040039,70.20740509033203,0.03377090060016652,0.058222658107142555
1108,1108,1108,1108,2023-06-30,74.52105712890625,71.25879669189453,72.08419799804688,0.04578045923392349,0.03380573272002563
1109,1109,1109,1109,2023-07-03,75.25801849365234,71.1408920288086,71.09175872802734,0.057872854098828475,0.05860397660949257
1110,1110,1110,1110,2023-07-05,74.43263244628906,71.78941345214844,72.81131744384766,0.03681906380113387,0.022267348804555942
1111,1111,1111,1111,2023-07-06,73.8921890258789,73.19454193115234,73.47949981689453,0.009531408713272294,0.005616385658758771
1112,1112,1112,1112,2023-07-07,75.28750610351562,72.81131744384766,71.73045349121094,0.034008293581250015,0.0495891555006065
1113,1113,1113,1113,2023-07-10,75.3464584350586,74.2950668334961,71.8680191040039,0.014151566804816218,0.04840037856088486
1114,1114,1114,1114,2023-07-11,76.94811248779297,74.52105712890625,71.25879669189453,0.0325687188614141,0.0798401890014735
1115,1115,1115,1115,2023-07-12,77.23306274414062,75.25801849365234,71.1408920288086,0.0262436387513294,0.08563528712663593
1116,1116,1116,1116,2023-07-13,78.51045989990234,74.43263244628906,71.78941345214844,0.05478547942739853,0.09362169329094527
1117,1117,1117,1117,2023-07-14,77.763671875,73.8921890258789,73.19454193115234,0.05239366839931092,0.062424462580084716
1118,1118,1118,1118,2023-07-17,79.16880798339844,75.28750610351562,72.81131744384766,0.05155306744450083,0.08731459287841759
1119,1119,1119,1119,2023-07-18,80.05315399169922,75.3464584350586,74.2950668334961,0.06246737609701114,0.07750295414778585
1120,1120,1120,1120,2023-07-19,81.0750732421875,76.94811248779297,74.52105712890625,0.05363303427422261,0.0879485123505983
1121,1121,1121,1121,2023-07-20,82.07732391357422,77.23306274414062,75.25801849365234,0.06272263454683613,0.09061234346074443
1122,1122,1122,1122,2023-07-21,82.20507049560547,78.51045989990234,74.43263244628906,0.047058832675462625,0.10442245281228013
1123,1123,1123,1123,2023-07-24,82.25419616699219,77.763671875,73.8921890258789,0.0577457851940224,0.11316496711424673
1124,1124,1124,1124,2023-07-25,81.41897583007812,79.16880798339844,75.28750610351562,0.028422404024973424,0.08144073358110848
1125,1125,1125,1125,2023-07-26,82.63741302490234,80.05315399169922,75.3464584350586,0.03228178909067214,0.09676572384789472
1126,1126,1126,1126,2023-07-27,81.75306701660156,81.0750732421875,76.94811248779297,0.00836254285443272,0.062444085676186756
1127,1127,1127,1127,2023-07-28,78.11741638183594,82.07732391357422,77.23306274414062,-0.04824606045767266,0.011450454070752292
1128,1128,1128,1128,2023-07-31,78.48098754882812,82.20507049560547,78.51045989990234,-0.04530235086869039,-0.00037539394256247416
1129,1129,1129,1129,2023-08-01,77.71453857421875,82.25419616699219,77.763671875,-0.05519058971237212,-0.0006318284566118049
1130,1130,1130,1130,2023-08-02,77.07585144042969,81.41897583007812,79.16880798339844,-0.053342901275404975,-0.02643663074234537
1131,1131,1131,1131,2023-08-03,77.97985076904297,82.63741302490234,80.05315399169922,-0.05636142378338782,-0.025899082288141084
1132,1132,1132,1132,2023-08-04,77.2035903930664,81.75306701660156,81.0750732421875,-0.0556490024112648,-0.04775182672430278
1133,1133,1133,1133,2023-08-07,78.4023666381836,78.11741638183594,82.07732391357422,0.003647717366314751,-0.044774331083945684
1134,1134,1134,1134,2023-08-08,77.63594055175781,78.48098754882812,82.20507049560547,-0.010767537762500168,-0.05558209385748192
1135,1135,1135,1135,2023-08-09,76.56489562988281,77.71453857421875,82.25419616699219,-0.014793151518721404,-0.06916729847507086
1136,1136,1136,1136,2023-08-10,75.9949722290039,77.07585144042969,81.41897583007812,-0.014023577958930056,-0.0666184208997439
