,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,META,META_6m,META_12m,META_6m_ret,META_12m_ret
666,666,666,666,2021-09-27,353.5799865722656,364.7200012207031,378.0,-0.030544019004036804,-0.06460321012628145
667,667,667,667,2021-09-28,340.6499938964844,355.70001220703125,378.6900024414063,-0.04231098620763385,-0.10045157859906206
668,668,668,668,2021-09-29,339.6099853515625,357.4800109863281,376.510009765625,-0.049988880736184904,-0.0980054273644213
669,669,669,669,2021-09-30,339.3900146484375,343.2099914550781,376.5299987792969,-0.0111301445230233,-0.09863751693428546
670,670,670,670,2021-10-01,343.010009765625,345.9599914550781,373.9200134277344,-0.008526944624567045,-0.08266474794637646
671,671,671,671,2021-10-04,326.2300109863281,352.9599914550781,373.05999755859375,-0.07573090751321587,-0.12552937028556754
672,672,672,672,2021-10-05,332.9599914550781,353.5799865722656,364.7200012207031,-0.058317766559938256,-0.08708052659389542
673,673,673,673,2021-10-06,333.6400146484375,340.6499938964844,355.70001220703125,-0.020578245629374825,-0.06201854597000678
674,674,674,674,2021-10-07,329.2200012207031,339.6099853515625,357.4800109863281,-0.03059387114340506,-0.07905339850374404
675,675,675,675,2021-10-08,330.04998779296875,339.3900146484375,343.2099914550781,-0.027520040226120868,-0.038343882724148015
676,676,676,676,2021-10-11,325.45001220703125,343.010009765625,345.9599914550781,-0.05119383417000656,-0.05928425180548669
677,677,677,677,2021-10-12,323.7699890136719,326.2300109863281,352.9599914550781,-0.00754075924902986,-0.08270059822097797
678,678,678,678,2021-10-13,324.5400085449219,332.9599914550781,353.5799865722656,-0.025288272243640608,-0.08213128324617003
679,679,679,679,2021-10-14,328.5299987792969,333.6400146484375,340.6499938964844,-0.015315956254603136,-0.035579026374121914
680,680,680,680,2021-10-15,324.760009765625,329.2200012207031,339.6099853515625,-0.013547146098478513,-0.04372655759978572
681,681,681,681,2021-10-18,335.3399963378906,330.04998779296875,339.3900146484375,0.01602790104703833,-0.011933227660637424
682,682,682,682,2021-10-19,339.989990234375,325.45001220703125,343.010009765625,0.04467653243808867,-0.008804464724844419
683,683,683,683,2021-10-20,340.7799987792969,323.7699890136719,326.2300109863281,0.052537326938312034,0.044600396355252814
684,684,684,684,2021-10-21,341.8800048828125,324.5400085449219,332.9599914550781,0.05342945671208499,0.02679004582127953
685,685,685,685,2021-10-22,324.6099853515625,328.5299987792969,333.6400146484375,-0.011931980161019595,-0.0270651867294458
686,686,686,686,2021-10-25,328.69000244140625,324.760009765625,329.2200012207031,0.012101221078966828,-0.001609862029438358
687,687,687,687,2021-10-26,315.8099975585937,335.3399963378906,330.04998779296875,-0.0582393958149221,-0.04314495004104468
688,688,688,688,2021-10-27,312.2200012207031,339.989990234375,325.45001220703125,-0.08167884294043004,-0.04065143797847515
689,689,689,689,2021-10-28,316.9200134277344,340.7799987792969,323.7699890136719,-0.07001580326612777,-0.02115691947485676
690,690,690,690,2021-10-29,323.57000732421875,341.8800048828125,324.5400085449219,-0.05355679565077209,-0.0029888494335479354
691,691,691,691,2021-11-01,329.9800109863281,324.6099853515625,328.5299987792969,0.016543008154692895,0.004413637148567906
692,692,692,692,2021-11-02,328.0799865722656,328.69000244140625,324.760009765625,-0.001855900284796097,0.010222862134523947
693,693,693,693,2021-11-03,331.6199951171875,315.8099975585937,335.3399963378906,0.050061738642901865,-0.01109322258402734
694,694,694,694,2021-11-04,335.8500061035156,312.2200012207031,339.989990234375,0.07568382803928331,-0.012176782404697994
695,695,695,695,2021-11-05,341.1300048828125,316.9200134277344,340.7799987792969,0.07639148816519481,0.001027073492485986
696,696,696,696,2021-11-08,338.6199951171875,323.57000732421875,341.8800048828125,0.04651230785394955,-0.009535537963802354
697,697,697,697,2021-11-09,335.3699951171875,329.9800109863281,324.6099853515625,0.01633427465726922,0.03314750085081819
698,698,698,698,2021-11-10,327.6400146484375,328.0799865722656,328.69000244140625,-0.0013410507858918619,-0.003194462214152427
699,699,699,699,2021-11-11,327.739990234375,331.6199951171875,315.8099975585937,-0.011700153609378705,0.037775855001448644
700,700,700,700,2021-11-12,340.8900146484375,335.8500061035156,312.2200012207031,0.01500672458933483,0.09182631899187021
701,701,701,701,2021-11-15,347.5599975585937,341.1300048828125,316.9200134277344,0.018849097363892398,0.09668049612728535
702,702,702,702,2021-11-16,342.9599914550781,338.6199951171875,323.57000732421875,0.012816716084319335,0.059925158982459426
703,703,703,703,2021-11-17,340.7699890136719,335.3699951171875,329.9800109863281,0.01610160114233672,0.03269888377508656
704,704,704,704,2021-11-18,338.69000244140625,327.6400146484375,328.0799865722656,0.03372600201115716,0.032339722943763194
705,705,705,705,2021-11-19,345.29998779296875,327.739990234375,331.6199951171875,0.05357905071650282,0.04125201398349643
706,706,706,706,2021-11-22,341.010009765625,340.8900146484375,335.8500061035156,0.0003520053742591678,0.015364012411299255
707,707,707,707,2021-11-23,337.25,347.5599975585937,341.1300048828125,-0.02966393610028606,-0.0113739771561443
708,708,708,708,2021-11-24,341.0599975585937,342.9599914550781,338.6199951171875,-0.005539987006715652,0.007205724637027844
709,709,709,709,2021-11-26,333.1199951171875,340.7699890136719,335.3699951171875,-0.022449142069777328,-0.006709008059035737
710,710,710,710,2021-11-29,338.0299987792969,338.69000244140625,327.6400146484375,-0.0019486954363926445,0.03171158486855763
