,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PEAK,PEAK_6m,PEAK_12m,PEAK_6m_ret,PEAK_12m_ret
152,152,152,152,2019-09-12,28.443714141845703,29.577844619750977,28.31222152709961,-0.03834391898684675,0.004644376444294052
153,153,153,153,2019-09-13,27.72871780395508,29.05187225341797,28.42727279663086,-0.04554455003522939,-0.0245734087006253
154,154,154,154,2019-09-16,28.02457427978516,29.24089431762696,28.46015930175781,-0.041596540264111526,-0.015305080247591807
155,155,155,155,2019-09-17,28.85462951660156,28.93681526184082,28.55877113342285,-0.0028401793526892094,0.010359632835617916
156,156,156,156,2019-09-18,28.72314453125,28.50945854187012,28.525897979736328,0.007495266494312869,0.006914648283948388
157,157,157,157,2019-09-19,28.83820343017578,28.435489654541016,29.208023071289062,0.014162364725463839,-0.012661577273157087
158,158,158,158,2019-09-20,28.772445678710938,28.443714141845703,29.577844619750977,0.011557264822233959,-0.027229804990665962
159,159,159,159,2019-09-23,28.81354331970215,27.72871780395508,29.05187225341797,0.03912281568217102,-0.008203565389414136
160,160,160,160,2019-09-24,29.05187225341797,28.02457427978516,29.24089431762696,0.03665704118737767,-0.0064643051664478035
161,161,161,161,2019-09-25,28.83820343017578,28.85462951660156,28.93681526184082,-0.0005692703978863456,-0.0034078329205453617
162,162,162,162,2019-09-26,29.07653045654297,28.72314453125,28.50945854187012,0.012303176795580129,0.01989065887870245
163,163,163,163,2019-09-27,29.191585540771484,28.83820343017578,28.435489654541016,0.012253957201298071,0.026589866937977158
164,164,164,164,2019-09-30,29.28198432922364,28.772445678710938,28.443714141845703,0.017709257537662726,0.02947119293906475
165,165,165,165,2019-10-01,29.347732543945312,28.81354331970215,27.72871780395508,0.01853951866717818,0.0583876525210012
166,166,166,166,2019-10-02,29.487445831298828,29.05187225341797,28.02457427978516,0.014992960662960853,0.05219959942688135
167,167,167,167,2019-10-03,29.74221611022949,28.83820343017578,28.85462951660156,0.03134774613274849,0.03076063039094845
168,168,168,168,2019-10-04,29.90658187866211,29.07653045654297,28.72314453125,0.028547127497199565,0.04120152464938376
169,169,169,169,2019-10-07,29.84905433654785,29.191585540771484,28.83820343017578,0.022522544890824392,0.03505249239327912
170,170,170,170,2019-10-08,29.95589256286621,29.28198432922364,28.772445678710938,0.023014431879536446,0.04113125791843686
171,171,171,171,2019-10-09,29.95589256286621,29.347732543945312,28.81354331970215,0.020722555584498314,0.03964626045776698
172,172,172,172,2019-10-10,30.038074493408203,29.487445831298828,29.05187225341797,0.01867332509094166,0.033946254182437574
173,173,173,173,2019-10-11,29.873699188232425,29.74221611022949,28.83820343017578,0.004420755922007968,0.035907082789114364
174,174,174,174,2019-10-14,30.120258331298828,29.90658187866211,29.07653045654297,0.007144796871259018,0.03589588779568409
175,175,175,175,2019-10-15,30.16956901550293,29.84905433654785,29.191585540771484,0.010737850363407686,0.03350223897107307
176,176,176,176,2019-10-16,30.27640914916992,29.95589256286621,29.28198432922364,0.010699617300037545,0.03396029479306284
177,177,177,177,2019-10-17,30.40789794921875,29.95589256286621,29.347732543945312,0.015089030827706074,0.03612426969224769
178,178,178,178,2019-10-18,30.72842025756836,30.038074493408203,29.487445831298828,0.02298235741813781,0.04208483954050446
179,179,179,179,2019-10-21,30.8763484954834,29.873699188232425,29.74221611022949,0.03356294447946806,0.03813207398704366
180,180,180,180,2019-10-22,30.83525657653809,30.120258331298828,29.90658187866211,0.02373811795950931,0.031052518861695022
181,181,181,181,2019-10-23,31.17220497131348,30.16956901550293,29.84905433654785,0.03323335362514901,0.04432805876685797
182,182,182,182,2019-10-24,30.89278221130371,30.27640914916992,29.95589256286621,0.020358195686184688,0.031275637888983576
183,183,183,183,2019-10-25,29.83261489868164,30.40789794921875,29.95589256286621,-0.018918869416683526,-0.004115305992831164
184,184,184,184,2019-10-28,29.7093448638916,30.72842025756836,30.038074493408203,-0.03316393700472642,-0.010943765040223874
185,185,185,185,2019-10-29,29.91479682922364,30.8763484954834,29.873699188232425,-0.031142013648421396,0.001375713155985725
186,186,186,186,2019-10-30,30.31749725341797,30.83525657653809,30.120258331298828,-0.01679114690792205,0.006548380825611488
187,187,187,187,2019-10-31,30.917436599731445,31.17220497131348,30.16956901550293,-0.008172933926762216,0.024788805695043825
188,188,188,188,2019-11-01,30.46923828125,30.89278221130371,30.27640914916992,-0.01371012578785269,0.006368956474660736
189,189,189,189,2019-11-04,29.69733619689941,29.83261489868164,30.40789794921875,-0.004534590824226026,-0.023367670909247962
190,190,190,190,2019-11-05,29.69733619689941,29.7093448638916,30.72842025756836,-0.00040420504212412833,-0.03355473701629663
191,191,191,191,2019-11-06,28.65984344482422,29.91479682922364,30.8763484954834,-0.04195092453957305,-0.07178650192341918
192,192,192,192,2019-11-07,27.9211483001709,30.31749725341797,30.83525657653809,-0.07904178017124774,-0.09450572493645071
193,193,193,193,2019-11-08,27.962646484375,30.917436599731445,31.17220497131348,-0.09557034606750392,-0.10296218987049865
194,194,194,194,2019-11-11,27.7302474975586,30.46923828125,30.89278221130371,-0.08989364152818036,-0.1023713141831536
195,195,195,195,2019-11-12,27.59744453430176,29.69733619689941,29.83261489868164,-0.07070976496595316,-0.07492371593878133
196,196,196,196,2019-11-13,28.145238876342773,29.69733619689941,29.7093448638916,-0.05226385660538424,-0.052646936333147654
197,197,197,197,2019-11-14,28.21164894104004,28.65984344482422,29.91479682922364,-0.015638414237922893,-0.05693329284188231
198,198,198,198,2019-11-15,28.593441009521484,27.9211483001709,30.31749725341797,0.02407826147130465,-0.05686670735006383
199,199,199,199,2019-11-18,28.842443466186523,27.962646484375,30.917436599731445,0.03146329451695995,-0.0671140094959537
200,200,200,200,2019-11-19,29.04994010925293,27.7302474975586,30.46923828125,0.04759036542355122,-0.046581347354209046
201,201,201,201,2019-11-20,29.12463760375977,27.59744453430176,29.69733619689941,0.05533820595453354,-0.019284510548102096
202,202,202,202,2019-11-21,28.50214195251465,28.145238876342773,29.69733619689941,0.01268076201946422,-0.04024584011375232
203,203,203,203,2019-11-22,28.55194664001465,28.21164894104004,28.65984344482422,0.012062311553847849,-0.003764738108820942
204,204,204,204,2019-11-25,28.56023979187012,28.593441009521484,27.9211483001709,-0.0011611480283295617,0.02288915501714195
205,205,205,205,2019-11-26,28.933746337890625,28.842443466186523,27.962646484375,0.0031655733957194343,0.03472846728074397
206,206,206,206,2019-11-27,29.13293838500977,29.04994010925293,27.7302474975586,0.0028570893931172403,0.0505834247449346
207,207,207,207,2019-11-29,28.950347900390625,29.12463760375977,27.59744453430176,-0.005984270284847937,0.049022776888175246
208,208,208,208,2019-12-02,28.07884788513184,28.50214195251465,28.145238876342773,-0.01485130724869832,-0.002358871122132733
209,209,209,209,2019-12-03,28.53533935546875,28.55194664001465,28.21164894104004,-0.0005816515684651247,0.01147364392294814
210,210,210,210,2019-12-04,28.543642044067383,28.56023979187012,28.593441009521484,-0.0005811487551817818,-0.0017416219837800284
211,211,211,211,2019-12-05,28.65984344482422,28.933746337890625,28.842443466186523,-0.00946655472360014,-0.006330948401662817
212,212,212,212,2019-12-06,28.50214195251465,29.13293838500977,29.04994010925293,-0.021652344990359618,-0.018857118282450402
213,213,213,213,2019-12-09,28.37764358520508,28.950347900390625,29.12463760375977,-0.019782294746717555,-0.025648182432946642
214,214,214,214,2019-12-10,27.929443359375,28.07884788513184,28.50214195251465,-0.0053208923089737015,-0.020093177351154123
215,215,215,215,2019-12-11,27.54763984680176,28.53533935546875,28.55194664001465,-0.03461320352153785,-0.03517472226588514
216,216,216,216,2019-12-12,26.81724739074707,28.543642044067383,28.56023979187012,-0.060482633948919395,-0.06102863329667163
217,217,217,217,2019-12-13,26.767446517944336,28.65984344482422,28.933746337890625,-0.06602956260117454,-0.07487104485703522
218,218,218,218,2019-12-16,26.91684532165528,28.50214195251465,29.13293838500977,-0.0556202629788497,-0.0760682988467366
219,219,219,219,2019-12-17,26.58484268188477,28.37764358520508,28.950347900390625,-0.06317652478569447,-0.08170904289802816
220,220,220,220,2019-12-18,26.91684532165528,27.929443359375,28.07884788513184,-0.036255575332826084,-0.04138355562985385
221,221,221,221,2019-12-19,27.298643112182617,27.54763984680176,28.53533935546875,-0.009038768330204228,-0.04333911112394473
222,222,222,222,2019-12-20,27.937744140625,26.81724739074707,28.543642044067383,0.04178269057787576,-0.021227070550666305
223,223,223,223,2019-12-23,27.73854255676269,26.767446517944336,28.65984344482422,0.036278994268928555,-0.03214605445543384
224,224,224,224,2019-12-24,27.804946899414062,26.91684532165528,28.50214195251465,0.03299426686693785,-0.024461145911845228
225,225,225,225,2019-12-26,27.9709415435791,26.58484268188477,28.37764358520508,0.052138689639071645,-0.014331776364899351
226,226,226,226,2019-12-27,28.21164894104004,26.91684532165528,27.929443359375,0.04810383995271006,0.010104232226680221
227,227,227,227,2019-12-30,28.26974105834961,27.298643112182617,27.54763984680176,0.03557312142498459,0.026212815891437646
228,228,228,228,2019-12-31,28.61003875732422,27.937744140625,26.81724739074707,0.024064026548285877,0.06685217690148648
