,Unnamed: 0.1,Unnamed: 0,Date,AMT,AMT_6m,AMT_12m
520,520,520,2021-03-01,197.53521728515625,209.1782989501953,214.06655883789065
521,521,521,2021-03-02,192.951904296875,207.9770355224609,210.5181884765625
522,522,522,2021-03-03,187.5,206.2213134765625,209.93603515625
523,523,523,2021-03-04,185.9105834960937,207.7090301513672,207.89389038085932
524,524,524,2021-03-05,184.8109588623047,207.68136596679688,209.1228485107422
525,525,525,2021-03-08,183.57272338867188,199.71597290039065,210.92477416992188
526,526,526,2021-03-09,187.305892944336,197.53521728515625,209.1782989501953
527,527,527,2021-03-10,188.89529418945312,192.951904296875,207.9770355224609
528,528,528,2021-03-11,197.65533447265625,187.5,206.2213134765625
529,529,529,2021-03-12,198.85659790039065,185.9105834960937,207.7090301513672
530,530,530,2021-03-15,201.89675903320312,184.8109588623047,207.68136596679688
531,531,531,2021-03-16,205.9163818359375,183.57272338867188,199.71597290039065
532,532,532,2021-03-17,206.2213134765625,187.305892944336,197.53521728515625
533,533,533,2021-03-18,205.61143493652344,188.89529418945312,192.951904296875
534,534,534,2021-03-19,205.0108184814453,197.65533447265625,187.5
535,535,535,2021-03-22,208.6792907714844,198.85659790039065,185.9105834960937
536,536,536,2021-03-23,212.39401245117188,201.89675903320312,184.8109588623047
537,537,537,2021-03-24,209.76043701171875,205.9163818359375,183.57272338867188
538,538,538,2021-03-25,209.9637451171875,206.2213134765625,187.305892944336
539,539,539,2021-03-26,220.6828155517578,205.61143493652344,188.89529418945312
540,540,540,2021-03-29,223.46420288085932,205.0108184814453,197.65533447265625
541,541,541,2021-03-30,219.1395721435547,208.6792907714844,198.85659790039065
542,542,542,2021-03-31,220.9045562744141,212.39401245117188,201.89675903320312
543,543,543,2021-04-01,221.82861328125,209.76043701171875,205.9163818359375
544,544,544,2021-04-05,226.1624298095703,209.9637451171875,206.2213134765625
545,545,545,2021-04-06,225.081283569336,220.6828155517578,205.61143493652344
546,546,546,2021-04-07,226.12548828125,223.46420288085932,205.0108184814453
547,547,547,2021-04-08,222.79885864257807,219.1395721435547,208.6792907714844
548,548,548,2021-04-09,222.1335601806641,220.9045562744141,212.39401245117188
549,549,549,2021-04-12,224.3163299560547,221.82861328125,209.76043701171875
550,550,550,2021-04-13,225.71890258789065,226.1624298095703,209.9637451171875
551,551,551,2021-04-14,224.48355102539065,225.081283569336,220.6828155517578
552,552,552,2021-04-15,229.5736083984375,226.12548828125,223.46420288085932
553,553,553,2021-04-16,230.92971801757807,222.79885864257807,219.1395721435547
554,554,554,2021-04-19,230.85543823242188,222.1335601806641,220.9045562744141
555,555,555,2021-04-20,234.69155883789065,224.3163299560547,221.82861328125
556,556,556,2021-04-21,234.2364196777344,225.71890258789065,226.1624298095703
557,557,557,2021-04-22,233.6419677734375,224.48355102539065,225.081283569336
