,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BK,BK_6m,BK_12m,BK_6m_ret,BK_12m_ret
434,434,434,434,2020-10-23,33.7493896484375,33.35517883300781,32.665321350097656,0.011818578979992722,0.033187130985827595
435,435,435,435,2020-10-26,32.90721893310547,34.062957763671875,33.31039047241211,-0.03392949134320333,-0.012103476830766957
436,436,436,436,2020-10-27,32.13016891479492,33.113285064697266,33.77626419067383,-0.029689478044280904,-0.04873526765974967
437,437,437,437,2020-10-28,30.792919158935547,33.238704681396484,33.87482070922852,-0.07358245593216006,-0.0909791250778007
438,438,438,438,2020-10-29,31.00977325439453,33.068485260009766,33.0416145324707,-0.06225601171109174,-0.06149340178517726
439,439,439,439,2020-10-30,31.04591178894043,33.650848388671875,32.781795501708984,-0.07741072586474118,-0.052952673464089495
440,440,440,440,2020-11-02,31.714534759521484,33.7493896484375,33.35517883300781,-0.060293087078397645,-0.0491870867099885
441,441,441,441,2020-11-03,32.518699645996094,32.90721893310547,34.062957763671875,-0.011806506283595919,-0.045335408874056515
442,442,442,442,2020-11-04,31.35312271118164,32.13016891479492,33.113285064697266,-0.024184317414387313,-0.05315577569777785
443,443,443,443,2020-11-05,32.16630935668945,30.792919158935547,33.238704681396484,0.04460084445600132,-0.03226345114787954
444,444,444,444,2020-11-06,31.68743133544922,31.00977325439453,33.068485260009766,0.021853048569410394,-0.04176344678934163
445,445,445,445,2020-11-09,35.3829460144043,31.04591178894043,33.650848388671875,0.13969743439807303,0.05147262873513503
446,446,446,446,2020-11-10,35.437156677246094,31.714534759521484,33.7493896484375,0.11737904862712778,0.05000881634867538
447,447,447,447,2020-11-11,34.876949310302734,32.518699645996094,32.90721893310547,0.07251980214396436,0.05985709036067055
448,448,448,448,2020-11-12,34.09086990356445,31.35312271118164,32.13016891479492,0.08731976133932062,0.061023675100154495
449,449,449,449,2020-11-13,34.976348876953125,32.16630935668945,30.792919158935547,0.08735971196146197,0.1358568733423775
450,450,450,450,2020-11-16,35.8798942565918,31.68743133544922,31.00977325439453,0.1323068088656465,0.1570511645552617
451,451,451,451,2020-11-17,35.63593292236328,35.3829460144043,31.04591178894043,0.007149967327649609,0.14784623381742534
452,452,452,452,2020-11-18,35.00345230102539,35.437156677246094,31.714534759521484,-0.012238690032916222,0.1037037928017055
