,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PPG,PPG_6m,PPG_12m,PPG_6m_ret,PPG_12m_ret
193,193,193,193,2019-11-08,120.1599349975586,116.16004180908205,115.5565948486328,0.03443432979346439,0.039836239160176756
194,194,194,194,2019-11-11,120.42091369628906,116.45714569091795,114.73033142089844,0.03403627988523006,0.04959963250270949
195,195,195,195,2019-11-12,121.39957427978516,118.9173583984375,115.15740966796876,0.0208734529153507,0.05420549689172671
196,196,196,196,2019-11-13,121.46481323242188,119.66008758544922,114.85101318359376,0.015082102005682607,0.05758590947957676
197,197,197,197,2019-11-14,120.93354034423828,120.4770736694336,116.09506225585938,0.0037888260471625745,0.041676863721520574
198,198,198,198,2019-11-15,120.70052337646484,120.53277587890624,116.9584732055664,0.001391716869834081,0.031994690665304804
199,199,199,199,2019-11-18,120.1599349975586,120.1599349975586,116.16004180908205,0.0,0.03443432979346439
200,200,200,200,2019-11-19,120.03875732421876,120.42091369628906,116.45714569091795,-0.0031735050029111367,0.030754760577822893
201,201,201,201,2019-11-20,117.90436553955078,121.39957427978516,118.9173583984375,-0.02879094725801179,-0.008518460824639584
202,202,202,202,2019-11-21,117.1400909423828,121.46481323242188,119.66008758544922,-0.03560473337874204,-0.021059625593762732
203,203,203,203,2019-11-22,116.88844299316406,120.93354034423828,120.4770736694336,-0.03344892855662551,-0.02978683468122789
204,204,204,204,2019-11-25,119.10671997070312,120.70052337646484,120.53277587890624,-0.013204610561551977,-0.011831270770995994
205,205,205,205,2019-11-26,120.89627838134766,120.1599349975586,120.1599349975586,0.00612802748107355,0.00612802748107355
206,206,206,206,2019-11-27,120.41159057617188,120.03875732421876,120.42091369628906,0.003105940616713543,-7.742110428343718e-05
207,207,207,207,2019-11-29,120.08538055419922,117.90436553955078,121.39957427978516,0.018498170145505144,-0.010825356953535592
208,208,208,208,2019-12-02,119.76847839355467,117.1400909423828,121.46481323242188,0.02243798369991601,-0.01396564810601797
209,209,209,209,2019-12-03,119.26517486572266,116.88844299316406,120.93354034423828,0.02033333503037249,-0.013795721797001947
210,210,210,210,2019-12-04,120.32771301269533,119.10671997070312,120.70052337646484,0.010251252341534789,-0.0030887220149553585
211,211,211,211,2019-12-05,122.21980285644533,120.89627838134766,120.1599349975586,0.010947603125737393,0.017142717819617515
212,212,212,212,2019-12-06,123.53395080566406,120.41159057617188,120.03875732421876,0.025930728217704146,0.029117208136410166
213,213,213,213,2019-12-09,123.94403076171876,120.08538055419922,117.90436553955078,0.0321325559340504,0.0512251195664335
214,214,214,214,2019-12-10,123.46871948242188,119.76847839355467,117.1400909423828,0.030894949476675704,0.054026153549359135
215,215,215,215,2019-12-11,123.3196029663086,119.26517486572266,116.88844299316406,0.033995071110663355,0.055019639311310264
216,216,216,216,2019-12-12,124.67105102539062,120.32771301269533,119.10671997070312,0.03609590761720072,0.04671718821621629
217,217,217,217,2019-12-13,123.97201538085938,122.21980285644533,120.89627838134766,0.014336568080314471,0.025441122263580418
218,218,218,218,2019-12-16,124.19569396972656,123.53395080566406,120.41159057617188,0.00535677163845838,0.03142640484564385
219,219,219,219,2019-12-17,124.055908203125,123.94403076171876,120.08538055419922,0.0009026448528313136,0.033064205073104036
220,220,220,220,2019-12-18,122.70442962646484,123.46871948242188,119.76847839355467,-0.006190149692658298,0.024513555422009725
221,221,221,221,2019-12-19,123.42212677001952,123.3196029663086,119.26517486572266,0.0008313666379458073,0.03485470011658531
222,222,222,222,2019-12-20,123.46871948242188,124.67105102539062,120.32771301269533,-0.009644031497928807,0.026103766049265342
223,223,223,223,2019-12-23,123.97201538085938,123.97201538085938,122.21980285644533,0.0,0.014336568080314471
224,224,224,224,2019-12-24,124.46602630615234,124.19569396972656,123.53395080566406,0.002176664325348243,0.007545095857531159
225,225,225,225,2019-12-26,124.29823303222656,124.055908203125,123.94403076171876,0.0019533517799472655,0.0028577598157086825
226,226,226,226,2019-12-27,124.25164031982422,122.70442962646484,123.46871948242188,0.012609248892394342,0.006341046061580036
227,227,227,227,2019-12-30,123.88814544677734,123.42212677001952,123.3196029663086,0.003775811428255338,0.0046103171498539375
228,228,228,228,2019-12-31,124.41940307617188,123.46871948242188,124.67105102539062,0.007699793095249152,-0.002018495449817803
229,229,229,229,2020-01-02,122.6578369140625,123.97201538085938,123.97201538085938,-0.010600605812203123,-0.010600605812203123
230,230,230,230,2020-01-03,120.87762451171876,124.46602630615234,124.19569396972656,-0.028830371635767404,-0.026716461351845244
231,231,231,231,2020-01-06,120.3183822631836,124.29823303222656,124.055908203125,-0.03201856270966552,-0.030127754446178434
232,232,232,232,2020-01-07,119.37701416015624,124.25164031982422,122.70442962646484,-0.03923188576923953,-0.027117321489027568
233,233,233,233,2020-01-08,119.6845932006836,123.88814544677734,123.42212677001952,-0.03393022174102689,-0.030282524431784474
234,234,234,234,2020-01-09,119.91759490966795,124.41940307617188,123.46871948242188,-0.03618252503387942,-0.028761329895054866
235,235,235,235,2020-01-10,119.38632202148438,122.6578369140625,123.97201538085938,-0.02667187824998285,-0.03698974599458682
236,236,236,236,2020-01-13,120.43954467773438,120.87762451171876,124.46602630615234,-0.003624159853852227,-0.03235004561416566
237,237,237,237,2020-01-14,121.10130310058594,120.3183822631836,124.29823303222656,0.006507075832268061,-0.025719834092989613
238,238,238,238,2020-01-15,121.8562469482422,119.37701416015624,124.25164031982422,0.020768091793281318,-0.019278565380837387
