,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BMY,BMY_6m,BMY_12m,BMY_6m_ret,BMY_12m_ret
827,827,827,827,2022-05-17,73.58618927001953,71.75170135498047,70.81094360351562,0.025567169563871728,0.03919232713580345
828,828,828,828,2022-05-18,72.45728302001953,71.7705307006836,70.6322021484375,0.009568722881540426,0.02583921803466538
829,829,829,829,2022-05-19,71.46007537841797,71.63882446289062,70.60399627685547,-0.0024951426243077224,0.012125079977139075
830,830,830,830,2022-05-20,71.67646026611328,71.77993774414062,71.78933715820312,-0.0014415933097655653,-0.0015723350647617318
831,831,831,831,2022-05-23,72.1562271118164,71.30955505371094,71.73289489746094,0.011873192273710753,0.005901507459870503
832,832,832,832,2022-05-24,72.56076049804688,72.35379791259766,72.12801361083984,0.0028604246275949485,0.00599970615497436
833,833,833,833,2022-05-25,72.66423797607422,73.58618927001953,71.75170135498047,-0.012528863134388946,0.01271797886128323
834,834,834,834,2022-05-26,72.9935073852539,72.45728302001953,71.7705307006836,0.007400558548216862,0.01704009532367401
835,835,835,835,2022-05-27,71.62940216064453,71.46007537841797,71.63882446289062,0.0023695298574748502,-0.00013152508177982636
836,836,836,836,2022-05-31,70.98028564453125,71.67646026611328,71.77993774414062,-0.009712737194294219,-0.01114032868710102
837,837,837,837,2022-06-01,70.51931762695312,72.1562271118164,71.30955505371094,-0.022685630199686835,-0.011081788775187285
838,838,838,838,2022-06-02,70.62278747558594,72.56076049804688,72.35379791259766,-0.02670827881569826,-0.023924251206588365
839,839,839,839,2022-06-03,70.71687316894531,72.66423797607422,73.58618927001953,-0.026799493965244725,-0.03899258990767218
840,840,840,840,2022-06-06,70.79214477539062,72.9935073852539,72.45728302001953,-0.030158334470005155,-0.02298096444175024
841,841,841,841,2022-06-07,72.05274963378906,71.62940216064453,71.46007537841797,0.005910247194232943,0.008293781558899482
842,842,842,842,2022-06-08,71.66704559326172,70.98028564453125,71.67646026611328,0.009675361862725662,-0.00013134957860094776
843,843,843,843,2022-06-09,71.47889709472656,70.51931762695312,72.1562271118164,0.013607327751661069,-0.009386993253405862
844,844,844,844,2022-06-10,70.6416244506836,70.62278747558594,72.56076049804688,0.00026672658742299404,-0.026448676036339713
845,845,845,845,2022-06-13,69.2210693359375,70.71687316894531,72.66423797607422,-0.021152007519256166,-0.04738463838663576
846,846,846,846,2022-06-14,68.55313873291016,70.79214477539062,72.9935073852539,-0.03162788822946938,-0.060832378267670295
847,847,847,847,2022-06-15,68.69422912597656,72.05274963378906,71.62940216064453,-0.04661196866021511,-0.04097720972297392
