,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,K,K_6m,K_12m,K_6m_ret,K_12m_ret
220,220,220,220,2019-12-18,53.56153106689453,53.6904411315918,52.707515716552734,-0.0024009872517403164,0.016202914114458844
221,221,221,221,2019-12-19,53.80323791503906,53.29565048217773,52.892822265625,0.009523993576756817,0.01721246116991071
222,222,222,222,2019-12-20,55.30179977416992,53.327884674072266,52.95727157592773,0.03701468963492127,0.04427207309728409
223,223,223,223,2019-12-23,55.41459655761719,53.37622833251953,52.97338104248047,0.03818868977401646,0.046083815438909825
224,224,224,224,2019-12-24,55.53544998168945,53.40039443969727,53.35205841064453,0.03998201819282832,0.04092422365861892
225,225,225,225,2019-12-26,55.317909240722656,53.25537490844727,53.60986709594727,0.03872912989198074,0.03186059278450459
226,226,226,226,2019-12-27,55.72075271606445,53.56153106689453,53.6904411315918,0.040312918734029646,0.037815140678328474
227,227,227,227,2019-12-30,55.41459655761719,53.80323791503906,53.29565048217773,0.029949101671587597,0.03975833030029419
228,228,228,228,2019-12-31,55.72075271606445,55.30179977416992,53.327884674072266,0.0075757560080389474,0.04487085990034756
229,229,229,229,2020-01-02,54.4961166381836,55.41459655761719,53.37622833251953,-0.016574692887614928,0.020981031081616752
230,230,230,230,2020-01-03,54.786163330078125,55.53544998168945,53.40039443969727,-0.013492042503632784,0.025950536600356733
231,231,231,231,2020-01-06,54.73781967163086,55.317909240722656,53.25537490844727,-0.01048646951871346,0.02783652853316876
232,232,232,232,2020-01-07,55.43877029418945,55.72075271606445,53.56153106689453,-0.005060635546542125,0.0350482741979572
233,233,233,233,2020-01-08,55.50321960449219,55.41459655761719,53.80323791503906,0.001599272617330172,0.03159627106713492
234,234,234,234,2020-01-09,55.70463943481445,55.72075271606445,55.30179977416992,-0.00028917917408810556,0.007284386083085348
235,235,235,235,2020-01-10,55.80936813354492,54.4961166381836,55.41459655761719,0.024098074805593894,0.0071239637288935675
236,236,236,236,2020-01-13,56.16387176513672,54.786163330078125,55.53544998168945,0.025147014342985052,0.011315687252997142
237,237,237,237,2020-01-14,56.39751815795898,54.73781967163086,55.317909240722656,0.030320873141907345,0.01951644471121039
238,238,238,238,2020-01-15,56.615047454833984,55.43877029418945,55.72075271606445,0.021217591126255764,0.01604958108384813
239,239,239,239,2020-01-16,56.99372863769531,55.50321960449219,55.41459655761719,0.026854460765056043,0.02849668098614111
240,240,240,240,2020-01-17,57.10652542114258,55.70463943481445,55.72075271606445,0.02516641343614845,0.024869956659408166
