,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MDLZ,MDLZ_6m,MDLZ_12m,MDLZ_6m_ret,MDLZ_12m_ret
977,977,977,977,2022-12-20,63.99787902832031,65.48484802246094,66.38867950439453,-0.022707069483166586,-0.03601217095929676
978,978,978,978,2022-12-21,65.00862121582031,65.69865417480469,65.533447265625,-0.010502999911511157,-0.00800852193350099
979,979,979,979,2022-12-22,64.8531265258789,65.36821746826172,65.39736938476562,-0.007879837669321543,-0.008322090995505738
980,980,980,980,2022-12-23,65.21272277832031,64.52268981933594,66.1165542602539,0.010694423324825397,-0.013670275047544811
981,981,981,981,2022-12-27,65.59175109863281,64.29916381835938,65.6889419555664,0.020102707461716163,-0.0014795619177324637
982,982,982,982,2022-12-28,64.9503173828125,63.85209655761719,65.1738510131836,0.017199448168539355,-0.0034298054648616016
983,983,983,983,2022-12-29,65.46350860595703,63.99787902832031,65.48484802246094,0.02290122110122028,-0.0003258680007409698
984,984,984,984,2022-12-30,65.15071105957031,65.00862121582031,65.69865417480469,0.002185707696803485,-0.008340248702453756
985,985,985,985,2023-01-03,64.75970458984375,64.8531265258789,65.36821746826172,-0.0014405155316278284,-0.00930900217240005
986,986,986,986,2023-01-04,65.2289047241211,65.21272277832031,64.52268981933594,0.00024814093188219033,0.010945217980877109
987,987,987,987,2023-01-05,64.70105743408203,65.59175109863281,64.29916381835938,-0.01357935486752615,0.006250370795769289
988,988,988,988,2023-01-06,66.48987579345703,64.9503173828125,63.85209655761719,0.023703631832474148,0.04131076938812228
989,989,989,989,2023-01-09,65.72743225097656,65.46350860595703,63.99787902832031,0.004031614721541343,0.027025164722894734
990,990,990,990,2023-01-10,65.79586029052734,65.15071105957031,65.00862121582031,0.009902412736019661,0.012109764212557161
991,991,991,991,2023-01-11,66.05000305175781,64.75970458984375,64.8531265258789,0.01992440314677446,0.018455186202955165
992,992,992,992,2023-01-12,65.25823211669922,65.2289047241211,65.21272277832031,0.00044960731292609246,0.0006978598107858502
993,993,993,993,2023-01-13,65.5514907836914,64.70105743408203,65.59175109863281,0.013144040968353643,-0.0006138014958750881
994,994,994,994,2023-01-17,65.51237487792969,66.48987579345703,64.9503173828125,-0.01470150009850879,0.008653652788245259
995,995,995,995,2023-01-18,63.11749267578125,65.72743225097656,65.46350860595703,-0.039708527867472476,-0.035837002631452286
996,996,996,996,2023-01-19,62.4039192199707,65.79586029052734,65.15071105957031,-0.05155249974054943,-0.04216058113453425
997,997,997,997,2023-01-20,62.59941482543945,66.05000305175781,64.75970458984375,-0.05224206005886822,-0.03335854877792466
998,998,998,998,2023-01-23,62.9122200012207,65.25823211669922,65.2289047241211,-0.03594967315821884,-0.03551622908124197
999,999,999,999,2023-01-24,63.38141632080078,65.5514907836914,64.70105743408203,-0.03310488345797502,-0.020395974434045505
1000,1000,1000,1000,2023-01-25,63.53782272338867,65.51237487792969,66.48987579345703,-0.030140140060869958,-0.04439853488730472
1001,1001,1001,1001,2023-01-26,63.0686149597168,63.11749267578125,65.72743225097656,-0.0007743925493923776,-0.040452170428736944
1002,1002,1002,1002,2023-01-27,63.26411819458008,62.4039192199707,65.79586029052734,0.013784374208568817,-0.038478744479791605
1003,1003,1003,1003,2023-01-30,63.38141632080078,62.59941482543945,66.05000305175781,0.012492153441720832,-0.0404025224475143
1004,1004,1004,1004,2023-01-31,63.96792984008789,62.9122200012207,65.25823211669922,0.016780680110266344,-0.01977225301328911
1005,1005,1005,1005,2023-02-01,65.2289047241211,63.38141632080078,65.5514907836914,0.02914873965531739,-0.004921109431893611
1006,1006,1006,1006,2023-02-02,65.16048431396484,63.53782272338867,65.51237487792969,0.025538514242774868,-0.005371360214318721
1007,1007,1007,1007,2023-02-03,64.42735290527344,63.0686149597168,63.11749267578125,0.02154380505144271,0.02075272913993298
1008,1008,1008,1008,2023-02-06,64.68150329589844,63.26411819458008,62.4039192199707,0.022404249703741108,0.03649745247408842
1009,1009,1009,1009,2023-02-07,63.616024017333984,63.38141632080078,62.59941482543945,0.003701521836396937,0.016239915256865967
1010,1010,1010,1010,2023-02-08,63.33254623413086,63.96792984008789,62.9122200012207,-0.009932846155025099,0.006681154041329407
1011,1011,1011,1011,2023-02-09,62.84379196166992,65.2289047241211,63.38141632080078,-0.03656527382360253,-0.008482365815394632
1012,1012,1012,1012,2023-02-10,64.02657318115234,65.16048431396484,63.53782272338867,-0.01740182174443239,0.007692275825872175
1013,1013,1013,1013,2023-02-13,64.77925109863281,64.42735290527344,63.0686149597168,0.005461937787150317,0.027123413761482418
1014,1014,1014,1014,2023-02-14,64.1829833984375,64.68150329589844,63.26411819458008,-0.007707302274351235,0.014524271104692899
1015,1015,1015,1015,2023-02-15,64.2123031616211,63.616024017333984,63.38141632080078,0.00937309669218922,0.013109313250666998
1016,1016,1016,1016,2023-02-16,64.20252227783203,63.33254623413086,63.96792984008789,0.013736634565188588,0.0036673445323398557
1017,1017,1017,1017,2023-02-17,65.3462142944336,62.84379196166992,65.2289047241211,0.03981972211813645,0.0017984292517043698
1018,1018,1018,1018,2023-02-21,65.1018295288086,64.02657318115234,65.16048431396484,0.016793907501718053,-0.000900158827451758
1019,1019,1019,1019,2023-02-22,64.74015808105469,64.77925109863281,64.42735290527344,-0.0006034805422279188,0.0048551610717448845
1020,1020,1020,1020,2023-02-23,64.58375549316406,64.1829833984375,64.68150329589844,0.006244211058850757,-0.001511217237595841
1021,1021,1021,1021,2023-02-24,64.07544708251953,64.2123031616211,63.616024017333984,-0.0021313061884277174,0.007221813564776802
1022,1022,1022,1022,2023-02-27,64.1634292602539,64.20252227783203,63.33254623413086,-0.0006089015850335722,0.01311936872159536
1023,1023,1023,1023,2023-02-28,63.713775634765625,65.3462142944336,62.84379196166992,-0.024981380747056137,0.013843589731605155
