,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NWSA,NWSA_6m,NWSA_12m,NWSA_6m_ret,NWSA_12m_ret
352,352,352,352,2020-06-29,11.231212615966797,11.43366241455078,10.99984073638916,-0.017706469829504523,0.02103411177692993
353,353,353,353,2020-06-30,11.43366241455078,11.530068397521973,11.298696517944336,-0.008361267223003899,0.011945262570075554
354,354,354,354,2020-07-01,11.645753860473633,11.568632125854492,11.36617946624756,0.006666452332491746,0.024597042045331197
355,355,355,355,2020-07-02,11.597554206848145,11.250494003295898,11.510788917541504,0.03084844127294084,0.007537736112458671
356,356,356,356,2020-07-06,11.73252010345459,11.337260246276855,11.857848167419434,0.034863789715644744,-0.010569208021164789
357,357,357,357,2020-07-07,11.568632125854492,11.06732177734375,11.501148223876951,0.04529644647515263,0.00586757953761885
358,358,358,358,2020-07-08,11.42402458190918,11.231212615966797,11.43366241455078,0.017167510983477685,-0.0008429348613034904
359,359,359,359,2020-07-09,11.30833625793457,11.43366241455078,11.530068397521973,-0.010961155933440492,-0.01923077400261186
360,360,360,360,2020-07-10,11.530068397521973,11.645753860473633,11.568632125854492,-0.009933703248211634,-0.00333347347490931
361,361,361,361,2020-07-13,11.501148223876951,11.597554206848145,11.250494003295898,-0.008312613267568714,0.022279396843162713
362,362,362,362,2020-07-14,11.983174324035645,11.73252010345459,11.337260246276855,0.02136405634687555,0.0569726780304709
363,363,363,363,2020-07-15,12.195265769958496,11.568632125854492,11.06732177734375,0.05416661514402854,0.10191661680279274
364,364,364,364,2020-07-16,12.301310539245604,11.42402458190918,11.231212615966797,0.07679307332073448,0.09527893023390077
365,365,365,365,2020-07-17,12.359153747558594,11.30833625793457,11.43366241455078,0.09292414601544152,0.08094443402754403
366,366,366,366,2020-07-20,12.20490550994873,11.530068397521973,11.645753860473633,0.058528457001330025,0.048013349429691266
367,367,367,367,2020-07-21,12.291670799255373,11.501148223876951,11.597554206848145,0.06873423070378815,0.0598502563581349
368,368,368,368,2020-07-22,12.388075828552246,11.983174324035645,11.73252010345459,0.03378916917735708,0.0558750992384518
369,369,369,369,2020-07-23,12.262749671936035,12.195265769958496,11.568632125854492,0.005533614703484124,0.05999996702551158
370,370,370,370,2020-07-24,12.253108024597168,12.301310539245604,11.42402458190918,-0.00391848612346235,0.07257367460508668
371,371,371,371,2020-07-27,12.416997909545898,12.359153747558594,11.30833625793457,0.004680268824937217,0.09803932482405875
372,372,372,372,2020-07-28,12.253108024597168,12.20490550994873,11.530068397521973,0.003949437757559515,0.06270904925686227
373,373,373,373,2020-07-29,12.407355308532717,12.291670799255373,11.501148223876951,0.009411617929464322,0.07879274895131205
374,374,374,374,2020-07-30,12.436279296875,12.388075828552246,11.983174324035645,0.003891118280988648,0.037811765112231166
375,375,375,375,2020-07-31,12.262749671936035,12.262749671936035,12.195265769958496,0.0,0.005533614703484124
376,376,376,376,2020-08-03,12.532684326171877,12.253108024597168,12.301310539245604,0.022816766245223663,0.018808872939847232
377,377,377,377,2020-08-04,12.908665657043455,12.416997909545898,12.359153747558594,0.0395963461602562,0.04446193652970876
378,378,378,378,2020-08-05,12.81225872039795,12.253108024597168,12.20490550994873,0.04563337682801216,0.049763040767021094
379,379,379,379,2020-08-06,13.024352073669434,12.407355308532717,12.291670799255373,0.049728306298474356,0.059607948047099235
380,380,380,380,2020-08-07,13.824514389038086,12.436279296875,12.388075828552246,0.11162784776890011,0.11595332320900975
381,381,381,381,2020-08-10,14.306540489196776,12.262749671936035,12.262749671936035,0.1666666018583145,0.1666666018583145
382,382,382,382,2020-08-11,14.354742050170898,12.532684326171877,12.253108024597168,0.14538447443330527,0.17151844424735851
383,383,383,383,2020-08-12,14.624678611755373,12.908665657043455,12.416997909545898,0.13293496015024586,0.177795045009411
384,384,384,384,2020-08-13,14.740363121032717,12.81225872039795,12.253108024597168,0.150489031068745,0.2029897305599997
385,385,385,385,2020-08-14,14.778925895690918,13.024352073669434,12.407355308532717,0.13471486428630897,0.1911423126189704
386,386,386,386,2020-08-17,14.576475143432615,13.824514389038086,12.436279296875,0.05439328523472642,0.17209293836745898
387,387,387,387,2020-08-18,14.634319305419922,14.306540489196776,12.262749671936035,0.022911116525386355,0.193396236319767
388,388,388,388,2020-08-19,14.672881126403809,14.354742050170898,12.532684326171877,0.022162646679472875,0.17076922585232435
389,389,389,389,2020-08-20,14.59575653076172,14.624678611755373,12.908665657043455,-0.0019776216463590623,0.13069444344913572
390,390,390,390,2020-08-21,14.084809303283691,14.740363121032717,12.81225872039795,-0.04447338321086736,0.09932289151012519
391,391,391,391,2020-08-24,14.335461616516112,14.778925895690918,13.024352073669434,-0.030006529723794584,0.10066600898307043
392,392,392,392,2020-08-25,14.451148986816406,14.576475143432615,13.824514389038086,-0.008597836951869331,0.04532778368513246
393,393,393,393,2020-08-26,14.46078872680664,14.634319305419922,14.306540489196776,-0.011857782722358157,0.010781658761343627
394,394,394,394,2020-08-27,14.518631935119627,14.672881126403809,14.354742050170898,-0.01051253601493507,0.011417125043133636
395,395,395,395,2020-08-28,14.711442947387695,14.59575653076172,14.624678611755373,0.007926030855759825,0.005932734519210614
396,396,396,396,2020-08-31,14.576475143432615,14.084809303283691,14.740363121032717,0.034907525516465254,-0.011118313453638895
