,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FMC,FMC_6m,FMC_12m,FMC_6m_ret,FMC_12m_ret
314,314,314,314,2020-05-05,82.73929595947266,83.55281829833984,79.59611511230469,-0.009736623556638957,0.03948912384396097
315,315,315,315,2020-05-06,85.03195190429688,84.02429962158203,78.17245483398438,0.011992391335042152,0.0877482622859942
316,316,316,316,2020-05-07,87.00106048583984,87.8423080444336,77.27572631835938,-0.009576792519707222,0.12585238121754028
317,317,317,317,2020-05-08,86.41864013671875,84.95800018310547,77.75646209716797,0.017192494532183522,0.11140139103456304
318,318,318,318,2020-05-11,84.5882339477539,83.12757110595703,80.77018737792969,0.017571340319026962,0.04727049291045082
319,319,319,319,2020-05-12,82.406494140625,82.86869812011719,81.53748321533203,-0.005577546045458903,0.010657809034870569
320,320,320,320,2020-05-13,82.06443786621094,82.73929595947266,83.55281829833984,-0.008156439880661726,-0.017813647252620357
321,321,321,321,2020-05-14,81.91651153564453,85.03195190429688,84.02429962158203,-0.03663846705716878,-0.02508545855699229
322,322,322,322,2020-05-15,81.37108612060547,87.00106048583984,87.8423080444336,-0.06471156022461011,-0.07366862355841974
323,323,323,323,2020-05-18,83.96884155273438,86.41864013671875,84.95800018310547,-0.028348034406797784,-0.011642913301151303
324,324,324,324,2020-05-19,82.4434585571289,84.5882339477539,83.12757110595703,-0.025355481377584033,-0.008229670850795512
325,325,325,325,2020-05-20,86.03962707519531,82.406494140625,82.86869812011719,0.04408794443275843,0.03826449584717628
326,326,326,326,2020-05-21,84.93026733398438,82.06443786621094,82.73929595947266,0.034921697415944974,0.026480420809779526
327,327,327,327,2020-05-22,86.25225830078125,81.91651153564453,85.03195190429688,0.052928850165330665,0.014351151175005628
328,328,328,328,2020-05-26,87.65742492675781,81.37108612060547,87.00106048583984,0.07725519107407441,0.007544326899610487
329,329,329,329,2020-05-27,88.95166778564453,83.96884155273438,86.41864013671875,0.05934137164177522,0.02931112598992991
330,330,330,330,2020-05-28,90.2736587524414,82.4434585571289,84.5882339477539,0.09497660981661249,0.06721295077751721
331,331,331,331,2020-05-29,90.97624969482422,86.03962707519531,82.406494140625,0.057376150820766414,0.10399369180267648
332,332,332,332,2020-06-01,91.4107437133789,84.93026733398438,82.06443786621094,0.07630349677236214,0.11388984181437012
333,333,333,333,2020-06-02,93.2873992919922,86.25225830078125,81.91651153564453,0.0815647164469342,0.13881069326786255
334,334,334,334,2020-06-03,94.21186065673828,87.65742492675781,81.37108612060547,0.07477330911165869,0.15780512646839506
335,335,335,335,2020-06-04,92.26124572753906,88.95166778564453,83.96884155273438,0.03720647430546142,0.09875572916647735
336,336,336,336,2020-06-05,95.41364288330078,90.2736587524414,82.4434585571289,0.056937806685722236,0.1573221763517385
337,337,337,337,2020-06-08,96.68939971923828,90.97624969482422,86.03962707519531,0.06279825826607022,0.12377753142439207
338,338,338,338,2020-06-09,96.3658447265625,91.4107437133789,84.93026733398438,0.05420698718654404,0.1346466666307342
339,339,339,339,2020-06-10,95.05313110351562,93.2873992919922,86.25225830078125,0.018927870483307574,0.10203643331915702
340,340,340,340,2020-06-11,87.72215270996094,94.21186065673828,87.65742492675781,-0.06888419251608513,0.0007384175756612876
