,Unnamed: 0.1,Unnamed: 0,Date,HUBB,HUBB_6m,HUBB_12m
515,515,515,2021-02-22,168.2246856689453,155.1681671142578,152.392578125
516,516,516,2021-02-23,170.1694793701172,155.97059631347656,150.0418243408203
517,517,517,2021-02-24,168.035888671875,157.2545166015625,152.8551483154297
518,518,518,2021-02-25,168.5010223388672,158.93504333496094,155.04541015625
519,519,519,2021-02-26,168.510498046875,158.43463134765625,153.4593963623047
520,520,520,2021-03-01,172.89630126953125,160.9458770751953,152.90235900878906
521,521,521,2021-03-02,171.80459594726562,168.2246856689453,155.1681671142578
522,522,522,2021-03-03,170.27622985839844,170.1694793701172,155.97059631347656
523,523,523,2021-03-04,166.0138702392578,168.035888671875,157.2545166015625
524,524,524,2021-03-05,171.54827880859375,168.5010223388672,158.93504333496094
525,525,525,2021-03-08,176.11444091796875,168.510498046875,158.43463134765625
526,526,526,2021-03-09,174.43417358398438,172.89630126953125,160.9458770751953
527,527,527,2021-03-10,178.117431640625,171.80459594726562,168.2246856689453
528,528,528,2021-03-11,175.22207641601562,170.27622985839844,170.1694793701172
529,529,529,2021-03-12,177.9750518798828,166.0138702392578,168.035888671875
530,530,530,2021-03-15,180.3767852783203,171.54827880859375,168.5010223388672
531,531,531,2021-03-16,179.49392700195312,176.11444091796875,168.510498046875
532,532,532,2021-03-17,180.2248992919922,174.43417358398438,172.89630126953125
533,533,533,2021-03-18,176.75047302246094,178.117431640625,171.80459594726562
534,534,534,2021-03-19,174.18734741210938,175.22207641601562,170.27622985839844
535,535,535,2021-03-22,175.02273559570312,177.9750518798828,166.0138702392578
536,536,536,2021-03-23,169.004150390625,180.3767852783203,171.54827880859375
537,537,537,2021-03-24,170.1623077392578,179.49392700195312,176.11444091796875
538,538,538,2021-03-25,174.42466735839844,180.2248992919922,174.43417358398438
539,539,539,2021-03-26,179.54139709472656,176.75047302246094,178.117431640625
540,540,540,2021-03-29,179.16165161132812,174.18734741210938,175.22207641601562
541,541,541,2021-03-30,178.06997680664062,175.02273559570312,177.9750518798828
542,542,542,2021-03-31,177.41497802734375,169.004150390625,180.3767852783203
543,543,543,2021-04-01,180.737533569336,170.1623077392578,179.49392700195312
544,544,544,2021-04-05,182.66461181640625,174.42466735839844,180.2248992919922
545,545,545,2021-04-06,182.9114227294922,179.54139709472656,176.75047302246094
546,546,546,2021-04-07,178.25982666015625,179.16165161132812,174.18734741210938
547,547,547,2021-04-08,176.63653564453125,178.06997680664062,175.02273559570312
548,548,548,2021-04-09,177.93707275390625,177.41497802734375,169.004150390625
549,549,549,2021-04-12,177.94659423828125,180.737533569336,170.1623077392578
550,550,550,2021-04-13,174.56704711914062,182.66461181640625,174.42466735839844
551,551,551,2021-04-14,175.55433654785156,182.9114227294922,179.54139709472656
552,552,552,2021-04-15,177.8231964111328,178.25982666015625,179.16165161132812
553,553,553,2021-04-16,179.68377685546875,176.63653564453125,178.06997680664062
554,554,554,2021-04-19,179.4654541015625,177.93707275390625,177.41497802734375
