,Unnamed: 0.1,Unnamed: 0,Date,SPG,SPG_6m,SPG_12m
409,409,409,2020-09-18,57.144187927246094,54.16545867919922,54.991973876953125
410,410,410,2020-09-21,53.085262298583984,52.49605941772461,55.51570129394531
411,411,411,2020-09-22,53.28166961669922,55.48297119140625,55.64664077758789
412,412,412,2020-09-23,51.46495819091797,58.15891647338867,57.47969818115234
413,413,413,2020-09-24,51.41585540771485,60.65483856201172,57.3242301940918
414,414,414,2020-09-25,52.02960968017578,58.8217658996582,56.35041046142578
415,415,415,2020-09-28,53.8381233215332,57.144187927246094,54.16545867919922
416,416,416,2020-09-29,52.3651237487793,53.085262298583984,52.49605941772461
417,417,417,2020-09-30,52.92977523803711,53.28166961669922,55.48297119140625
418,418,418,2020-10-01,54.44369125366211,51.46495819091797,58.15891647338867
419,419,419,2020-10-02,55.810306549072266,51.41585540771485,60.65483856201172
420,420,420,2020-10-05,56.2685661315918,52.02960968017578,58.8217658996582
421,421,421,2020-10-06,57.26694107055664,53.8381233215332,57.144187927246094
422,422,422,2020-10-07,58.12619018554688,52.3651237487793,53.085262298583984
423,423,423,2020-10-08,58.409610748291016,52.92977523803711,53.28166961669922
424,424,424,2020-10-09,56.450679779052734,54.44369125366211,51.46495819091797
425,425,425,2020-10-12,56.70075607299805,55.810306549072266,51.41585540771485
426,426,426,2020-10-13,54.86685562133789,56.2685661315918,52.02960968017578
427,427,427,2020-10-14,54.78348922729492,57.26694107055664,53.8381233215332
428,428,428,2020-10-15,54.28334426879883,58.12619018554688,52.3651237487793
429,429,429,2020-10-16,54.03326034545898,58.409610748291016,52.92977523803711
430,430,430,2020-10-19,53.27470397949219,56.450679779052734,54.44369125366211
431,431,431,2020-10-20,53.73316955566406,56.70075607299805,55.810306549072266
432,432,432,2020-10-21,53.52477264404297,54.86685562133789,56.2685661315918
433,433,433,2020-10-22,55.30865859985352,54.78348922729492,57.26694107055664
434,434,434,2020-10-23,55.75045394897461,54.28334426879883,58.12619018554688
435,435,435,2020-10-26,53.91656494140625,54.03326034545898,58.409610748291016
436,436,436,2020-10-27,51.66586685180664,53.27470397949219,56.450679779052734
437,437,437,2020-10-28,50.64889526367188,53.73316955566406,56.70075607299805
438,438,438,2020-10-29,52.85790252685547,53.52477264404297,54.86685562133789
439,439,439,2020-10-30,52.35774993896485,55.30865859985352,54.78348922729492
440,440,440,2020-11-02,53.94157028198242,55.75045394897461,54.28334426879883
441,441,441,2020-11-03,54.17497253417969,53.91656494140625,54.03326034545898
442,442,442,2020-11-04,51.91595077514648,51.66586685180664,53.27470397949219
443,443,443,2020-11-05,52.90792465209961,50.64889526367188,53.73316955566406
444,444,444,2020-11-06,51.56583786010742,52.85790252685547,53.52477264404297
445,445,445,2020-11-09,65.93692016601562,52.35774993896485,55.30865859985352
446,446,446,2020-11-10,65.72018432617188,53.94157028198242,55.75045394897461
447,447,447,2020-11-11,61.19380569458008,54.17497253417969,53.91656494140625
448,448,448,2020-11-12,57.634368896484375,51.91595077514648,51.66586685180664
449,449,449,2020-11-13,62.269142150878906,52.90792465209961,50.64889526367188
450,450,450,2020-11-16,65.82022094726562,51.56583786010742,52.85790252685547
451,451,451,2020-11-17,65.82022094726562,65.93692016601562,52.35774993896485
452,452,452,2020-11-18,63.86128234863281,65.72018432617188,53.94157028198242
453,453,453,2020-11-19,67.21231079101562,61.19380569458008,54.17497253417969
454,454,454,2020-11-20,67.62078857421875,57.634368896484375,51.91595077514648
455,455,455,2020-11-23,71.1968765258789,62.269142150878906,52.90792465209961
456,456,456,2020-11-24,74.01439666748047,65.82022094726562,51.56583786010742
457,457,457,2020-11-25,72.68065643310547,65.82022094726562,65.93692016601562
458,458,458,2020-11-27,71.3135757446289,63.86128234863281,65.72018432617188
459,459,459,2020-11-30,68.82948303222656,67.21231079101562,61.19380569458008
460,460,460,2020-12-01,70.84675598144531,67.62078857421875,57.634368896484375
461,461,461,2020-12-02,72.73068237304688,71.1968765258789,62.269142150878906
462,462,462,2020-12-03,74.71461486816406,74.01439666748047,65.82022094726562
463,463,463,2020-12-04,78.28237915039062,72.68065643310547,65.82022094726562
464,464,464,2020-12-07,74.49788665771484,71.3135757446289,63.86128234863281
465,465,465,2020-12-08,75.11474609375,68.82948303222656,67.21231079101562
466,466,466,2020-12-09,75.72327423095703,70.84675598144531,67.62078857421875
467,467,467,2020-12-10,75.38981628417969,72.73068237304688,71.1968765258789
468,468,468,2020-12-11,73.27251434326172,74.71461486816406,74.01439666748047
469,469,469,2020-12-14,72.78901672363281,78.28237915039062,72.68065643310547
470,470,470,2020-12-15,74.80632019042969,74.49788665771484,71.3135757446289
471,471,471,2020-12-16,73.58927917480469,75.11474609375,68.82948303222656
472,472,472,2020-12-17,74.2144546508789,75.72327423095703,70.84675598144531
473,473,473,2020-12-18,71.21353912353516,75.38981628417969,72.73068237304688
474,474,474,2020-12-21,69.7297592163086,73.27251434326172,74.71461486816406
475,475,475,2020-12-22,69.7881088256836,72.78901672363281,78.28237915039062
476,476,476,2020-12-23,70.82959747314453,74.80632019042969,74.49788665771484
477,477,477,2020-12-24,71.43924713134766,73.58927917480469,75.11474609375
478,478,478,2020-12-28,72.37911987304688,74.2144546508789,75.72327423095703
