,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CB,CB_6m,CB_12m,CB_6m_ret,CB_12m_ret
152,152,152,152,2019-09-12,146.95535278320312,146.7259063720703,142.4668731689453,0.0015637757285409393,0.03150542659088984
153,153,153,153,2019-09-13,145.91815185546875,147.44186401367188,142.76055908203125,-0.010334325114486065,0.022118103163375258
154,154,154,154,2019-09-16,145.5326385498047,147.80902099609375,144.10989379882812,-0.01540083569289874,0.009872637564792397
155,155,155,155,2019-09-17,146.60655212402344,147.10218811035156,144.4495086669922,-0.0033693311615209387,0.014932854233544068
156,156,156,156,2019-09-18,146.3954620361328,146.23941040039062,143.44900512695312,0.0010670969974162503,0.020540099992830685
157,157,157,157,2019-09-19,146.17410278320312,146.62493896484375,145.5417938232422,-0.0030747578469493275,0.004344518116417229
158,158,158,158,2019-09-20,145.4178466796875,146.95535278320312,146.7259063720703,-0.01046240286179867,-0.008914987984915301
159,159,159,159,2019-09-23,145.44554138183594,145.91815185546875,147.44186401367188,-0.0032388737632925713,-0.013539727303303883
160,160,160,160,2019-09-24,146.4876708984375,145.5326385498047,147.80902099609375,0.006562324150441112,-0.008939576818462025
161,161,161,161,2019-09-25,146.44155883789062,146.60655212402344,147.10218811035156,-0.0011254154998013854,-0.0044909547638092295
162,162,162,162,2019-09-26,147.981689453125,146.3954620361328,146.23941040039062,0.010835222587710192,0.01191388181861619
163,163,163,163,2019-09-27,148.02783203125,146.17410278320312,146.62493896484375,0.012681652992912351,0.009567902133910566
164,164,164,164,2019-09-30,148.885498046875,145.4178466796875,146.95535278320312,0.023846119622618955,0.013134229050637769
165,165,165,165,2019-10-01,146.2940216064453,145.44554138183594,145.91815185546875,0.005833662665408745,0.0025758944051652577
166,166,166,166,2019-10-02,144.6155548095703,146.4876708984375,145.5326385498047,-0.01278002494943864,-0.0063015674653663645
167,167,167,167,2019-10-03,144.2835235595703,146.44155883789062,146.60655212402344,-0.014736494854641902,-0.015845325674721078
168,168,168,168,2019-10-04,149.457275390625,147.981689453125,146.3954620361328,0.009971408915204982,0.020914673938024597
169,169,169,169,2019-10-07,147.24392700195312,148.02783203125,146.17410278320312,-0.005295659731957558,0.007318835541865409
170,170,170,170,2019-10-08,143.38894653320312,148.885498046875,145.4178466796875,-0.0369179778136709,-0.013952208706221936
171,171,171,171,2019-10-09,144.60629272460938,146.2940216064453,145.44554138183594,-0.011536554011593148,-0.005770191710609329
172,172,172,172,2019-10-10,143.3059539794922,144.6155548095703,146.4876708984375,-0.009055739763282111,-0.021720032132610312
173,173,173,173,2019-10-11,143.03855895996094,144.2835235595703,146.44155883789062,-0.008628598532218201,-0.02323793808898722
174,174,174,174,2019-10-14,143.35208129882812,149.457275390625,147.981689453125,-0.04084909266437653,-0.031285006755943034
175,175,175,175,2019-10-15,143.13998413085938,147.24392700195312,148.02783203125,-0.02787172927708803,-0.03301978981465292
176,176,176,176,2019-10-16,142.62353515625,143.38894653320312,148.885498046875,-0.00533800823186803,-0.04205891757606561
177,177,177,177,2019-10-17,141.1202850341797,144.60629272460938,146.2940216064453,-0.024106887914404185,-0.035365331511521436
178,178,178,178,2019-10-18,140.81590270996094,143.3059539794922,144.6155548095703,-0.01737576981545086,-0.026274159129097474
179,179,179,179,2019-10-21,141.3784942626953,143.03855895996094,144.2835235595703,-0.011605714636221287,-0.020134172116164084
180,180,180,180,2019-10-22,136.95181274414062,143.35208129882812,149.457275390625,-0.04464719658548699,-0.08367249177933833
181,181,181,181,2019-10-23,138.482666015625,143.13998413085938,147.24392700195312,-0.03253680754202559,-0.05950167972776166
182,182,182,182,2019-10-24,139.36802673339844,142.62353515625,143.38894653320312,-0.022825885077697894,-0.028042048547121445
183,183,183,183,2019-10-25,137.54200744628906,141.1202850341797,144.60629272460938,-0.025356224209892697,-0.04885185246933654
184,184,184,184,2019-10-28,136.71200561523438,140.81590270996094,143.3059539794922,-0.02914370476450645,-0.046013080274399765
185,185,185,185,2019-10-29,137.07167053222656,141.3784942626953,143.03855895996094,-0.03046307539862636,-0.04171524427482953
186,186,186,186,2019-10-30,141.44302368164062,136.95181274414062,143.35208129882812,0.032794096313939924,-0.013317264736519063
187,187,187,187,2019-10-31,140.56689453125,138.482666015625,143.13998413085938,0.01505046498303142,-0.017976036641565107
188,188,188,188,2019-11-01,138.7408905029297,139.36802673339844,142.62353515625,-0.004499857285548137,-0.027223029137980026
189,189,189,189,2019-11-04,136.232421875,137.54200744628906,141.1202850341797,-0.009521349845068028,-0.034636148573508274
190,190,190,190,2019-11-05,137.25608825683594,136.71200561523438,140.81590270996094,0.003979772216441857,-0.02527991785457051
191,191,191,191,2019-11-06,140.3455810546875,137.07167053222656,141.3784942626953,0.02388466201476125,-0.007306013643691545
192,192,192,192,2019-11-07,141.0279998779297,141.44302368164062,136.95181274414062,-0.0029342119031976477,0.029763659582983104
193,193,193,193,2019-11-08,139.72769165039062,140.56689453125,138.482666015625,-0.005970131755829611,0.008990479968266518
194,194,194,194,2019-11-11,139.552490234375,138.7408905029297,139.36802673339844,0.005849751493617328,0.001323571161192083
195,195,195,195,2019-11-12,139.62625122070312,136.232421875,137.54200744628906,0.024912053232211795,0.01515350701296092
196,196,196,196,2019-11-13,140.46548461914062,137.25608825683594,136.71200561523438,0.023382542829715636,0.027455372240460907
197,197,197,197,2019-11-14,139.5801544189453,140.3455810546875,137.07167053222656,-0.005453870581389575,0.018300527577862935
198,198,198,198,2019-11-15,139.5248260498047,141.0279998779297,141.44302368164062,-0.010658690681468297,-0.013561627727595837
199,199,199,199,2019-11-18,140.9358367919922,139.72769165039062,140.56689453125,0.008646425968479088,0.0026246739104005545
200,200,200,200,2019-11-19,140.94500732421875,139.552490234375,138.7408905029297,0.009978446730008583,0.01588656965728874
201,201,201,201,2019-11-20,140.64993286132812,139.62625122070312,136.232421875,0.007331584366659705,0.03242628241889012
202,202,202,202,2019-11-21,138.30746459960938,140.46548461914062,137.25608825683594,-0.015363347269135352,0.007659961435051876
203,203,203,203,2019-11-22,139.3772735595703,139.5801544189453,140.3455810546875,-0.0014535079160756803,-0.006899451253401967
204,204,204,204,2019-11-25,138.30746459960938,139.5248260498047,141.0279998779297,-0.008725052627987284,-0.019290745672314258
205,205,205,205,2019-11-26,139.9674835205078,140.9358367919922,139.72769165039062,-0.00687088034900285,0.001716137061200218
206,206,206,206,2019-11-27,140.25338745117188,140.94500732421875,139.552490234375,-0.004907019313255434,0.005022462985932563
207,207,207,207,2019-11-29,139.70001220703125,140.64993286132812,139.62625122070312,-0.006753793869446301,0.0005282744876644596
208,208,208,208,2019-12-02,138.13221740722656,138.30746459960938,140.46548461914062,-0.0012670841222499618,-0.016610964737995948
209,209,209,209,2019-12-03,137.7633514404297,139.3772735595703,139.5801544189453,-0.01157952138051277,-0.013016198370597531
210,210,210,210,2019-12-04,139.3126983642578,138.30746459960938,139.5248260498047,0.0072681092633613,-0.0015203580004546913
211,211,211,211,2019-12-05,138.60256958007812,139.9674835205078,140.9358367919922,-0.009751650212598828,-0.01655552813978567
212,212,212,212,2019-12-06,140.364013671875,140.25338745117188,140.94500732421875,0.0007887597063680474,-0.004122130065999929
213,213,213,213,2019-12-09,141.10183715820312,139.70001220703125,140.64993286132812,0.01003453707000701,0.003212972005614434
214,214,214,214,2019-12-10,141.06492614746094,138.13221740722656,138.30746459960938,0.021231171085804634,0.019937185283775083
215,215,215,215,2019-12-11,140.15194702148438,137.7633514404297,139.3772735595703,0.01733839628667533,0.005558104575657197
216,216,216,216,2019-12-12,141.7289581298828,139.3126983642578,138.30746459960938,0.01734414589621447,0.024738314307028997
217,217,217,217,2019-12-13,142.61431884765625,138.60256958007812,139.9674835205078,0.02894426329708355,0.01891035875315028
218,218,218,218,2019-12-16,143.43505859375,140.364013671875,140.25338745117188,0.021879147236798957,0.022685164332917118
219,219,219,219,2019-12-17,144.05294799804688,141.10183715820312,139.70001220703125,0.020914758441698877,0.031159165430599378
220,220,220,220,2019-12-18,142.58660888671875,141.06492614746094,138.13221740722656,0.01078710903422686,0.032247303077458156
221,221,221,221,2019-12-19,143.17971801757812,140.15194702148438,137.7633514404297,0.021603488645288715,0.039316454779270815
222,222,222,222,2019-12-20,144.14352416992188,141.7289581298828,139.3126983642578,0.01703650454994743,0.03467613406663772
223,223,223,223,2019-12-23,142.90170288085938,142.61431884765625,138.60256958007812,0.0020151134579278196,0.0310177027295111
224,224,224,224,2019-12-24,142.66075134277344,143.43505859375,140.364013671875,-0.005398312369151115,0.016362724396492778
225,225,225,225,2019-12-26,143.41140747070312,144.05294799804688,141.10183715820312,-0.004453505022003812,0.016368109437941092
226,226,226,226,2019-12-27,144.40301513671875,142.58660888671875,141.06492614746094,0.012738968015173713,0.02366349368636378
227,227,227,227,2019-12-30,143.9303436279297,143.17971801757812,140.15194702148438,0.0052425414768551,0.026959287307411595
228,228,228,228,2019-12-31,144.2547149658203,144.14352416992188,141.7289581298828,0.0007713894643464059,0.017821035794413076
229,229,229,229,2020-01-02,144.58834838867188,142.90170288085938,142.61431884765625,0.011802837011807288,0.013841734525439353
230,230,230,230,2020-01-03,144.36595153808594,142.66075134277344,143.43505859375,0.011952833412571806,0.0064899959149631314
231,231,231,231,2020-01-06,145.55218505859375,143.41140747070312,144.05294799804688,0.01492752651721907,0.01040754168090463
232,232,232,232,2020-01-07,142.6422119140625,144.40301513671875,142.58660888671875,-0.012193673525370263,0.0003899596727763299
233,233,233,233,2020-01-08,141.66915893554688,143.9303436279297,143.17971801757812,-0.01571027092263555,-0.010550091192705113
234,234,234,234,2020-01-09,142.67001342773438,144.2547149658203,144.14352416992188,-0.010985440153283177,-0.010222524741732242
235,235,235,235,2020-01-10,139.92689514160156,144.58834838867188,142.90170288085938,-0.032239480559939304,-0.020817160882526276
236,236,236,236,2020-01-13,139.84349060058594,144.36595153808594,142.66075134277344,-0.03132636808968703,-0.01974797353631219
237,237,237,237,2020-01-14,139.71376037597656,145.55218505859375,143.41140747070312,-0.04011224345595954,-0.02578349351659448
238,238,238,238,2020-01-15,140.20489501953125,142.6422119140625,144.40301513671875,-0.017086925825292587,-0.02907224695559696
239,239,239,239,2020-01-16,141.47454833984375,141.66915893554688,143.9303436279297,-0.0013736976852645189,-0.017062387445098803
240,240,240,240,2020-01-17,142.42904663085938,142.67001342773438,144.2547149658203,-0.001688979983148653,-0.012655865947906908
