,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MCD,MCD_6m,MCD_12m,MCD_6m_ret,MCD_12m_ret
489,489,489,489,2021-01-13,198.3109741210937,197.7405548095703,197.65646362304688,0.002884685501528539,0.003311353881626955
490,490,490,490,2021-01-14,194.95420837402344,197.29180908203125,200.1156005859375,-0.01184844276548691,-0.02579205317727118
491,491,491,491,2021-01-15,196.2725830078125,198.2080993652344,198.8907012939453,-0.009765071980511575,-0.013163603271041935
492,492,492,492,2021-01-19,195.505859375,201.84536743164065,197.81539916992188,-0.031407746124209046,-0.011675227533413657
493,493,493,493,2021-01-20,199.7509307861328,200.3119354248047,200.63916015625,-0.0028006550757054827,-0.004426999043583901
494,494,494,494,2021-01-21,199.65744018554688,197.85281372070312,196.5624389648437,0.009121055348705998,0.015745639080398055
495,495,495,495,2021-01-22,199.5171813964844,198.3109741210937,197.7405548095703,0.006082403057806385,0.008984634379250345
496,496,496,496,2021-01-25,199.479736328125,194.95420837402344,197.29180908203125,0.023213286811532896,0.0110898027458608
497,497,497,497,2021-01-26,201.38720703125,196.2725830078125,198.2080993652344,0.026058779810494093,0.016039241969408646
498,498,498,498,2021-01-27,193.5516357421875,195.505859375,201.84536743164065,-0.009995729228064243,-0.041089532026351794
499,499,499,499,2021-01-28,193.38336181640625,199.7509307861328,200.3119354248047,-0.03187754342203353,-0.034588920493953124
500,500,500,500,2021-01-29,194.3370819091797,199.65744018554688,197.85281372070312,-0.026647433080494443,-0.017769430443816625
501,501,501,501,2021-02-01,194.4212188720703,199.5171813964844,198.3109741210937,-0.025541472111553665,-0.019614422581819335
502,502,502,502,2021-02-02,196.13233947753903,199.479736328125,194.95420837402344,-0.016780636029515406,0.0060431170649843935
503,503,503,503,2021-02-03,195.15057373046875,201.38720703125,196.2725830078125,-0.030968368809114466,-0.005716586902507315
504,504,504,504,2021-02-04,197.31982421875,193.5516357421875,195.505859375,0.01946864702079698,0.009278314468676108
505,505,505,505,2021-02-05,198.7691345214844,193.38336181640625,199.7509307861328,0.02785023827536559,-0.004915102326604859
506,506,506,506,2021-02-08,197.8341217041016,194.3370819091797,199.65744018554688,0.017994711871593294,-0.009132234089302305
507,507,507,507,2021-02-09,201.9482269287109,194.4212188720703,199.5171813964844,0.038714951486819915,0.01218464252156548
508,508,508,508,2021-02-10,200.47088623046875,196.13233947753903,199.479736328125,0.02212050681946076,0.004968674616219637
509,509,509,509,2021-02-11,200.3493194580078,195.15057373046875,201.38720703125,0.026639664071494318,-0.0051536916795371646
510,510,510,510,2021-02-12,200.0033721923828,197.31982421875,193.5516357421875,0.013599991710198545,0.03333341216908692
511,511,511,511,2021-02-16,201.0599822998047,198.7691345214844,193.38336181640625,0.01152516855212582,0.039696385517831834
512,512,512,512,2021-02-17,199.58258056640625,197.8341217041016,194.3370819091797,0.008838004522393916,0.026991753738887292
