,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,EXPE,EXPE_6m,EXPE_12m,EXPE_6m_ret,EXPE_12m_ret
834,834,834,834,2022-05-26,130.2899932861328,120.1500015258789,132.33999633789062,0.08439443721579876,-0.015490426994751783
835,835,835,835,2022-05-27,130.97000122070312,126.56999969482422,133.22000122070312,0.03476338418652003,-0.016889355797801486
836,836,836,836,2022-05-31,129.3300018310547,124.58999633789062,128.33999633789062,0.03804483210922549,0.007713928014752236
837,837,837,837,2022-06-01,126.2300033569336,121.62999725341795,131.77999877929688,0.03781966790586577,-0.042115612944103376
838,838,838,838,2022-06-02,134.19000244140625,116.76000213623048,123.8499984741211,0.14928057542204565,0.08348812349356427
839,839,839,839,2022-06-03,131.66000366210938,123.7300033569336,122.83000183105467,0.06409116697669104,0.07188798908592253
840,840,840,840,2022-06-06,133.35000610351562,130.2899932861328,120.1500015258789,0.023486169123231537,0.10986270836454048
841,841,841,841,2022-06-07,131.14999389648438,130.97000122070312,126.56999969482422,0.0013743046048990681,0.03618546427038849
842,842,842,842,2022-06-08,129.47000122070312,129.3300018310547,124.58999633789062,0.0010824973916827574,0.03916851293243351
843,843,843,843,2022-06-09,121.98999786376952,126.2300033569336,121.62999725341795,-0.033589522145340056,0.002959801187872202
844,844,844,844,2022-06-10,115.16000366210938,134.19000244140625,116.76000213623048,-0.14181383436226014,-0.013703309736619373
845,845,845,845,2022-06-13,106.26000213623048,131.66000366210938,123.7300033569336,-0.19292116678854987,-0.14119454252584185
846,846,846,846,2022-06-14,101.93000030517578,133.35000610351562,130.2899932861328,-0.23562058012917853,-0.2176682357997748
847,847,847,847,2022-06-15,104.41000366210938,131.14999389648438,130.97000122070312,-0.20388861211446685,-0.20279451256808323
848,848,848,848,2022-06-16,96.33000183105467,129.47000122070312,129.3300018310547,-0.2559666260692762,-0.25516121188267127
849,849,849,849,2022-06-17,100.37000274658205,121.98999786376952,126.2300033569336,-0.1772276046871586,-0.2048641362800938
850,850,850,850,2022-06-21,98.77999877929688,115.16000366210938,134.19000244140625,-0.14223692568535362,-0.26387959622827395
851,851,851,851,2022-06-22,97.13999938964844,106.26000213623048,131.66000366210938,-0.0858272403842959,-0.262190515815666
852,852,852,852,2022-06-23,94.0199966430664,101.93000030517578,133.35000610351562,-0.07760231176716403,-0.29493819017839795
853,853,853,853,2022-06-24,102.33999633789062,104.41000366210938,131.14999389648438,-0.019825756647971038,-0.21967212275536396
854,854,854,854,2022-06-27,101.1999969482422,96.33000183105467,129.47000122070312,0.05055533088983655,-0.21835177265712702
855,855,855,855,2022-06-28,97.87000274658205,100.37000274658205,121.98999786376952,-0.02490784030675075,-0.1977210881184137
856,856,856,856,2022-06-29,95.9800033569336,98.77999877929688,115.16000366210938,-0.02834577300025365,-0.16655088307787624
857,857,857,857,2022-06-30,94.83000183105467,97.13999938964844,106.26000213623048,-0.023780086196293793,-0.10756634740626103
858,858,858,858,2022-07-01,96.4000015258789,94.0199966430664,101.93000030517578,0.02531381586672299,-0.05425290653134707
859,859,859,859,2022-07-05,97.16999816894533,102.33999633789062,104.41000366210938,-0.05051786548707493,-0.06934206722752434
860,860,860,860,2022-07-06,93.87000274658205,101.1999969482422,96.33000183105467,-0.07243077492787886,-0.025537205831128507
861,861,861,861,2022-07-07,96.6999969482422,97.87000274658205,100.37000274658205,-0.011954692607594741,-0.03656476733995928
862,862,862,862,2022-07-08,94.87000274658205,95.9800033569336,98.77999877929688,-0.011564915310782409,-0.03958287184686948
863,863,863,863,2022-07-11,91.16000366210938,94.83000183105467,97.13999938964844,-0.03870081301362427,-0.06156059054058749
864,864,864,864,2022-07-12,92.02999877929688,96.4000015258789,94.0199966430664,-0.04533197798144106,-0.021165687458214566
865,865,865,865,2022-07-13,92.9800033569336,97.16999816894533,102.33999633789062,-0.043120252042474716,-0.09145977443709918
866,866,866,866,2022-07-14,89.43000030517578,93.87000274658205,101.1999969482422,-0.0472994813198504,-0.11630431816204578
867,867,867,867,2022-07-15,92.3499984741211,96.6999969482422,97.87000274658205,-0.044984473747702425,-0.056401390799528994
868,868,868,868,2022-07-18,94.29000091552734,94.87000274658205,95.9800033569336,-0.006113648300443364,-0.017607859786391233
869,869,869,869,2022-07-19,100.31999969482422,91.16000366210938,94.83000183105467,0.10048262028012833,0.057893048167923844
870,870,870,870,2022-07-20,103.18000030517578,92.02999877929688,96.4000015258789,0.12115616292268405,0.07033193643131597
871,871,871,871,2022-07-21,102.37000274658205,92.9800033569336,97.16999816894533,0.10098944988850911,0.053514507313210835
872,872,872,872,2022-07-22,99.37999725341795,89.43000030517578,93.87000274658205,0.11126016900691349,0.05869813940147717
873,873,873,873,2022-07-25,100.75,92.3499984741211,96.6999969482422,0.09095832879989496,0.0418821424981588
