,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PHM,PHM_6m,PHM_12m,PHM_6m_ret,PHM_12m_ret
355,355,355,355,2020-07-02,31.590856552124023,32.513214111328125,35.09774398803711,-0.028368698217465238,-0.0999177450581551
356,356,356,356,2020-07-06,32.76301956176758,31.3026180267334,34.97283935546875,0.046654293701151595,-0.06318674246721179
357,357,357,357,2020-07-07,32.59007263183594,30.678102493286133,34.213809967041016,0.06232361140876419,-0.04745853609315254
358,358,358,358,2020-07-08,33.887149810791016,32.186553955078125,33.310672760009766,0.05283559893011125,0.017306076491896194
359,359,359,359,2020-07-09,32.5516471862793,32.69576644897461,33.69499588012695,-0.004407887575298974,-0.03393229955911625
360,360,360,360,2020-07-10,33.63734436035156,31.686931610107425,33.74302291870117,0.06155259127778723,-0.00313186398871923
361,361,361,361,2020-07-13,32.561256408691406,31.590856552124023,32.513214111328125,0.03071774438803998,0.0014776237501090694
362,362,362,362,2020-07-14,34.060089111328125,32.76301956176758,31.3026180267334,0.03958943854717667,0.08809074954177198
363,363,363,363,2020-07-15,34.76145935058594,32.59007263183594,30.678102493286133,0.06662724392423902,0.13310330579257434
364,364,364,364,2020-07-16,35.309120178222656,33.887149810791016,32.186553955078125,0.0419619346971114,0.0970146175792106
365,365,365,365,2020-07-17,35.837554931640625,32.5516471862793,32.69576644897461,0.10094443843524936,0.09609159912397613
366,366,366,366,2020-07-20,36.1065788269043,33.63734436035156,31.686931610107425,0.07340753301153069,0.13947854816548744
367,367,367,367,2020-07-21,36.22187805175781,32.561256408691406,31.590856552124023,0.11242261653298158,0.14659373011911647
368,368,368,368,2020-07-22,37.893653869628906,34.060089111328125,32.76301956176758,0.11255298674558567,0.15659833484482788
369,369,369,369,2020-07-23,39.67111587524414,34.76145935058594,32.59007263183594,0.14123850426249285,0.21727608046172375
370,370,370,370,2020-07-24,40.94896697998047,35.309120178222656,33.887149810791016,0.15972776362851038,0.20839218431231687
371,371,371,371,2020-07-27,42.50545883178711,35.837554931640625,32.5516471862793,0.1860591190684009,0.3057851907937672
372,372,372,372,2020-07-28,41.78486633300781,36.1065788269043,33.63734436035156,0.15726462297426025,0.24221656398832003
373,373,373,373,2020-07-29,42.94741821289063,36.22187805175781,32.561256408691406,0.1856761858543785,0.31897300502897363
374,374,374,374,2020-07-30,42.14995956420898,37.893653869628906,34.060089111328125,0.11232238805008521,0.23751759504910464
375,375,375,375,2020-07-31,41.89054107666016,39.67111587524414,34.76145935058594,0.055945620697828824,0.20508580074771965
376,376,376,376,2020-08-03,42.30368423461914,40.94896697998047,35.309120178222656,0.03308306300622865,0.1980951103027051
377,377,377,377,2020-08-04,42.409366607666016,42.50545883178711,35.837554931640625,-0.0022607031370105446,0.1833777914972432
378,378,378,378,2020-08-05,42.76487350463867,41.78486633300781,36.1065788269043,0.02345363902377029,0.18440668969647822
379,379,379,379,2020-08-06,42.96663284301758,42.94741821289063,36.22187805175781,0.0004473989572946202,0.18620665614361886
380,380,380,380,2020-08-07,42.52466583251953,42.14995956420898,37.893653869628906,0.008889836957963082,0.12221075272454263
381,381,381,381,2020-08-10,43.389381408691406,41.89054107666016,39.67111587524414,0.03577992294939203,0.0937272736451451
382,382,382,382,2020-08-11,42.6303596496582,42.30368423461914,40.94896697998047,0.007722150468675526,0.04106068586540301
383,383,383,383,2020-08-12,43.65840148925781,42.409366607666016,42.50545883178711,0.029451863621231755,0.02712457856374173
384,384,384,384,2020-08-13,43.73526763916016,42.76487350463867,41.78486633300781,0.022691383254441977,0.046677217790012104
385,385,385,385,2020-08-14,43.30290603637695,42.96663284301758,42.94741821289063,0.007826379939707584,0.008277280411226773
386,386,386,386,2020-08-17,44.60958480834961,42.52466583251953,42.14995956420898,0.04902846230565072,0.05835415429981072
387,387,387,387,2020-08-18,44.78253555297852,43.389381408691406,41.89054107666016,0.0321081817499258,0.06903693296837532
388,388,388,388,2020-08-19,44.35977935791016,42.6303596496582,42.30368423461914,0.040567795403664286,0.04860321649262933
389,389,389,389,2020-08-20,44.52312088012695,43.65840148925781,42.409366607666016,0.019806483090818228,0.04984168455085691
390,390,390,390,2020-08-21,45.6184196472168,43.73526763916016,42.76487350463867,0.04305797379802656,0.06672640203807934
391,391,391,391,2020-08-24,45.75293731689453,43.30290603637695,42.96663284301758,0.056578911319702385,0.06484809931597302
