,Unnamed: 0.1,Unnamed: 0,Date,EXC,EXC_6m,EXC_12m
932,932,932,2022-10-17,35.500144958496094,35.366180419921875,36.12211990356445
933,933,933,2022-10-18,35.940311431884766,36.17953109741211,35.84461975097656
934,934,934,2022-10-19,35.26092529296875,35.854190826416016,36.82063674926758
935,935,935,2022-10-20,34.00741958618164,34.409305572509766,38.28466033935547
936,936,936,2022-10-21,35.136531829833984,35.624542236328125,37.03115463256836
937,937,937,2022-10-24,35.28006362915039,35.012142181396484,36.13168716430664
938,938,938,2022-10-25,36.13168716430664,35.500144958496094,35.366180419921875
939,939,939,2022-10-26,35.988155364990234,35.940311431884766,36.17953109741211
940,940,940,2022-10-27,36.07427215576172,35.26092529296875,35.854190826416016
941,941,941,2022-10-28,37.08856201171875,34.00741958618164,34.409305572509766
942,942,942,2022-10-31,36.9258918762207,35.136531829833984,35.624542236328125
943,943,943,2022-11-01,37.08856201171875,35.28006362915039,35.012142181396484
944,944,944,2022-11-02,36.39961242675781,36.13168716430664,35.500144958496094
945,945,945,2022-11-03,35.366180419921875,35.988155364990234,35.940311431884766
946,946,946,2022-11-04,35.57670211791992,36.07427215576172,35.26092529296875
947,947,947,2022-11-07,35.09825897216797,37.08856201171875,34.00741958618164
948,948,948,2022-11-08,36.08384323120117,36.9258918762207,35.136531829833984
949,949,949,2022-11-09,36.0647087097168,37.08856201171875,35.28006362915039
950,950,950,2022-11-10,37.31821060180664,36.39961242675781,36.13168716430664
951,951,951,2022-11-11,37.4234733581543,35.366180419921875,35.988155364990234
952,952,952,2022-11-14,36.73624038696289,35.57670211791992,36.07427215576172
953,953,953,2022-11-15,36.90997314453125,35.09825897216797,37.08856201171875
954,954,954,2022-11-16,36.73624038696289,36.08384323120117,36.9258918762207
955,955,955,2022-11-17,36.17640686035156,36.0647087097168,37.08856201171875
956,956,956,2022-11-18,37.23815155029297,37.31821060180664,36.39961242675781
957,957,957,2022-11-21,37.35397720336914,37.4234733581543,35.366180419921875
958,958,958,2022-11-22,38.0778923034668,36.73624038696289,35.57670211791992
