,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GEN,GEN_6m,GEN_12m,GEN_6m_ret,GEN_12m_ret
942,942,942,942,2022-10-31,21.830127716064453,21.122802734375,20.551130294799805,0.033486322368497135,0.062234894281619324
943,943,943,943,2022-11-01,22.246768951416016,21.316591262817383,20.13448905944824,0.04363632426640107,0.10490854204102962
944,944,944,944,2022-11-02,21.568511962890625,21.55882453918457,20.54144287109375,0.00044934841825194916,0.04999985143410668
945,945,945,945,2022-11-03,21.01622200012207,21.490997314453125,20.80305290222168,-0.022091823259023813,0.010247010325951988
946,946,946,946,2022-11-04,21.471620559692383,21.15187263488769,20.841812133789062,0.015116766743257681,0.030218506042584803
947,947,947,947,2022-11-07,20.98715209960937,21.85919570922852,20.92901611328125,-0.039893673180801836,0.002777769676961972
948,948,948,948,2022-11-08,20.948394775390625,21.830127716064453,21.122802734375,-0.04039064508197876,-0.008256856875368368
949,949,949,949,2022-11-09,22.20800971984864,22.246768951416016,21.316591262817383,-0.0017422409362914948,0.041818058339663455
950,950,950,950,2022-11-10,21.927021026611328,21.568511962890625,21.55882453918457,0.016621872864365006,0.017078690294896948
951,951,951,951,2022-11-11,22.22739219665528,21.01622200012207,21.490997314453125,0.0576302532646531,0.03426527263613388
952,952,952,952,2022-11-14,21.99484634399414,21.471620559692383,21.15187263488769,0.024368248444366802,0.03985338431529972
953,953,953,953,2022-11-15,21.54913711547852,20.98715209960937,21.85919570922852,0.026777573879574135,-0.01418435508215421
954,954,954,954,2022-11-16,21.90764236450196,20.948394775390625,21.830127716064453,0.04579098300353901,0.0035508105791093314
955,955,955,955,2022-11-17,21.75261306762696,22.20800971984864,22.246768951416016,-0.02050596419789319,-0.022212478803920965
956,956,956,956,2022-11-18,22.0400505065918,21.927021026611328,21.568511962890625,0.005154803283277554,0.021862358632458
957,957,957,957,2022-11-21,22.459022521972656,22.22739219665528,21.01622200012207,0.010420940219529218,0.06865175490828967
