,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,RVTY,RVTY_6m,RVTY_12m,RVTY_6m_ret,RVTY_12m_ret
343,343,343,343,2020-06-16,98.10347747802734,104.48299407958984,99.68099212646484,-0.0610579420867563,-0.015825631494880366
344,344,344,344,2020-06-17,97.82568359375,101.63552856445312,101.15928649902344,-0.03748536584120854,-0.03295399780528918
345,345,345,345,2020-06-18,97.22049713134766,102.21096801757812,101.11959838867188,-0.04882519932080298,-0.038559303235534026
346,346,346,346,2020-06-19,97.58757019042967,95.75210571289062,103.04438018798828,0.01916892024330652,-0.0529559204257769
347,347,347,347,2020-06-22,97.27008819580078,96.37714385986328,102.21096801757812,0.009265104776666533,-0.04834001592595838
348,348,348,348,2020-06-23,98.42095947265624,97.4982681274414,103.58014678955078,0.009463669077780512,-0.04980865037174298
349,349,349,349,2020-06-24,95.2163543701172,98.10347747802734,104.48299407958984,-0.029429365626277404,-0.08869041121097454
350,350,350,350,2020-06-25,95.17665100097656,97.82568359375,101.63552856445312,-0.02707911149156217,-0.06354940693185462
351,351,351,351,2020-06-26,93.19236755371094,97.22049713134766,102.21096801757812,-0.04143292511860541,-0.08823515361204859
352,352,352,352,2020-06-29,94.9782257080078,97.58757019042967,95.75210571289062,-0.026738492180203632,-0.008082119960925782
353,353,353,353,2020-06-30,97.31968688964844,97.27008819580078,96.37714385986328,0.0005099069484528762,0.009779736066423128
354,354,354,354,2020-07-01,96.32754516601562,98.42095947265624,97.4982681274414,-0.021270005066575393,-0.012007628278027593
355,355,355,355,2020-07-02,97.17086029052734,95.2163543701172,98.10347747802734,0.020526998049229528,-0.009506464107848611
356,356,356,356,2020-07-06,99.3039779663086,95.17665100097656,97.82568359375,0.04336491063643,0.015111515894922212
357,357,357,357,2020-07-07,98.86743927001952,93.19236755371094,97.22049713134766,0.06089631442229204,0.016940276868228743
358,358,358,358,2020-07-08,101.6057586669922,94.9782257080078,97.58757019042967,0.06977949850694709,0.04117520775157679
359,359,359,359,2020-07-09,102.2705078125,97.31968688964844,97.27008819580078,0.050871730901326684,0.05140757769884585
360,360,360,360,2020-07-10,100.67315673828124,96.32754516601562,98.42095947265624,0.04511286532607239,0.022883309385443695
361,361,361,361,2020-07-13,103.67935180664062,97.17086029052734,95.2163543701172,0.06697986923912991,0.08888176293356875
362,362,362,362,2020-07-14,105.92159271240234,99.3039779663086,95.17665100097656,0.06663997637978758,0.1128947236367408
363,363,363,363,2020-07-15,108.1142578125,98.86743927001952,93.19236755371094,0.09352744048752237,0.16011923133285477
364,364,364,364,2020-07-16,108.15396881103516,101.6057586669922,94.9782257080078,0.06444723438859778,0.1387238285913408
365,365,365,365,2020-07-17,108.19366455078124,102.2705078125,97.31968688964844,0.05791656719980898,0.11173461412245289
366,366,366,366,2020-07-20,109.01766967773438,100.67315673828124,96.32754516601562,0.0828871688323658,0.13173931184323195
367,367,367,367,2020-07-21,110.78482818603516,103.67935180664062,97.17086029052734,0.06853318674914233,0.14010339987527076
368,368,368,368,2020-07-22,111.21172332763672,105.92159271240234,99.3039779663086,0.04994383562186511,0.11991206802780985
369,369,369,369,2020-07-23,111.22166442871094,108.1142578125,98.86743927001952,0.028741876225058416,0.12495747083071973
370,370,370,370,2020-07-24,109.57363891601562,108.15396881103516,101.6057586669922,0.013126380109646174,0.0784195733938442
371,371,371,371,2020-07-27,114.14044952392578,108.19366455078124,102.2705078125,0.05496426244397501,0.11606417104320843
372,372,372,372,2020-07-28,112.17474365234376,109.01766967773438,100.67315673828124,0.02895928691139682,0.11424680904725237
373,373,373,373,2020-07-29,118.77674102783205,110.78482818603516,103.67935180664062,0.07213905525381592,0.1456161613485747
374,374,374,374,2020-07-30,117.9527359008789,111.21172332763672,105.92159271240234,0.06061422637416336,0.11358536895440619
375,375,375,375,2020-07-31,118.05203247070312,111.22166442871094,108.1142578125,0.061412208467444884,0.09191918678698219
376,376,376,376,2020-08-03,120.89139556884766,109.57363891601562,108.15396881103516,0.10328904620486945,0.1177712375961637
377,377,377,377,2020-08-04,119.9482421875,114.14044952392578,108.19366455078124,0.050882861315144856,0.10864386270234605
378,378,378,378,2020-08-05,121.20906829833984,112.17474365234376,109.01766967773438,0.08053795669010477,0.11182956539654798
379,379,379,379,2020-08-06,118.19100952148438,118.77674102783205,110.78482818603516,-0.004931365360583695,0.06685194585500831
380,380,380,380,2020-08-07,118.46900177001952,117.9527359008789,111.21172332763672,0.00437688761687105,0.06525641564785767
381,381,381,381,2020-08-10,117.7442626953125,118.05203247070312,111.22166442871094,-0.0026070688403183606,0.05864503377201591
382,382,382,382,2020-08-11,116.86067962646484,120.89139556884766,109.57363891601562,-0.03334162802419893,0.06650359322313348
383,383,383,383,2020-08-12,119.00509643554688,119.9482421875,114.14044952392578,-0.007862939337442088,0.04261983312586648
384,384,384,384,2020-08-13,119.13414764404295,121.20906829833984,112.17474365234376,-0.017118526554380842,0.0620407389854889
385,385,385,385,2020-08-14,117.39678192138672,118.19100952148438,118.77674102783205,-0.00671986476224562,-0.011618092014512915
386,386,386,386,2020-08-17,118.80653381347656,118.46900177001952,117.9527359008789,0.002849116970802923,0.00723847485246254
387,387,387,387,2020-08-18,117.18830108642578,117.7442626953125,118.05203247070312,-0.004721772391792722,-0.0073165312464373855
388,388,388,388,2020-08-19,116.8408432006836,116.86067962646484,120.89139556884766,-0.00016974422743953888,-0.033505712702747936
389,389,389,389,2020-08-20,115.92745208740234,119.00509643554688,119.9482421875,-0.025861449974215023,-0.033521042299331616
390,390,390,390,2020-08-21,116.05653381347656,119.13414764404295,121.20906829833984,-0.02583317958308562,-0.04250948016678924
