,Unnamed: 0.1,Unnamed: 0,Date,PEP,PEP_6m,PEP_12m
941,941,941,2022-10-28,176.0465087890625,165.64198303222656,163.6422119140625
942,942,942,2022-10-31,175.4185791015625,167.18768310546875,168.68508911132812
943,943,943,2022-11-01,174.6263885498047,171.65090942382812,164.4150848388672
944,944,944,2022-11-02,172.19192504882812,172.2209014892578,166.86886596679688
945,945,945,2022-11-03,171.7475128173828,172.99374389648438,169.11981201171875
946,946,946,2022-11-04,172.71359252929688,172.81019592285156,167.47750854492188
947,947,947,2022-11-07,174.09507751464844,176.0465087890625,165.64198303222656
948,948,948,2022-11-08,174.57810974121094,175.4185791015625,167.18768310546875
949,949,949,2022-11-09,172.49139404296875,174.6263885498047,171.65090942382812
950,950,950,2022-11-10,175.5345001220703,172.19192504882812,172.2209014892578
951,951,951,2022-11-11,172.00836181640625,171.7475128173828,172.99374389648438
952,952,952,2022-11-14,170.733154296875,172.71359252929688,172.81019592285156
953,953,953,2022-11-15,171.17755126953125,174.09507751464844,176.0465087890625
954,954,954,2022-11-16,172.27886962890625,174.57810974121094,175.4185791015625
955,955,955,2022-11-17,173.9211883544922,172.49139404296875,174.6263885498047
956,956,956,2022-11-18,175.17706298828125,175.5345001220703,172.19192504882812
957,957,957,2022-11-21,178.5486297607422,172.00836181640625,171.7475128173828
958,958,958,2022-11-22,178.5679473876953,170.733154296875,172.71359252929688
959,959,959,2022-11-23,178.7998046875,171.17755126953125,174.09507751464844
960,960,960,2022-11-25,177.86273193359375,172.27886962890625,174.57810974121094
961,961,961,2022-11-28,177.6501922607422,173.9211883544922,172.49139404296875
962,962,962,2022-11-29,176.39430236816406,175.17706298828125,175.5345001220703
963,963,963,2022-11-30,179.21524047851562,178.5486297607422,172.00836181640625
964,964,964,2022-12-01,180.7122344970703,178.5679473876953,170.733154296875
965,965,965,2022-12-02,180.5081329345703,178.7998046875,171.17755126953125
966,966,966,2022-12-05,178.0098114013672,177.86273193359375,172.27886962890625
967,967,967,2022-12-06,176.5614013671875,177.6501922607422,173.9211883544922
968,968,968,2022-12-07,177.09605407714844,176.39430236816406,175.17706298828125
969,969,969,2022-12-08,178.65139770507812,179.21524047851562,178.5486297607422
970,970,970,2022-12-09,177.99038696289062,180.7122344970703,178.5679473876953
