,Unnamed: 0.1,Unnamed: 0,Date,MTCH,MTCH_6m,MTCH_12m
743,743,743,2022-01-14,121.1500015258789,126.05999755859376,130.0
744,744,744,2022-01-18,115.87000274658205,125.2699966430664,133.1999969482422
745,745,745,2022-01-19,116.2699966430664,126.55999755859376,132.25
746,746,746,2022-01-20,118.66000366210938,126.0,134.22999572753906
747,747,747,2022-01-21,115.83999633789062,124.08000183105467,132.97000122070312
748,748,748,2022-01-24,117.25,123.1999969482422,125.5199966430664
749,749,749,2022-01-25,111.6999969482422,121.1500015258789,126.05999755859376
750,750,750,2022-01-26,110.16999816894533,115.87000274658205,125.2699966430664
751,751,751,2022-01-27,106.5,116.2699966430664,126.55999755859376
752,752,752,2022-01-28,109.22000122070312,118.66000366210938,126.0
753,753,753,2022-01-31,112.6999969482422,115.83999633789062,124.08000183105467
754,754,754,2022-02-01,112.08999633789062,117.25,123.1999969482422
755,755,755,2022-02-02,118.01000213623048,111.6999969482422,121.1500015258789
756,756,756,2022-02-03,111.9800033569336,110.16999816894533,115.87000274658205
757,757,757,2022-02-04,115.9800033569336,106.5,116.2699966430664
758,758,758,2022-02-07,113.41000366210938,109.22000122070312,118.66000366210938
759,759,759,2022-02-08,112.41999816894533,112.6999969482422,115.83999633789062
760,760,760,2022-02-09,117.19000244140624,112.08999633789062,117.25
761,761,761,2022-02-10,114.4000015258789,118.01000213623048,111.6999969482422
762,762,762,2022-02-11,112.76000213623048,111.9800033569336,110.16999816894533
763,763,763,2022-02-14,113.77999877929688,115.9800033569336,106.5
764,764,764,2022-02-15,118.44000244140624,113.41000366210938,109.22000122070312
765,765,765,2022-02-16,117.33000183105467,112.41999816894533,112.6999969482422
766,766,766,2022-02-17,111.87999725341795,117.19000244140624,112.08999633789062
767,767,767,2022-02-18,107.55999755859376,114.4000015258789,118.01000213623048
768,768,768,2022-02-22,107.16000366210938,112.76000213623048,111.9800033569336
769,769,769,2022-02-23,104.54000091552734,113.77999877929688,115.9800033569336
770,770,770,2022-02-24,113.04000091552734,118.44000244140624,113.41000366210938
771,771,771,2022-02-25,113.22000122070312,117.33000183105467,112.41999816894533
772,772,772,2022-02-28,111.48999786376952,111.87999725341795,117.19000244140624
773,773,773,2022-03-01,110.41999816894533,107.55999755859376,114.4000015258789
774,774,774,2022-03-02,109.2300033569336,107.16000366210938,112.76000213623048
775,775,775,2022-03-03,102.98999786376952,104.54000091552734,113.77999877929688
776,776,776,2022-03-04,96.58999633789062,113.04000091552734,118.44000244140624
777,777,777,2022-03-07,89.18000030517578,113.22000122070312,117.33000183105467
778,778,778,2022-03-08,87.69999694824219,111.48999786376952,111.87999725341795
779,779,779,2022-03-09,98.93000030517578,110.41999816894533,107.55999755859376
780,780,780,2022-03-10,94.91000366210938,109.2300033569336,107.16000366210938
781,781,781,2022-03-11,88.44999694824219,102.98999786376952,104.54000091552734
782,782,782,2022-03-14,85.05999755859375,96.58999633789062,113.04000091552734
783,783,783,2022-03-15,87.56999969482422,89.18000030517578,113.22000122070312
784,784,784,2022-03-16,92.36000061035156,87.69999694824219,111.48999786376952
785,785,785,2022-03-17,95.26000213623048,98.93000030517578,110.41999816894533
786,786,786,2022-03-18,102.69000244140624,94.91000366210938,109.2300033569336
787,787,787,2022-03-21,100.02999877929688,88.44999694824219,102.98999786376952
