,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MPWR,MPWR_6m,MPWR_12m,MPWR_6m_ret,MPWR_12m_ret
136,136,136,136,2019-08-20,147.31253051757812,140.46237182617188,141.65072631835938,0.04876863890553995,0.03997017414858761
137,137,137,137,2019-08-21,149.19654846191406,146.0467987060547,137.42855834960938,0.021566715489593324,0.0856298738313741
138,138,138,138,2019-08-22,150.11441040039062,139.1193389892578,140.3367462158203,0.07903337875966909,0.06967287220364571
139,139,139,139,2019-08-23,143.09036254882812,140.2304229736328,141.34153747558594,0.020394572836260005,0.012373044078031636
140,140,140,140,2019-08-26,143.54446411132812,146.2497100830078,147.2835235595703,-0.018497445021561143,-0.025386814206206032
141,141,141,141,2019-08-27,141.58311462402344,148.31732177734375,144.14346313476562,-0.04540405040100315,-0.017762501712258794
142,142,142,142,2019-08-28,142.04684448242188,147.31253051757812,140.46237182617188,-0.035744997500588904,0.011280406529165399
143,143,143,143,2019-08-29,145.33181762695312,149.19654846191406,146.0467987060547,-0.02590362092691101,-0.0048955614599988095
144,144,144,144,2019-08-30,145.4671173095703,150.11441040039062,139.1193389892578,-0.03095834089761862,0.04562829558011816
145,145,145,145,2019-09-03,141.32223510742188,143.09036254882812,140.2304229736328,-0.012356719278021955,0.007785843546905369
146,146,146,146,2019-09-04,144.6555633544922,143.54446411132812,146.2497100830078,0.007740453454912366,-0.010900170178873014
147,147,147,147,2019-09-05,150.79075622558594,141.58311462402344,148.31732177734375,0.06503347257201941,0.01667663910460404
148,148,148,148,2019-09-06,150.72308349609375,142.04684448242188,147.31253051757812,0.06108012497768334,0.023151818562431536
149,149,149,149,2019-09-09,148.6168670654297,145.33181762695312,149.19654846191406,0.022603786920967428,-0.0038853539338569165
150,150,150,150,2019-09-10,147.73764038085938,145.4671173095703,150.11441040039062,0.015608497049248049,-0.015833057020920527
151,151,151,151,2019-09-11,152.1916961669922,141.32223510742188,143.09036254882812,0.076912603677038,0.06360549694643702
152,152,152,152,2019-09-12,155.86314392089844,144.6555633544922,143.54446411132812,0.07747770155884703,0.08581786755646936
153,153,153,153,2019-09-13,156.0853729248047,150.79075622558594,141.58311462402344,0.03511234263788632,0.10242929278178581
154,154,154,154,2019-09-16,154.87767028808594,150.72308349609375,142.04684448242188,0.027564369674668132,0.0903281297970111
155,155,155,155,2019-09-17,152.558837890625,148.6168670654297,145.33181762695312,0.026524383826903142,0.04972772226810407
156,156,156,156,2019-09-18,152.9839324951172,147.73764038085938,145.4671173095703,0.035510869814443735,0.05167363817040682
157,157,157,157,2019-09-19,151.06126403808594,152.1916961669922,141.32223510742188,-0.007427685986664323,0.06891363502184378
158,158,158,158,2019-09-20,149.05160522460938,155.86314392089844,144.6555633544922,-0.0437020486366293,0.030389718640438712
159,159,159,159,2019-09-23,151.86317443847656,156.0853729248047,150.79075622558594,-0.02705057115353271,0.007111962561460183
160,160,160,160,2019-09-24,151.95980834960938,154.87767028808594,150.72308349609375,-0.018839784541238802,0.008205278347743539
161,161,161,161,2019-09-25,154.5491485595703,152.558837890625,148.6168670654297,0.013046183993432381,0.039916609812053805
162,162,162,162,2019-09-26,154.80035400390625,152.9839324951172,147.73764038085938,0.01187328289424805,0.047805783311819505
163,163,163,163,2019-09-27,151.70086669921875,151.06126403808594,152.1916961669922,0.0042340613605056365,-0.00322507390439275
164,164,164,164,2019-09-30,150.74197387695312,149.05160522460938,155.86314392089844,0.011340828230574918,-0.03285683783296667
165,165,165,165,2019-10-01,148.5335693359375,151.86317443847656,156.0853729248047,-0.021925032943967415,-0.04838251943380578
166,166,166,166,2019-10-02,145.2209930419922,151.95980834960938,154.87767028808594,-0.04434603715815033,-0.0623503519140719
167,167,167,167,2019-10-03,146.96444702148438,154.5491485595703,152.558837890625,-0.04907630749685077,-0.03667038204074058
168,168,168,168,2019-10-04,148.1267547607422,154.80035400390625,152.9839324951172,-0.04311100763371423,-0.031749593928957376
169,169,169,169,2019-10-07,144.52362060546875,151.70086669921875,151.06126403808594,-0.04731183314845866,-0.04327809299258145
170,170,170,170,2019-10-08,137.3560028076172,150.74197387695312,149.05160522460938,-0.08880055584427049,-0.07846679946430501
171,171,171,171,2019-10-09,130.9051971435547,148.5335693359375,151.86317443847656,-0.11868274808984647,-0.13800565787206331
172,172,172,172,2019-10-10,132.7164764404297,145.2209930419922,151.95980834960938,-0.08610681100319073,-0.12663435232102382
173,173,173,173,2019-10-11,133.7916259765625,146.96444702148438,154.5491485595703,-0.0896327058135099,-0.13431017107808207
174,174,174,174,2019-10-14,138.04368591308594,148.1267547607422,154.80035400390625,-0.06807054447349947,-0.10824696234478559
175,175,175,175,2019-10-15,140.06805419921875,144.52362060546875,151.70086669921875,-0.03082933009554978,-0.07668257112244903
176,176,176,176,2019-10-16,137.40444946289062,137.3560028076172,150.74197387695312,0.000352708686065073,-0.08847916788557897
177,177,177,177,2019-10-17,138.23744201660156,130.9051971435547,148.5335693359375,0.05601186991075768,-0.06931852082574852
178,178,178,178,2019-10-18,137.64659118652344,132.7164764404297,145.2209930419922,0.03714772180759818,-0.05215776105647851
179,179,179,179,2019-10-21,140.833251953125,133.7916259765625,146.96444702148438,0.05263129082380713,-0.04171889999669831
180,180,180,180,2019-10-22,139.6806640625,138.04368591308594,148.1267547607422,0.011858406551421119,-0.057019346112621716
181,181,181,181,2019-10-23,145.9571075439453,140.06805419921875,144.52362060546875,0.042044228988507015,0.009918703478857704
182,182,182,182,2019-10-24,145.521240234375,137.40444946289062,137.3560028076172,0.05907225568904528,0.059445799672797506
183,183,183,183,2019-10-25,147.5456085205078,138.23744201660156,130.9051971435547,0.06733462633653464,0.12711803457814397
184,184,184,184,2019-10-28,149.0662841796875,137.64659118652344,132.7164764404297,0.08296386343261752,0.1231935037590941
185,185,185,185,2019-10-29,147.4971923828125,140.833251953125,133.7916259765625,0.047317947553362716,0.10243964303603681
186,186,186,186,2019-10-30,146.916015625,139.6806640625,138.04368591308594,0.051799235141540834,0.06427189808232292
187,187,187,187,2019-10-31,145.2113037109375,145.9571075439453,140.06805419921875,-0.005109746593075393,0.03671964703959918
188,188,188,188,2019-11-01,150.69354248046875,145.521240234375,137.40444946289062,0.03554328040197641,0.09671515783895468
189,189,189,189,2019-11-04,156.04013061523438,147.5456085205078,138.23744201660156,0.057572178392187645,0.12878340584814074
190,190,190,190,2019-11-05,157.4736785888672,149.0662841796875,137.64659118652344,0.056400375547331905,0.14404343203440662
191,191,191,191,2019-11-06,155.11996459960938,147.4971923828125,140.833251953125,0.05168079536736414,0.10144417208543599
192,192,192,192,2019-11-07,158.2291717529297,146.916015625,139.6806640625,0.07700424000611528,0.13279223588262856
193,193,193,193,2019-11-08,159.85643005371094,145.2113037109375,145.9571075439453,0.10085390027161045,0.09522881580522391
194,194,194,194,2019-11-11,158.752197265625,150.69354248046875,145.521240234375,0.05347710759537505,0.09092113982770056
195,195,195,195,2019-11-12,157.44464111328125,156.04013061523438,147.5456085205078,0.009000956949402505,0.06709134004078154
196,196,196,196,2019-11-13,155.23622131347656,157.4736785888672,149.0662841796875,-0.014208452456566989,0.04139056103626815
197,197,197,197,2019-11-14,155.10061645507812,155.11996459960938,147.4971923828125,-0.00012473020208059182,0.051549619009233716
198,198,198,198,2019-11-15,157.39617919921875,158.2291717529297,146.916015625,-0.005264468899651598,0.07133438467981024
199,199,199,199,2019-11-18,156.06924438476562,159.85643005371094,145.2113037109375,-0.02369116880486344,0.07477338469078343
200,200,200,200,2019-11-19,156.67941284179688,158.752197265625,150.69354248046875,-0.013056729037645542,0.03972214245413963
201,201,201,201,2019-11-20,154.15139770507812,157.44464111328125,156.04013061523438,-0.020916833910108346,-0.0121041484822485
202,202,202,202,2019-11-21,153.48306274414062,155.23622131347656,157.4736785888672,-0.011293489074277963,-0.025341478528264294
203,203,203,203,2019-11-22,153.01817321777344,155.10061645507812,155.11996459960938,-0.01342640206660839,-0.013549457590846026
204,204,204,204,2019-11-25,158.95559692382812,157.39617919921875,158.2291717529297,0.009907595804060865,0.00459096867442832
205,205,205,205,2019-11-26,157.6674041748047,156.06924438476562,159.85643005371094,0.010240068735765995,-0.013693699266089876
206,206,206,206,2019-11-27,158.0645294189453,156.67941284179688,158.752197265625,0.008840450395017907,-0.004331706008006142
207,207,207,207,2019-11-29,155.6333465576172,154.15139770507812,157.44464111328125,0.009613593354335537,-0.011504326491244887
208,208,208,208,2019-12-02,153.0375213623047,153.48306274414062,155.23622131347656,-0.002902870022724713,-0.014163575566116915
