,Unnamed: 0.1,Unnamed: 0,Date,DAL,DAL_6m,DAL_12m
244,244,244,2020-01-24,58.12129974365234,60.89839172363281,56.93534851074219
245,245,245,2020-01-27,56.16448974609375,61.15534973144531,58.16082763671875
246,246,246,2020-01-28,56.80686950683594,61.30358505249024,58.26953887939453
247,247,247,2020-01-29,55.98659133911133,59.63338088989258,58.54626083374024
248,248,248,2020-01-30,56.43132019042969,58.94157791137695,58.7933349609375
249,249,249,2020-01-31,55.087249755859375,59.5641975402832,60.73038101196289
250,250,250,2020-02-03,55.38373947143555,58.12129974365234,60.89839172363281
251,251,251,2020-02-04,57.25160217285156,56.16448974609375,61.15534973144531
252,252,252,2020-02-05,58.20036315917969,56.80686950683594,61.30358505249024
253,253,253,2020-02-06,57.49867630004883,55.98659133911133,59.63338088989258
254,254,254,2020-02-07,57.24171829223633,56.43132019042969,58.94157791137695
255,255,255,2020-02-10,57.034175872802734,55.087249755859375,59.5641975402832
256,256,256,2020-02-11,57.973052978515625,55.38373947143555,58.12129974365234
257,257,257,2020-02-12,58.77356719970703,57.25160217285156,56.16448974609375
258,258,258,2020-02-13,58.43755340576172,58.20036315917969,56.80686950683594
259,259,259,2020-02-14,58.21024703979492,57.49867630004883,55.98659133911133
260,260,260,2020-02-18,58.032352447509766,57.24171829223633,56.43132019042969
261,261,261,2020-02-19,58.224403381347656,57.034175872802734,55.087249755859375
262,262,262,2020-02-20,58.09504318237305,57.973052978515625,55.38373947143555
263,263,263,2020-02-21,57.58753204345703,58.77356719970703,57.25160217285156
264,264,264,2020-02-24,53.96529769897461,58.43755340576172,58.20036315917969
265,265,265,2020-02-25,50.6416015625,58.21024703979492,57.49867630004883
266,266,266,2020-02-26,49.34794998168945,58.032352447509766,57.24171829223633
267,267,267,2020-02-27,47.95478057861328,58.224403381347656,57.034175872802734
268,268,268,2020-02-28,45.90483856201172,58.09504318237305,57.973052978515625
269,269,269,2020-03-02,46.9298095703125,57.58753204345703,58.77356719970703
270,270,270,2020-03-03,45.95458984375,53.96529769897461,58.43755340576172
271,271,271,2020-03-04,48.26327133178711,50.6416015625,58.21024703979492
272,272,272,2020-03-05,44.79030227661133,49.34794998168945,58.032352447509766
273,273,273,2020-03-06,45.66600799560547,47.95478057861328,58.224403381347656
274,274,274,2020-03-09,43.30757522583008,45.90483856201172,58.09504318237305
275,275,275,2020-03-10,45.2480583190918,46.9298095703125,57.58753204345703
276,276,276,2020-03-11,42.46172332763672,45.95458984375,53.96529769897461
277,277,277,2020-03-12,33.54545974731445,48.26327133178711,50.6416015625
278,278,278,2020-03-13,38.17276382446289,44.79030227661133,49.34794998168945
279,279,279,2020-03-16,35.63520812988281,45.66600799560547,47.95478057861328
280,280,280,2020-03-17,31.58507537841797,43.30757522583008,45.90483856201172
281,281,281,2020-03-18,23.375343322753903,45.2480583190918,46.9298095703125
282,282,282,2020-03-19,21.40500831604004,42.46172332763672,45.95458984375
283,283,283,2020-03-20,21.24578857421875,33.54545974731445,48.26327133178711
284,284,284,2020-03-23,22.111541748046875,38.17276382446289,44.79030227661133
285,285,285,2020-03-24,26.75874710083008,35.63520812988281,45.66600799560547
286,286,286,2020-03-25,30.948198318481445,31.58507537841797,43.30757522583008
287,287,287,2020-03-26,31.545270919799805,23.375343322753903,45.2480583190918
288,288,288,2020-03-27,29.40576362609864,21.40500831604004,42.46172332763672
289,289,289,2020-03-30,28.530059814453125,21.24578857421875,33.54545974731445
290,290,290,2020-03-31,28.390743255615234,22.111541748046875,38.17276382446289
291,291,291,2020-04-01,23.75348854064941,26.75874710083008,35.63520812988281
