,Unnamed: 0.1,Unnamed: 0,Date,J,J_6m,J_12m
545,545,545,2021-04-06,129.27772521972656,126.00559997558594,122.08692932128906
546,546,546,2021-04-07,128.778076171875,124.78102111816406,120.86231994628906
547,547,547,2021-04-08,130.07125854492188,125.5255889892578,120.6859893798828
548,548,548,2021-04-09,132.3636932373047,126.64241027832033,119.3242416381836
549,549,549,2021-04-12,131.69752502441406,127.30856323242188,120.79375457763672
550,550,550,2021-04-13,128.9054412841797,129.9830780029297,123.58582305908205
551,551,551,2021-04-14,128.65072631835938,129.27772521972656,126.00559997558594
552,552,552,2021-04-15,131.18807983398438,128.778076171875,124.78102111816406
553,553,553,2021-04-16,131.0607452392578,130.07125854492188,125.5255889892578
554,554,554,2021-04-19,131.00196838378906,132.3636932373047,126.64241027832033
555,555,555,2021-04-20,130.48272705078125,131.69752502441406,127.30856323242188
556,556,556,2021-04-21,132.7066192626953,128.9054412841797,129.9830780029297
557,557,557,2021-04-22,132.42247009277344,128.65072631835938,129.27772521972656
558,558,558,2021-04-23,134.3524169921875,131.18807983398438,128.778076171875
559,559,559,2021-04-26,133.6666717529297,131.0607452392578,130.07125854492188
560,560,560,2021-04-27,133.93116760253906,131.00196838378906,132.3636932373047
561,561,561,2021-04-28,133.235595703125,130.48272705078125,131.69752502441406
562,562,562,2021-04-29,132.618408203125,132.7066192626953,128.9054412841797
563,563,563,2021-04-30,130.8942108154297,132.42247009277344,128.65072631835938
564,564,564,2021-05-03,132.98089599609375,134.3524169921875,131.18807983398438
565,565,565,2021-05-04,135.4496307373047,133.6666717529297,131.0607452392578
566,566,566,2021-05-05,135.3614959716797,133.93116760253906,131.00196838378906
567,567,567,2021-05-06,135.6358184814453,133.235595703125,130.48272705078125
568,568,568,2021-05-07,137.1053466796875,132.618408203125,132.7066192626953
569,569,569,2021-05-10,139.46630859375,130.8942108154297,132.42247009277344
570,570,570,2021-05-11,137.2914581298828,132.98089599609375,134.3524169921875
571,571,571,2021-05-12,132.64779663085938,135.4496307373047,133.6666717529297
572,572,572,2021-05-13,136.23341369628906,135.3614959716797,133.93116760253906
573,573,573,2021-05-14,135.6358184814453,135.6358184814453,133.235595703125
574,574,574,2021-05-17,136.27261352539062,137.1053466796875,132.618408203125
575,575,575,2021-05-18,132.81434631347656,139.46630859375,130.8942108154297
576,576,576,2021-05-19,133.6764678955078,137.2914581298828,132.98089599609375
577,577,577,2021-05-20,133.85279846191406,132.64779663085938,135.4496307373047
578,578,578,2021-05-21,135.74356079101562,136.23341369628906,135.3614959716797
579,579,579,2021-05-24,136.8114013671875,135.6358184814453,135.6358184814453
580,580,580,2021-05-25,136.4391326904297,136.27261352539062,137.1053466796875
581,581,581,2021-05-26,137.6343536376953,132.81434631347656,139.46630859375
582,582,582,2021-05-27,137.9090576171875,133.6764678955078,137.2914581298828
583,583,583,2021-05-28,139.40037536621094,133.85279846191406,132.64779663085938
584,584,584,2021-06-01,139.64566040039062,135.74356079101562,136.23341369628906
585,585,585,2021-06-02,138.7332000732422,136.8114013671875,135.6358184814453
586,586,586,2021-06-03,139.04718017578125,136.4391326904297,136.27261352539062
587,587,587,2021-06-04,140.69549560546875,137.6343536376953,132.81434631347656
588,588,588,2021-06-07,139.0079345703125,137.9090576171875,133.6764678955078
589,589,589,2021-06-08,139.93020629882812,139.40037536621094,133.85279846191406
590,590,590,2021-06-09,138.85093688964844,139.64566040039062,135.74356079101562
591,591,591,2021-06-10,138.59584045410156,138.7332000732422,136.8114013671875
592,592,592,2021-06-11,137.5067901611328,139.04718017578125,136.4391326904297
593,593,593,2021-06-14,135.94676208496094,140.69549560546875,137.6343536376953
594,594,594,2021-06-15,136.02525329589844,139.0079345703125,137.9090576171875
595,595,595,2021-06-16,135.17166137695312,139.93020629882812,139.40037536621094
596,596,596,2021-06-17,131.286376953125,138.85093688964844,139.64566040039062
597,597,597,2021-06-18,127.23424530029295,138.59584045410156,138.7332000732422
598,598,598,2021-06-21,130.31504821777344,137.5067901611328,139.04718017578125
599,599,599,2021-06-22,130.24636840820312,135.94676208496094,140.69549560546875
600,600,600,2021-06-23,129.4221954345703,136.02525329589844,139.0079345703125
601,601,601,2021-06-24,132.6894073486328,135.17166137695312,139.93020629882812
602,602,602,2021-06-25,134.25921630859375,131.286376953125,138.85093688964844
603,603,603,2021-06-28,131.37466430664062,127.23424530029295,138.59584045410156
604,604,604,2021-06-29,129.32406616210938,130.31504821777344,137.5067901611328
605,605,605,2021-06-30,130.90370178222656,130.24636840820312,135.94676208496094
606,606,606,2021-07-01,131.7769317626953,129.4221954345703,136.02525329589844
607,607,607,2021-07-02,130.22671508789062,132.6894073486328,135.17166137695312
608,608,608,2021-07-06,129.25540161132812,134.25921630859375,131.286376953125
609,609,609,2021-07-07,131.0509033203125,131.37466430664062,127.23424530029295
610,610,610,2021-07-08,129.80484008789062,129.32406616210938,130.31504821777344
611,611,611,2021-07-09,132.11048889160156,130.90370178222656,130.24636840820312
612,612,612,2021-07-12,132.9837188720703,131.7769317626953,129.4221954345703
613,613,613,2021-07-13,130.38369750976562,130.22671508789062,132.6894073486328
614,614,614,2021-07-14,130.39352416992188,129.25540161132812,134.25921630859375
615,615,615,2021-07-15,130.1482391357422,131.0509033203125,131.37466430664062
616,616,616,2021-07-16,129.5497283935547,129.80484008789062,129.32406616210938
