,Unnamed: 0,Date,GS
546,546,2021-04-07,304.2524719238281
547,547,2021-04-08,308.5290832519531
548,548,2021-04-09,308.2216491699219
549,549,2021-04-12,309.1812744140625
550,550,2021-04-13,305.3053283691406
551,551,2021-04-14,312.4515991210937
552,552,2021-04-15,315.4331359863281
553,553,2021-04-16,318.93634033203125
554,554,2021-04-19,319.6631164550781
555,555,2021-04-20,309.2185974121094
556,556,2021-04-21,312.3770446777344
557,557,2021-04-22,308.2588806152344
558,558,2021-04-23,316.1784973144531
559,559,2021-04-26,320.0637512207031
560,560,2021-04-27,322.9614562988281
561,561,2021-04-28,324.34033203125
562,562,2021-04-29,328.86846923828125
563,563,2021-04-30,324.6571350097656
564,564,2021-05-03,326.2503662109375
565,565,2021-05-04,325.95220947265625
566,566,2021-05-05,333.2009582519531
567,567,2021-05-06,340.9808349609375
568,568,2021-05-07,345.5648498535156
569,569,2021-05-10,343.5057678222656
570,570,2021-05-11,335.3439636230469
571,571,2021-05-12,330.20086669921875
572,572,2021-05-13,334.3097229003906
573,573,2021-05-14,343.5896301269531
574,574,2021-05-17,344.03680419921875
575,575,2021-05-18,339.66705322265625
576,576,2021-05-19,333.9090881347656
577,577,2021-05-20,335.2135314941406
578,578,2021-05-21,341.25103759765625
579,579,2021-05-24,343.1424865722656
580,580,2021-05-25,339.6205444335937
581,581,2021-05-26,342.3132019042969
582,582,2021-05-27,346.0120849609375
583,583,2021-05-28,347.788330078125
584,584,2021-06-01,357.5296630859375
585,585,2021-06-02,358.4645080566406
586,586,2021-06-03,363.400634765625
587,587,2021-06-04,365.9527587890625
588,588,2021-06-07,362.8770751953125
589,589,2021-06-08,359.6425170898437
590,590,2021-06-09,357.84747314453125
591,591,2021-06-10,349.5832824707031
592,592,2021-06-11,353.4256286621094
593,593,2021-06-14,348.6297607421875
594,594,2021-06-15,347.115234375
595,595,2021-06-16,346.8348083496094
596,596,2021-06-17,337.9535827636719
597,597,2021-06-18,326.1088562011719
598,598,2021-06-21,334.25152587890625
599,599,2021-06-22,334.2422180175781
600,600,2021-06-23,337.5328674316406
601,601,2021-06-24,344.7313232421875
602,602,2021-06-25,344.75006103515625
603,603,2021-06-28,344.6939392089844
604,604,2021-06-29,348.3492736816406
605,605,2021-06-30,354.8092041015625
606,606,2021-07-01,350.56494140625
607,607,2021-07-02,349.7890319824219
608,608,2021-07-06,345.76904296875
609,609,2021-07-07,343.7217712402344
610,610,2021-07-08,335.5603332519531
611,611,2021-07-09,347.5452880859375
612,612,2021-07-12,355.7160339355469
613,613,2021-07-13,351.4904479980469
614,614,2021-07-14,350.0133056640625
615,615,2021-07-15,349.0317077636719
616,616,2021-07-16,341.0386657714844
617,617,2021-07-19,331.6152038574219
618,618,2021-07-20,341.00128173828125
619,619,2021-07-21,349.1719665527344
620,620,2021-07-22,348.4333801269531
621,621,2021-07-23,349.6861572265625
622,622,2021-07-26,351.4156188964844
623,623,2021-07-27,350.4246520996094
624,624,2021-07-28,349.8544311523437
625,625,2021-07-29,352.9581298828125
626,626,2021-07-30,350.4620361328125
627,627,2021-08-02,353.5565185546875
628,628,2021-08-03,355.58514404296875
629,629,2021-08-04,353.2479858398437
630,630,2021-08-05,359.2684631347656
631,631,2021-08-06,371.9733276367188
632,632,2021-08-09,373.8336486816406
633,633,2021-08-10,381.396728515625
634,634,2021-08-11,386.93115234375
635,635,2021-08-12,387.96881103515625
636,636,2021-08-13,384.0237426757813
637,637,2021-08-16,381.751953125
638,638,2021-08-17,378.5921630859375
639,639,2021-08-18,372.8240356445313
640,640,2021-08-19,367.9346618652344
641,641,2021-08-20,370.0848388671875
642,642,2021-08-23,375.3013916015625
643,643,2021-08-24,381.9483337402344
644,644,2021-08-25,386.2113342285156
645,645,2021-08-26,385.5475769042969
646,646,2021-08-27,392.3533935546875
647,647,2021-08-30,386.6600646972656
648,648,2021-08-31,388.4543151855469
649,649,2021-09-01,388.59521484375
650,650,2021-09-02,389.3843688964844
651,651,2021-09-03,386.3876037597656
652,652,2021-09-07,385.4576110839844
653,653,2021-09-08,380.4599914550781
654,654,2021-09-09,380.06536865234375
655,655,2021-09-10,379.0321044921875
656,656,2021-09-13,384.4618225097656
657,657,2021-09-14,379.2293090820313
658,658,2021-09-15,377.59478759765625
659,659,2021-09-16,372.6441040039063
660,660,2021-09-17,367.7403564453125
661,661,2021-09-20,355.2181091308594
662,662,2021-09-21,353.0668334960937
663,663,2021-09-22,362.11334228515625
664,664,2021-09-23,368.11614990234375
665,665,2021-09-24,367.1673889160156
666,666,2021-09-27,375.5844421386719
667,667,2021-09-28,365.899169921875
668,668,2021-09-29,361.5685119628906
669,669,2021-09-30,355.1241149902344
670,670,2021-10-01,356.97479248046875
671,671,2021-10-04,351.4792175292969
672,672,2021-10-05,362.4327087402344
673,673,2021-10-06,364.5369567871094
674,674,2021-10-07,366.9512939453125
675,675,2021-10-08,369.0085754394531
676,676,2021-10-11,361.8972473144531
677,677,2021-10-12,363.1090698242188
678,678,2021-10-13,362.90240478515625
679,679,2021-10-14,367.49609375
680,680,2021-10-15,381.465087890625
681,681,2021-10-18,388.6233520507813
682,682,2021-10-19,387.1860961914063
683,683,2021-10-20,383.17486572265625
684,684,2021-10-21,382.8929748535156
685,685,2021-10-22,389.2152404785156
686,686,2021-10-25,389.61920166015625
687,687,2021-10-26,392.3058471679688
688,688,2021-10-27,386.08697509765625
689,689,2021-10-28,389.6849365234375
690,690,2021-10-29,388.3040161132813
691,691,2021-11-01,391.4510192871094
