,Unnamed: 0.1,Unnamed: 0,Date,TFX,TFX_6m,TFX_12m
128,128,128,2019-08-08,358.91357421875,332.8164367675781,334.5503845214844
129,129,129,2019-08-09,364.076171875,354.2015380859375,339.0272521972656
130,130,130,2019-08-12,358.2572021484375,353.986083984375,339.0664367675781
131,131,131,2019-08-13,363.0573425292969,343.4551696777344,340.0852355957031
132,132,132,2019-08-14,357.8998413085937,355.2987670898437,343.61187744140625
133,133,133,2019-08-15,361.2826843261719,350.51824951171875,340.00689697265625
134,134,134,2019-08-16,362.6063537597656,358.91357421875,332.8164367675781
135,135,135,2019-08-19,362.6357727050781,364.076171875,354.2015380859375
136,136,136,2019-08-20,360.6942443847656,358.2572021484375,353.986083984375
137,137,137,2019-08-21,360.6158142089844,363.0573425292969,343.4551696777344
138,138,138,2019-08-22,359.0274353027344,357.8998413085937,355.2987670898437
139,139,139,2019-08-23,350.9676208496094,361.2826843261719,350.51824951171875
140,140,140,2019-08-26,353.203125,362.6063537597656,358.91357421875
141,141,141,2019-08-27,352.9775695800781,362.6357727050781,364.076171875
142,142,142,2019-08-28,352.6246337890625,360.6942443847656,358.2572021484375
143,143,143,2019-08-29,356.2722473144531,360.6158142089844,363.0573425292969
144,144,144,2019-08-30,356.8310546875,359.0274353027344,357.8998413085937
145,145,145,2019-09-03,354.0855712890625,350.9676208496094,361.2826843261719
146,146,146,2019-09-04,348.8497009277344,353.203125,362.6063537597656
147,147,147,2019-09-05,349.5360107421875,352.9775695800781,362.6357727050781
148,148,148,2019-09-06,349.2320556640625,352.6246337890625,360.6942443847656
149,149,149,2019-09-09,334.6810913085937,356.2722473144531,360.6158142089844
150,150,150,2019-09-10,332.27880859375,356.8310546875,359.0274353027344
151,151,151,2019-09-11,332.1709289550781,354.0855712890625,350.9676208496094
152,152,152,2019-09-12,331.20025634765625,348.8497009277344,353.203125
153,153,153,2019-09-13,324.6994323730469,349.5360107421875,352.9775695800781
154,154,154,2019-09-16,322.71875,349.2320556640625,352.6246337890625
155,155,155,2019-09-17,332.0435485839844,334.6810913085937,356.2722473144531
156,156,156,2019-09-18,334.1908569335937,332.27880859375,356.8310546875
157,157,157,2019-09-19,335.0438842773437,332.1709289550781,354.0855712890625
158,158,158,2019-09-20,337.1029357910156,331.20025634765625,348.8497009277344
159,159,159,2019-09-23,340.9858703613281,324.6994323730469,349.5360107421875
160,160,160,2019-09-24,336.9363098144531,322.71875,349.2320556640625
161,161,161,2019-09-25,336.0635986328125,332.0435485839844,334.6810913085937
162,162,162,2019-09-26,333.3770446777344,334.1908569335937,332.27880859375
163,163,163,2019-09-27,329.0823669433594,335.0438842773437,332.1709289550781
164,164,164,2019-09-30,333.1318359375,337.1029357910156,331.20025634765625
165,165,165,2019-10-01,325.072021484375,340.9858703613281,324.6994323730469
166,166,166,2019-10-02,318.96337890625,336.9363098144531,322.71875
167,167,167,2019-10-03,325.915283203125,336.0635986328125,332.0435485839844
168,168,168,2019-10-04,323.65020751953125,333.3770446777344,334.1908569335937
169,169,169,2019-10-07,322.042236328125,329.0823669433594,335.0438842773437
170,170,170,2019-10-08,310.57989501953125,333.1318359375,337.1029357910156
171,171,171,2019-10-09,312.0310974121094,325.072021484375,340.9858703613281
172,172,172,2019-10-10,310.9231262207031,318.96337890625,336.9363098144531
173,173,173,2019-10-11,315.81591796875,325.915283203125,336.0635986328125
174,174,174,2019-10-14,318.4143371582031,323.65020751953125,333.3770446777344
175,175,175,2019-10-15,322.1500244140625,322.042236328125,329.0823669433594
176,176,176,2019-10-16,316.99249267578125,310.57989501953125,333.1318359375
177,177,177,2019-10-17,321.65008544921875,312.0310974121094,325.072021484375
178,178,178,2019-10-18,321.91473388671875,310.9231262207031,318.96337890625
179,179,179,2019-10-21,323.9542541503906,315.81591796875,325.915283203125
180,180,180,2019-10-22,316.1395263671875,318.4143371582031,323.65020751953125
181,181,181,2019-10-23,315.404052734375,322.1500244140625,322.042236328125
182,182,182,2019-10-24,314.41375732421875,316.99249267578125,310.57989501953125
183,183,183,2019-10-25,315.6100158691406,321.65008544921875,312.0310974121094
184,184,184,2019-10-28,320.963623046875,321.91473388671875,310.9231262207031
185,185,185,2019-10-29,322.0128479003906,323.9542541503906,315.81591796875
186,186,186,2019-10-30,323.4149475097656,316.1395263671875,318.4143371582031
187,187,187,2019-10-31,340.6427001953125,315.404052734375,322.1500244140625
188,188,188,2019-11-01,339.2601318359375,314.41375732421875,316.99249267578125
189,189,189,2019-11-04,341.8487548828125,315.6100158691406,321.65008544921875
190,190,190,2019-11-05,329.6706237792969,320.963623046875,321.91473388671875
191,191,191,2019-11-06,328.4254150390625,322.0128479003906,323.9542541503906
192,192,192,2019-11-07,329.0038757324219,323.4149475097656,316.1395263671875
193,193,193,2019-11-08,324.7287902832031,340.6427001953125,315.404052734375
194,194,194,2019-11-11,320.52252197265625,339.2601318359375,314.41375732421875
195,195,195,2019-11-12,325.4739990234375,341.8487548828125,315.6100158691406
196,196,196,2019-11-13,329.4744873046875,329.6706237792969,320.963623046875
197,197,197,2019-11-14,336.0506591796875,328.4254150390625,322.0128479003906
198,198,198,2019-11-15,340.477294921875,329.0038757324219,323.4149475097656
199,199,199,2019-11-18,338.30816650390625,324.7287902832031,340.6427001953125
200,200,200,2019-11-19,347.2889709472656,320.52252197265625,339.2601318359375
201,201,201,2019-11-20,346.44488525390625,325.4739990234375,341.8487548828125
202,202,202,2019-11-21,344.49169921875,329.4744873046875,329.6706237792969
203,203,203,2019-11-22,340.3497314453125,336.0506591796875,328.4254150390625
204,204,204,2019-11-25,341.92010498046875,340.477294921875,329.0038757324219
205,205,205,2019-11-26,343.63775634765625,338.30816650390625,324.7287902832031
206,206,206,2019-11-27,347.0338439941406,347.2889709472656,320.52252197265625
207,207,207,2019-11-29,346.8080749511719,346.44488525390625,325.4739990234375
208,208,208,2019-12-02,345.1395263671875,344.49169921875,329.4744873046875
209,209,209,2019-12-03,345.94439697265625,340.3497314453125,336.0506591796875
210,210,210,2019-12-04,347.0730895996094,341.92010498046875,340.477294921875
211,211,211,2019-12-05,351.6370849609375,343.63775634765625,338.30816650390625
212,212,212,2019-12-06,361.2068786621094,347.0338439941406,347.2889709472656
213,213,213,2019-12-09,350.4102478027344,346.8080749511719,346.44488525390625
214,214,214,2019-12-10,347.3773803710937,345.1395263671875,344.49169921875
215,215,215,2019-12-11,348.2214660644531,345.94439697265625,340.3497314453125
216,216,216,2019-12-12,349.8606262207031,347.0730895996094,341.92010498046875
217,217,217,2019-12-13,353.22723388671875,351.6370849609375,343.63775634765625
218,218,218,2019-12-16,357.5556640625,361.2068786621094,347.0338439941406
219,219,219,2019-12-17,360.4412841796875,350.4102478027344,346.8080749511719
220,220,220,2019-12-18,363.915771484375,347.3773803710937,345.1395263671875
221,221,221,2019-12-19,366.5070190429688,348.2214660644531,345.94439697265625
222,222,222,2019-12-20,365.927978515625,349.8606262207031,347.0730895996094
223,223,223,2019-12-23,367.3903503417969,353.22723388671875,351.6370849609375
224,224,224,2019-12-24,367.0665283203125,357.5556640625,361.2068786621094
225,225,225,2019-12-26,365.8788146972656,360.4412841796875,350.4102478027344
226,226,226,2019-12-27,365.1034851074219,363.915771484375,347.3773803710937
227,227,227,2019-12-30,364.5243835449219,366.5070190429688,348.2214660644531
228,228,228,2019-12-31,369.4810180664063,365.927978515625,349.8606262207031
229,229,229,2020-01-02,371.4930725097656,367.3903503417969,353.22723388671875
230,230,230,2020-01-03,367.6947326660156,367.0665283203125,357.5556640625
