,Unnamed: 0.1,Unnamed: 0,Date,CBOE,CBOE_6m,CBOE_12m
348,348,348,2020-06-23,95.76000213623048,101.0999984741211,97.83999633789062
349,349,349,2020-06-24,93.76000213623048,101.4499969482422,103.43000030517578
350,350,350,2020-06-25,95.08999633789062,101.04000091552734,103.0500030517578
351,351,351,2020-06-26,91.51000213623048,100.25,101.37000274658205
352,352,352,2020-06-29,92.80999755859376,98.75,97.0
353,353,353,2020-06-30,93.27999877929688,100.0500030517578,99.9000015258789
354,354,354,2020-07-01,96.45999908447266,95.76000213623048,101.0999984741211
355,355,355,2020-07-02,95.08999633789062,93.76000213623048,101.4499969482422
356,356,356,2020-07-06,95.0,95.08999633789062,101.04000091552734
357,357,357,2020-07-07,93.70999908447266,91.51000213623048,100.25
358,358,358,2020-07-08,93.01000213623048,92.80999755859376,98.75
359,359,359,2020-07-09,90.19000244140624,93.27999877929688,100.0500030517578
360,360,360,2020-07-10,91.5500030517578,96.45999908447266,95.76000213623048
361,361,361,2020-07-13,91.48999786376952,95.08999633789062,93.76000213623048
362,362,362,2020-07-14,90.61000061035156,95.0,95.08999633789062
363,363,363,2020-07-15,94.04000091552734,93.70999908447266,91.51000213623048
364,364,364,2020-07-16,92.91000366210938,93.01000213623048,92.80999755859376
365,365,365,2020-07-17,92.66000366210938,90.19000244140624,93.27999877929688
366,366,366,2020-07-20,93.31999969482422,91.5500030517578,96.45999908447266
367,367,367,2020-07-21,93.12000274658205,91.48999786376952,95.08999633789062
368,368,368,2020-07-22,91.6500015258789,90.61000061035156,95.0
369,369,369,2020-07-23,91.20999908447266,94.04000091552734,93.70999908447266
370,370,370,2020-07-24,89.45999908447266,92.91000366210938,93.01000213623048
371,371,371,2020-07-27,87.33000183105469,92.66000366210938,90.19000244140624
372,372,372,2020-07-28,87.43000030517578,93.31999969482422,91.5500030517578
373,373,373,2020-07-29,89.13999938964844,93.12000274658205,91.48999786376952
374,374,374,2020-07-30,86.88999938964844,91.6500015258789,90.61000061035156
375,375,375,2020-07-31,87.69999694824219,91.20999908447266,94.04000091552734
376,376,376,2020-08-03,86.33000183105469,89.45999908447266,92.91000366210938
377,377,377,2020-08-04,85.58000183105469,87.33000183105469,92.66000366210938
378,378,378,2020-08-05,86.66999816894531,87.43000030517578,93.31999969482422
379,379,379,2020-08-06,85.0,89.13999938964844,93.12000274658205
380,380,380,2020-08-07,88.05999755859375,86.88999938964844,91.6500015258789
381,381,381,2020-08-10,85.54000091552734,87.69999694824219,91.20999908447266
382,382,382,2020-08-11,88.81999969482422,86.33000183105469,89.45999908447266
383,383,383,2020-08-12,86.81999969482422,85.58000183105469,87.33000183105469
384,384,384,2020-08-13,86.23999786376953,86.66999816894531,87.43000030517578
