,Unnamed: 0.1,Unnamed: 0,Date,UDR,UDR_6m,UDR_12m
695,695,695,2021-11-05,50.41326904296875,51.74694442749024,50.33048629760742
696,696,696,2021-11-08,50.47764587402344,51.07550811767578,50.39487075805664
697,697,697,2021-11-09,50.790374755859375,50.61561584472656,50.57882690429688
698,698,698,2021-11-10,51.00192642211914,50.771968841552734,50.28449630737305
699,699,699,2021-11-11,51.38822937011719,50.74437713623047,50.71678924560547
700,700,700,2021-11-12,51.415828704833984,49.80620956420898,51.00192642211914
701,701,701,2021-11-15,52.37239456176758,50.41326904296875,51.74694442749024
702,702,702,2021-11-16,51.62737655639648,50.47764587402344,51.07550811767578
703,703,703,2021-11-17,51.80213165283203,50.790374755859375,50.61561584472656
704,704,704,2021-11-18,52.1424560546875,51.00192642211914,50.771968841552734
705,705,705,2021-11-19,51.645774841308594,51.38822937011719,50.74437713623047
706,706,706,2021-11-22,51.16748428344727,51.415828704833984,49.80620956420898
707,707,707,2021-11-23,52.16084671020508,52.37239456176758,50.41326904296875
708,708,708,2021-11-24,53.06224060058594,51.62737655639648,50.47764587402344
709,709,709,2021-11-26,51.22267150878906,51.80213165283203,50.790374755859375
710,710,710,2021-11-29,52.8598861694336,52.1424560546875,51.00192642211914
711,711,711,2021-11-30,52.17924118041992,51.645774841308594,51.38822937011719
712,712,712,2021-12-01,50.20171356201172,51.16748428344727,51.415828704833984
713,713,713,2021-12-02,52.10565948486328,52.16084671020508,52.37239456176758
714,714,714,2021-12-03,51.94929885864258,53.06224060058594,51.62737655639648
715,715,715,2021-12-06,52.8598861694336,51.22267150878906,51.80213165283203
716,716,716,2021-12-07,54.24875259399414,52.8598861694336,52.1424560546875
717,717,717,2021-12-08,54.34993362426758,52.17924118041992,51.645774841308594
718,718,718,2021-12-09,53.63250350952149,50.20171356201172,51.16748428344727
719,719,719,2021-12-10,53.69688034057617,52.10565948486328,52.16084671020508
720,720,720,2021-12-13,54.58907699584961,51.94929885864258,53.06224060058594
721,721,721,2021-12-14,53.89004135131836,52.8598861694336,51.22267150878906
722,722,722,2021-12-15,54.8374137878418,54.24875259399414,52.8598861694336
723,723,723,2021-12-16,53.98201370239258,54.34993362426758,52.17924118041992
724,724,724,2021-12-17,53.310577392578125,53.63250350952149,50.20171356201172
725,725,725,2021-12-20,53.06224060058594,53.69688034057617,52.10565948486328
726,726,726,2021-12-21,53.54971694946289,54.58907699584961,51.94929885864258
727,727,727,2021-12-22,54.092384338378906,53.89004135131836,52.8598861694336
728,728,728,2021-12-23,53.97282028198242,54.8374137878418,54.24875259399414
729,729,729,2021-12-27,54.66265869140625,53.98201370239258,54.34993362426758
730,730,730,2021-12-28,54.67185592651367,53.310577392578125,53.63250350952149
731,731,731,2021-12-29,55.0213737487793,53.06224060058594,53.69688034057617
732,732,732,2021-12-30,55.07656097412109,53.54971694946289,54.58907699584961
733,733,733,2021-12-31,55.17773818969727,54.092384338378906,53.89004135131836
734,734,734,2022-01-03,55.09495544433594,53.97282028198242,54.8374137878418
735,735,735,2022-01-04,55.91355895996094,54.66265869140625,53.98201370239258
736,736,736,2022-01-05,54.46030044555664,54.67185592651367,53.310577392578125
737,737,737,2022-01-06,54.47869491577149,55.0213737487793,53.06224060058594
738,738,738,2022-01-07,53.87067031860352,55.07656097412109,53.54971694946289
739,739,739,2022-01-10,53.68558883666992,55.17773818969727,54.092384338378906
740,740,740,2022-01-11,53.89844131469727,55.09495544433594,53.97282028198242
741,741,741,2022-01-12,54.518497467041016,55.91355895996094,54.66265869140625
742,742,742,2022-01-13,54.58327865600586,54.46030044555664,54.67185592651367
743,743,743,2022-01-14,54.21310424804688,54.47869491577149,55.0213737487793
744,744,744,2022-01-18,54.06502151489258,53.87067031860352,55.07656097412109
745,745,745,2022-01-19,53.17658615112305,53.68558883666992,55.17773818969727
746,746,746,2022-01-20,52.4639892578125,53.89844131469727,55.09495544433594
747,747,747,2022-01-21,52.13082885742188,54.518497467041016,55.91355895996094
748,748,748,2022-01-24,52.00126266479492,54.58327865600586,54.46030044555664
749,749,749,2022-01-25,51.82542419433594,54.21310424804688,54.47869491577149
750,750,750,2022-01-26,51.53853225708008,54.06502151489258,53.87067031860352
751,751,751,2022-01-27,50.539039611816406,53.17658615112305,53.68558883666992
752,752,752,2022-01-28,52.19560623168945,52.4639892578125,53.89844131469727
753,753,753,2022-01-31,52.602806091308594,52.13082885742188,54.518497467041016
754,754,754,2022-02-01,52.14933395385742,52.00126266479492,54.58327865600586
755,755,755,2022-02-02,53.63932037353516,51.82542419433594,54.21310424804688
756,756,756,2022-02-03,53.24135971069336,51.53853225708008,54.06502151489258
757,757,757,2022-02-04,52.75087738037109,50.539039611816406,53.17658615112305
758,758,758,2022-02-07,52.12156295776367,52.19560623168945,52.4639892578125
759,759,759,2022-02-08,51.54779052734375,52.602806091308594,52.13082885742188
760,760,760,2022-02-09,52.7601318359375,52.14933395385742,52.00126266479492
761,761,761,2022-02-10,50.99251174926758,53.63932037353516,51.82542419433594
762,762,762,2022-02-11,51.140586853027344,53.24135971069336,51.53853225708008
763,763,763,2022-02-14,50.539039611816406,52.75087738037109,50.539039611816406
764,764,764,2022-02-15,50.6778564453125,52.12156295776367,52.19560623168945
765,765,765,2022-02-16,50.96475601196289,51.54779052734375,52.602806091308594
766,766,766,2022-02-17,50.18737411499024,52.7601318359375,52.14933395385742
767,767,767,2022-02-18,50.196624755859375,50.99251174926758,53.63932037353516
768,768,768,2022-02-22,50.51128005981445,51.140586853027344,53.24135971069336
769,769,769,2022-02-23,49.835693359375,50.539039611816406,52.75087738037109
770,770,770,2022-02-24,50.27066421508789,50.6778564453125,52.12156295776367
771,771,771,2022-02-25,51.8624382019043,50.96475601196289,51.54779052734375
772,772,772,2022-02-28,50.77965927124024,50.18737411499024,52.7601318359375
773,773,773,2022-03-01,50.26140213012695,50.196624755859375,50.99251174926758
774,774,774,2022-03-02,51.631080627441406,50.51128005981445,51.140586853027344
775,775,775,2022-03-03,52.08455276489258,49.835693359375,50.539039611816406
776,776,776,2022-03-04,53.722599029541016,50.27066421508789,50.6778564453125
777,777,777,2022-03-07,53.30615234375,51.8624382019043,50.96475601196289
778,778,778,2022-03-08,52.362186431884766,50.77965927124024,50.18737411499024
779,779,779,2022-03-09,53.00074768066406,50.26140213012695,50.196624755859375
780,780,780,2022-03-10,53.02851486206055,51.631080627441406,50.51128005981445
781,781,781,2022-03-11,52.41771697998047,52.08455276489258,49.835693359375
782,782,782,2022-03-14,51.84393310546875,53.722599029541016,50.27066421508789
783,783,783,2022-03-15,52.65833282470703,53.30615234375,51.8624382019043
784,784,784,2022-03-16,52.75087738037109,52.362186431884766,50.77965927124024
785,785,785,2022-03-17,53.18584442138672,53.00074768066406,50.26140213012695
786,786,786,2022-03-18,52.9544792175293,53.02851486206055,51.631080627441406
787,787,787,2022-03-21,52.53802490234375,52.41771697998047,52.08455276489258
788,788,788,2022-03-22,52.056785583496094,51.84393310546875,53.722599029541016
789,789,789,2022-03-23,51.60331344604492,52.65833282470703,53.30615234375
790,790,790,2022-03-24,52.34367752075195,52.75087738037109,52.362186431884766
791,791,791,2022-03-25,53.12105941772461,53.18584442138672,53.00074768066406
792,792,792,2022-03-28,53.389442443847656,52.9544792175293,53.02851486206055
793,793,793,2022-03-29,55.08302307128906,52.53802490234375,52.41771697998047
794,794,794,2022-03-30,53.69483947753906,52.056785583496094,51.84393310546875
795,795,795,2022-03-31,53.093299865722656,51.60331344604492,52.65833282470703
796,796,796,2022-04-01,54.58327865600586,52.34367752075195,52.75087738037109
797,797,797,2022-04-04,53.73186111450195,53.12105941772461,53.18584442138672
798,798,798,2022-04-05,53.824405670166016,53.389442443847656,52.9544792175293
799,799,799,2022-04-06,55.12929153442383,55.08302307128906,52.53802490234375
800,800,800,2022-04-07,54.71283721923828,53.69483947753906,52.056785583496094
801,801,801,2022-04-08,54.71284103393555,53.093299865722656,51.60331344604492
802,802,802,2022-04-11,53.55785369873047,54.58327865600586,52.34367752075195
803,803,803,2022-04-12,53.70688629150391,53.73186111450195,53.12105941772461
804,804,804,2022-04-13,53.74414443969727,53.824405670166016,53.389442443847656
805,805,805,2022-04-14,53.63236999511719,55.12929153442383,55.08302307128906
806,806,806,2022-04-18,53.21322250366211,54.71283721923828,53.69483947753906
807,807,807,2022-04-19,54.0235710144043,54.71284103393555,53.093299865722656
808,808,808,2022-04-20,55.01090240478516,53.55785369873047,54.58327865600586
809,809,809,2022-04-21,55.37416076660156,53.70688629150391,53.73186111450195
810,810,810,2022-04-22,54.25643539428711,53.74414443969727,53.824405670166016
811,811,811,2022-04-25,53.8372802734375,53.63236999511719,55.12929153442383
812,812,812,2022-04-26,52.92446899414063,53.21322250366211,54.71283721923828
813,813,813,2022-04-27,52.12343597412109,54.0235710144043,54.71284103393555
814,814,814,2022-04-28,52.32835006713867,55.01090240478516,53.55785369873047
815,815,815,2022-04-29,49.561973571777344,55.37416076660156,53.70688629150391
816,816,816,2022-05-02,48.21138000488281,54.25643539428711,53.74414443969727
817,817,817,2022-05-03,48.27658462524414,53.8372802734375,53.63236999511719
818,818,818,2022-05-04,48.490814208984375,52.92446899414063,53.21322250366211
819,819,819,2022-05-05,47.14022445678711,52.12343597412109,54.0235710144043
820,820,820,2022-05-06,46.61861801147461,52.32835006713867,55.01090240478516
821,821,821,2022-05-09,44.42041778564453,49.561973571777344,55.37416076660156
822,822,822,2022-05-10,43.34925842285156,48.21138000488281,54.25643539428711
823,823,823,2022-05-11,44.18754959106445,48.27658462524414,53.8372802734375
824,824,824,2022-05-12,44.65327453613281,48.490814208984375,52.92446899414063
825,825,825,2022-05-13,45.43568420410156,47.14022445678711,52.12343597412109
