,Unnamed: 0.1,Unnamed: 0,Date,LYV,LYV_6m,LYV_12m
205,205,205,2019-11-26,69.6500015258789,66.87999725341797,63.15999984741211
206,206,206,2019-11-27,70.47000122070312,68.22000122070312,64.47000122070312
207,207,207,2019-11-29,69.80999755859375,67.70999908447266,64.73999786376953
208,208,208,2019-12-02,69.01000213623047,66.16000366210938,64.61000061035156
209,209,209,2019-12-03,69.16000366210938,67.58999633789062,64.97000122070312
210,210,210,2019-12-04,69.4800033569336,69.02999877929688,65.4000015258789
211,211,211,2019-12-05,70.12999725341797,69.6500015258789,66.87999725341797
212,212,212,2019-12-06,70.4800033569336,70.47000122070312,68.22000122070312
213,213,213,2019-12-09,69.05000305175781,69.80999755859375,67.70999908447266
214,214,214,2019-12-10,69.5999984741211,69.01000213623047,66.16000366210938
215,215,215,2019-12-11,69.44000244140625,69.16000366210938,67.58999633789062
216,216,216,2019-12-12,69.43000030517578,69.4800033569336,69.02999877929688
217,217,217,2019-12-13,64.33999633789062,70.12999725341797,69.6500015258789
218,218,218,2019-12-16,63.560001373291016,70.4800033569336,70.47000122070312
219,219,219,2019-12-17,62.90999984741211,69.05000305175781,69.80999755859375
220,220,220,2019-12-18,63.95000076293945,69.5999984741211,69.01000213623047
221,221,221,2019-12-19,69.83000183105469,69.44000244140625,69.16000366210938
222,222,222,2019-12-20,71.55000305175781,69.43000030517578,69.4800033569336
223,223,223,2019-12-23,70.44000244140625,64.33999633789062,70.12999725341797
224,224,224,2019-12-24,70.61000061035156,63.560001373291016,70.4800033569336
225,225,225,2019-12-26,71.54000091552734,62.90999984741211,69.05000305175781
226,226,226,2019-12-27,71.6500015258789,63.95000076293945,69.5999984741211
227,227,227,2019-12-30,71.20999908447266,69.83000183105469,69.44000244140625
228,228,228,2019-12-31,71.47000122070312,71.55000305175781,69.43000030517578
229,229,229,2020-01-02,71.88999938964844,70.44000244140625,64.33999633789062
230,230,230,2020-01-03,71.63999938964844,70.61000061035156,63.560001373291016
231,231,231,2020-01-06,71.73999786376953,71.54000091552734,62.90999984741211
232,232,232,2020-01-07,70.91000366210938,71.6500015258789,63.95000076293945
233,233,233,2020-01-08,71.69000244140625,71.20999908447266,69.83000183105469
234,234,234,2020-01-09,71.9800033569336,71.47000122070312,71.55000305175781
235,235,235,2020-01-10,71.27999877929688,71.88999938964844,70.44000244140625
236,236,236,2020-01-13,72.36000061035156,71.63999938964844,70.61000061035156
237,237,237,2020-01-14,72.54000091552734,71.73999786376953,71.54000091552734
238,238,238,2020-01-15,74.19999694824219,70.91000366210938,71.6500015258789
239,239,239,2020-01-16,74.66000366210938,71.69000244140625,71.20999908447266
240,240,240,2020-01-17,75.54000091552734,71.9800033569336,71.47000122070312
241,241,241,2020-01-21,74.91000366210938,71.27999877929688,71.88999938964844
242,242,242,2020-01-22,74.6500015258789,72.36000061035156,71.63999938964844
243,243,243,2020-01-23,74.3499984741211,72.54000091552734,71.73999786376953
244,244,244,2020-01-24,72.0199966430664,74.19999694824219,70.91000366210938
245,245,245,2020-01-27,70.9000015258789,74.66000366210938,71.69000244140625
246,246,246,2020-01-28,72.01000213623047,75.54000091552734,71.9800033569336
247,247,247,2020-01-29,70.56999969482422,74.91000366210938,71.27999877929688
248,248,248,2020-01-30,70.6500015258789,74.6500015258789,72.36000061035156
249,249,249,2020-01-31,68.16000366210938,74.3499984741211,72.54000091552734
250,250,250,2020-02-03,68.5999984741211,72.0199966430664,74.19999694824219
251,251,251,2020-02-04,70.98999786376953,70.9000015258789,74.66000366210938
252,252,252,2020-02-05,70.80999755859375,72.01000213623047,75.54000091552734
253,253,253,2020-02-06,72.25,70.56999969482422,74.91000366210938
254,254,254,2020-02-07,72.19000244140625,70.6500015258789,74.6500015258789
255,255,255,2020-02-10,72.88999938964844,68.16000366210938,74.3499984741211
256,256,256,2020-02-11,73.11000061035156,68.5999984741211,72.0199966430664
257,257,257,2020-02-12,74.0999984741211,70.98999786376953,70.9000015258789
258,258,258,2020-02-13,73.1500015258789,70.80999755859375,72.01000213623047
259,259,259,2020-02-14,74.0199966430664,72.25,70.56999969482422
260,260,260,2020-02-18,74.12999725341797,72.19000244140625,70.6500015258789
261,261,261,2020-02-19,76.08000183105469,72.88999938964844,68.16000366210938
262,262,262,2020-02-20,75.66000366210938,73.11000061035156,68.5999984741211
263,263,263,2020-02-21,74.19000244140625,74.0999984741211,70.98999786376953
264,264,264,2020-02-24,68.26000213623047,73.1500015258789,70.80999755859375
265,265,265,2020-02-25,62.790000915527344,74.0199966430664,72.25
266,266,266,2020-02-26,60.7599983215332,74.12999725341797,72.19000244140625
267,267,267,2020-02-27,57.75,76.08000183105469,72.88999938964844
268,268,268,2020-02-28,60.77000045776367,75.66000366210938,73.11000061035156
269,269,269,2020-03-02,57.959999084472656,74.19000244140625,74.0999984741211
270,270,270,2020-03-03,57.61000061035156,68.26000213623047,73.1500015258789
271,271,271,2020-03-04,59.77000045776367,62.790000915527344,74.0199966430664
272,272,272,2020-03-05,55.45000076293945,60.7599983215332,74.12999725341797
273,273,273,2020-03-06,53.0,57.75,76.08000183105469
274,274,274,2020-03-09,47.2599983215332,60.77000045776367,75.66000366210938
275,275,275,2020-03-10,50.36000061035156,57.959999084472656,74.19000244140625
276,276,276,2020-03-11,42.0099983215332,57.61000061035156,68.26000213623047
277,277,277,2020-03-12,36.20000076293945,59.77000045776367,62.790000915527344
278,278,278,2020-03-13,42.84999847412109,55.45000076293945,60.7599983215332
279,279,279,2020-03-16,36.310001373291016,53.0,57.75
280,280,280,2020-03-17,33.91999816894531,47.2599983215332,60.77000045776367
281,281,281,2020-03-18,29.5,50.36000061035156,57.959999084472656
282,282,282,2020-03-19,32.91999816894531,42.0099983215332,57.61000061035156
283,283,283,2020-03-20,33.970001220703125,36.20000076293945,59.77000045776367
284,284,284,2020-03-23,37.33000183105469,42.84999847412109,55.45000076293945
285,285,285,2020-03-24,42.93999862670898,36.310001373291016,53.0
286,286,286,2020-03-25,45.900001525878906,33.91999816894531,47.2599983215332
287,287,287,2020-03-26,45.93999862670898,29.5,50.36000061035156
288,288,288,2020-03-27,47.150001525878906,32.91999816894531,42.0099983215332
289,289,289,2020-03-30,45.22999954223633,33.970001220703125,36.20000076293945
290,290,290,2020-03-31,45.459999084472656,37.33000183105469,42.84999847412109
291,291,291,2020-04-01,38.880001068115234,42.93999862670898,36.310001373291016
292,292,292,2020-04-02,33.95000076293945,45.900001525878906,33.91999816894531
293,293,293,2020-04-03,33.56999969482422,45.93999862670898,29.5
294,294,294,2020-04-06,34.5099983215332,47.150001525878906,32.91999816894531
295,295,295,2020-04-07,37.84999847412109,45.22999954223633,33.970001220703125
296,296,296,2020-04-08,37.7599983215332,45.459999084472656,37.33000183105469
297,297,297,2020-04-09,38.27000045776367,38.880001068115234,42.93999862670898
298,298,298,2020-04-13,39.40999984741211,33.95000076293945,45.900001525878906
299,299,299,2020-04-14,41.959999084472656,33.56999969482422,45.93999862670898
300,300,300,2020-04-15,38.470001220703125,34.5099983215332,47.150001525878906
301,301,301,2020-04-16,36.400001525878906,37.84999847412109,45.22999954223633
302,302,302,2020-04-17,38.34999847412109,37.7599983215332,45.459999084472656
303,303,303,2020-04-20,36.65999984741211,38.27000045776367,38.880001068115234
304,304,304,2020-04-21,36.470001220703125,39.40999984741211,33.95000076293945
305,305,305,2020-04-22,36.34999847412109,41.959999084472656,33.56999969482422
306,306,306,2020-04-23,39.45000076293945,38.470001220703125,34.5099983215332
307,307,307,2020-04-24,38.2400016784668,36.400001525878906,37.84999847412109
308,308,308,2020-04-27,42.0099983215332,38.34999847412109,37.7599983215332
309,309,309,2020-04-28,43.63999938964844,36.65999984741211,38.27000045776367
310,310,310,2020-04-29,46.52999877929688,36.470001220703125,39.40999984741211
311,311,311,2020-04-30,44.869998931884766,36.34999847412109,41.959999084472656
312,312,312,2020-05-01,41.16999816894531,39.45000076293945,38.470001220703125
313,313,313,2020-05-04,41.83000183105469,38.2400016784668,36.400001525878906
314,314,314,2020-05-05,40.25,42.0099983215332,38.34999847412109
315,315,315,2020-05-06,38.4900016784668,43.63999938964844,36.65999984741211
316,316,316,2020-05-07,39.369998931884766,46.52999877929688,36.470001220703125
317,317,317,2020-05-08,41.959999084472656,44.869998931884766,36.34999847412109
318,318,318,2020-05-11,40.59000015258789,41.16999816894531,39.45000076293945
