,Unnamed: 0,Date,ROST
473,473,2020-12-18,113.62257385253906
474,474,2020-12-21,112.7824478149414
475,475,2020-12-22,112.7341537475586
476,476,2020-12-23,114.08612060546876
477,477,2020-12-24,113.9702377319336
478,478,2020-12-28,118.41238403320312
479,479,2020-12-29,117.29218292236328
480,480,2020-12-30,118.28684997558594
481,481,2020-12-31,118.59587097167967
482,482,2021-01-04,113.05284118652344
483,483,2021-01-05,113.14940643310548
484,484,2021-01-06,118.09371185302734
485,485,2021-01-07,117.83296966552734
486,486,2021-01-08,118.20960235595705
487,487,2021-01-11,116.72244262695312
488,488,2021-01-12,117.0024871826172
489,489,2021-01-13,115.07112121582033
490,490,2021-01-14,113.05284118652344
491,491,2021-01-15,112.9562759399414
492,492,2021-01-19,110.06886291503906
493,493,2021-01-20,111.11180877685548
494,494,2021-01-21,111.43048095703124
495,495,2021-01-22,109.44116973876952
496,496,2021-01-25,109.64395904541016
497,497,2021-01-26,107.82847595214844
498,498,2021-01-27,104.18783569335938
499,499,2021-01-28,109.88538360595705
500,500,2021-01-29,107.47117614746094
501,501,2021-02-01,108.55272674560548
502,502,2021-02-02,112.28992462158205
503,503,2021-02-03,113.6515655517578
504,504,2021-02-04,114.67518615722656
505,505,2021-02-05,114.64622497558594
506,506,2021-02-08,116.5196533203125
507,507,2021-02-09,115.93058013916016
508,508,2021-02-10,116.1526870727539
509,509,2021-02-11,117.6977767944336
510,510,2021-02-12,115.0035171508789
511,511,2021-02-16,115.81471252441406
512,512,2021-02-17,115.37047576904295
513,513,2021-02-18,116.0850830078125
514,514,2021-02-19,114.86831665039062
515,515,2021-02-22,117.33082580566406
516,516,2021-02-23,116.13336944580078
517,517,2021-02-24,119.36842346191406
518,518,2021-02-25,114.69448852539062
519,519,2021-02-26,112.6375961303711
520,520,2021-03-01,116.43273162841795
521,521,2021-03-02,113.60327911376952
522,522,2021-03-03,107.2394027709961
523,523,2021-03-04,108.1761245727539
524,524,2021-03-05,109.2480239868164
525,525,2021-03-08,116.23959350585938
526,526,2021-03-09,120.69140625
527,527,2021-03-10,117.3984146118164
528,528,2021-03-11,116.72244262695312
529,529,2021-03-12,118.41238403320312
530,530,2021-03-15,121.2532730102539
531,531,2021-03-16,119.4335708618164
532,532,2021-03-17,119.71426391601562
533,533,2021-03-18,119.22061157226562
534,534,2021-03-19,117.42024993896484
535,535,2021-03-22,116.79110717773438
536,536,2021-03-23,112.938720703125
537,537,2021-03-24,111.7771987915039
538,538,2021-03-25,115.17464447021484
539,539,2021-03-26,118.43659210205078
540,540,2021-03-29,116.18128967285156
541,541,2021-03-30,116.52008056640624
542,542,2021-03-31,116.06515502929688
543,543,2021-04-01,116.64591979980467
544,544,2021-04-05,119.03671264648438
545,545,2021-04-06,119.54004669189452
546,546,2021-04-07,119.45293426513672
547,547,2021-04-08,123.36338806152344
548,548,2021-04-09,124.1086883544922
549,549,2021-04-12,123.895751953125
550,550,2021-04-13,122.33737182617188
551,551,2021-04-14,122.8019790649414
552,552,2021-04-15,124.93144989013672
553,553,2021-04-16,125.7445068359375
554,554,2021-04-19,123.40208435058594
555,555,2021-04-20,120.9532241821289
556,556,2021-04-21,123.28594207763672
557,557,2021-04-22,123.7408676147461
558,558,2021-04-23,124.689453125
559,559,2021-04-26,123.11172485351562
560,560,2021-04-27,125.02825164794922
561,561,2021-04-28,124.3990707397461
562,562,2021-04-29,126.9737777709961
563,563,2021-04-30,126.7414779663086
564,564,2021-05-03,127.893310546875
565,565,2021-05-04,127.7578125
566,566,2021-05-05,124.59268188476562
567,567,2021-05-06,124.92176055908205
568,568,2021-05-07,128.69668579101562
569,569,2021-05-10,126.7608413696289
570,570,2021-05-11,124.97982025146484
571,571,2021-05-12,120.11111450195312
572,572,2021-05-13,121.70822143554688
573,573,2021-05-14,126.31558990478516
574,574,2021-05-17,124.30227661132812
575,575,2021-05-18,120.80804443359376
576,576,2021-05-19,121.12744903564452
577,577,2021-05-20,118.55274963378906
578,578,2021-05-21,119.29804229736328
