,Unnamed: 0.1,Unnamed: 0,Date,CCI,CCI_6m,CCI_12m
498,498,498,2021-01-27,141.51016235351562,141.07643127441406,136.3588409423828
499,499,499,2021-01-28,139.96119689941406,140.78433227539062,135.4737548828125
500,500,500,2021-01-29,140.9613800048828,141.0321502685547,133.17247009277344
501,501,501,2021-02-01,145.395751953125,140.6604461669922,135.14625549316406
502,502,502,2021-02-02,146.58175659179688,142.40408325195312,136.97840881347656
503,503,503,2021-02-03,144.41326904296875,144.66995239257812,139.18231201171875
504,504,504,2021-02-04,144.38670349121094,141.51016235351562,141.07643127441406
505,505,505,2021-02-05,143.6166534423828,139.96119689941406,140.78433227539062
506,506,506,2021-02-08,142.4129180908203,140.9613800048828,141.0321502685547
507,507,507,2021-02-09,145.1479034423828,145.395751953125,140.6604461669922
508,508,508,2021-02-10,144.34243774414062,146.58175659179688,142.40408325195312
509,509,509,2021-02-11,143.38653564453125,144.41326904296875,144.66995239257812
510,510,510,2021-02-12,145.56390380859375,144.38670349121094,141.51016235351562
511,511,511,2021-02-16,143.3511505126953,143.6166534423828,139.96119689941406
512,512,512,2021-02-17,144.38670349121094,142.4129180908203,140.9613800048828
513,513,513,2021-02-18,145.95333862304688,145.1479034423828,145.395751953125
514,514,514,2021-02-19,146.74993896484375,144.34243774414062,146.58175659179688
515,515,515,2021-02-22,146.32510375976562,143.38653564453125,144.41326904296875
516,516,516,2021-02-23,143.06790161132812,145.56390380859375,144.38670349121094
517,517,517,2021-02-24,142.678466796875,143.3511505126953,143.6166534423828
518,518,518,2021-02-25,141.27113342285156,144.38670349121094,142.4129180908203
519,519,519,2021-02-26,137.85467529296875,145.95333862304688,145.1479034423828
520,520,520,2021-03-01,136.06674194335938,146.74993896484375,144.34243774414062
521,521,521,2021-03-02,135.562255859375,146.32510375976562,143.38653564453125
522,522,522,2021-03-03,131.4553680419922,143.06790161132812,145.56390380859375
523,523,523,2021-03-04,131.99526977539062,142.678466796875,143.3511505126953
524,524,524,2021-03-05,132.89805603027344,141.27113342285156,144.38670349121094
525,525,525,2021-03-08,129.90643310546875,137.85467529296875,145.95333862304688
526,526,526,2021-03-09,133.68580627441406,136.06674194335938,146.74993896484375
527,527,527,2021-03-10,134.48243713378906,135.562255859375,146.32510375976562
528,528,528,2021-03-11,137.84579467773438,131.4553680419922,143.06790161132812
529,529,529,2021-03-12,141.65774536132812,131.99526977539062,142.678466796875
530,530,530,2021-03-15,144.21092224121094,132.89805603027344,141.27113342285156
531,531,531,2021-03-16,147.34442138671875,129.90643310546875,137.85467529296875
532,532,532,2021-03-17,147.2640380859375,133.68580627441406,136.06674194335938
533,533,533,2021-03-18,147.46937561035156,134.48243713378906,135.562255859375
534,534,534,2021-03-19,147.853271484375,137.84579467773438,131.4553680419922
535,535,535,2021-03-22,149.87974548339844,141.65774536132812,131.99526977539062
536,536,536,2021-03-23,150.5939178466797,144.21092224121094,132.89805603027344
537,537,537,2021-03-24,149.69227600097656,147.34442138671875,129.90643310546875
538,538,538,2021-03-25,149.5226593017578,147.2640380859375,133.68580627441406
539,539,539,2021-03-26,154.70045471191406,147.46937561035156,134.48243713378906
540,540,540,2021-03-29,156.25379943847656,147.853271484375,137.84579467773438
541,541,541,2021-03-30,152.647216796875,149.87974548339844,141.65774536132812
542,542,542,2021-03-31,153.66490173339844,150.5939178466797,144.21092224121094
543,543,543,2021-04-01,155.74496459960938,149.69227600097656,147.34442138671875
544,544,544,2021-04-05,158.40528869628906,149.5226593017578,147.2640380859375
545,545,545,2021-04-06,157.6732177734375,154.70045471191406,147.46937561035156
546,546,546,2021-04-07,157.3518524169922,156.25379943847656,147.853271484375
547,547,547,2021-04-08,156.8965606689453,152.647216796875,149.87974548339844
548,548,548,2021-04-09,156.4413299560547,153.66490173339844,150.5939178466797
549,549,549,2021-04-12,158.4945526123047,155.74496459960938,149.69227600097656
550,550,550,2021-04-13,158.11068725585938,158.40528869628906,149.5226593017578
551,551,551,2021-04-14,156.84298706054688,157.6732177734375,154.70045471191406
552,552,552,2021-04-15,160.21754455566406,157.3518524169922,156.25379943847656
553,553,553,2021-04-16,160.3513946533203,156.8965606689453,152.647216796875
554,554,554,2021-04-19,161.3334197998047,156.4413299560547,153.66490173339844
555,555,555,2021-04-20,163.3688507080078,158.4945526123047,155.74496459960938
556,556,556,2021-04-21,163.27064514160156,158.11068725585938,158.40528869628906
557,557,557,2021-04-22,164.44903564453125,156.84298706054688,157.6732177734375
558,558,558,2021-04-23,167.1004180908203,160.21754455566406,157.3518524169922
559,559,559,2021-04-26,166.1362762451172,160.3513946533203,156.8965606689453
560,560,560,2021-04-27,164.92218017578125,161.3334197998047,156.4413299560547
561,561,561,2021-04-28,165.32388305664062,163.3688507080078,158.4945526123047
562,562,562,2021-04-29,167.79673767089844,163.27064514160156,158.11068725585938
563,563,563,2021-04-30,168.7787628173828,164.44903564453125,156.84298706054688
564,564,564,2021-05-03,167.56463623046875,167.1004180908203,160.21754455566406
565,565,565,2021-05-04,164.17227172851562,166.1362762451172,160.3513946533203
566,566,566,2021-05-05,163.52955627441406,164.92218017578125,161.3334197998047
567,567,567,2021-05-06,161.4762420654297,165.32388305664062,163.3688507080078
568,568,568,2021-05-07,163.65451049804688,167.79673767089844,163.27064514160156
569,569,569,2021-05-10,163.5384521484375,168.7787628173828,164.44903564453125
570,570,570,2021-05-11,162.67251586914062,167.56463623046875,167.1004180908203
571,571,571,2021-05-12,159.64614868164062,164.17227172851562,166.1362762451172
572,572,572,2021-05-13,160.46749877929688,163.52955627441406,164.92218017578125
573,573,573,2021-05-14,161.6815948486328,161.4762420654297,165.32388305664062
574,574,574,2021-05-17,162.47610473632812,163.65451049804688,167.79673767089844
575,575,575,2021-05-18,163.1635284423828,163.5384521484375,168.7787628173828
576,576,576,2021-05-19,162.3422088623047,162.67251586914062,167.56463623046875
577,577,577,2021-05-20,165.55599975585938,159.64614868164062,164.17227172851562
578,578,578,2021-05-21,165.64529418945312,160.46749877929688,163.52955627441406
579,579,579,2021-05-24,166.2612762451172,161.6815948486328,161.4762420654297
580,580,580,2021-05-25,168.01100158691406,162.47610473632812,163.65451049804688
581,581,581,2021-05-26,168.1627655029297,163.1635284423828,163.5384521484375
582,582,582,2021-05-27,168.9751434326172,162.3422088623047,162.67251586914062
583,583,583,2021-05-28,169.17153930664062,165.55599975585938,159.64614868164062
584,584,584,2021-06-01,170.97488403320312,165.64529418945312,160.46749877929688
585,585,585,2021-06-02,174.3582763671875,166.2612762451172,161.6815948486328
